Candidate: 0xeb, Correlation: -0.060973318571367584
Candidate: 0x49, Correlation: -0.0609279114272533
Candidate: 0x55, Correlation: -0.06092570468011948
Candidate: 0x6b, Correlation: -0.06053829959899318
Candidate: 0x45, Correlation: -0.06003135777564035
Candidate: 0xea, Correlation: -0.059868618163502564
Candidate: 0xf6, Correlation: -0.05961140182235177
Candidate: 0x74, Correlation: -0.05957672527174973
Candidate: 0xa2, Correlation: -0.05903645934039434
Candidate: 0x68, Correlation: -0.05857512310765868
Candidate: 0xc4, Correlation: -0.05824415563601765
Candidate: 0x56, Correlation: -0.05789922300496792
Candidate: 0xaa, Correlation: -0.057657857947190784
Candidate: 0xf0, Correlation: -0.05760806701337543
Candidate: 0xbf, Correlation: -0.05757732735865993
Candidate: 0x2a, Correlation: -0.05728288352786097
Candidate: 0x71, Correlation: -0.05710507671839706
Candidate: 0xee, Correlation: -0.05709386008879582
Candidate: 0xa8, Correlation: -0.05707014503153591
Candidate: 0x8c, Correlation: -0.05694925550773495
Candidate: 0xe8, Correlation: -0.056612768846557776
Candidate: 0x6e, Correlation: -0.05657452414655303
Candidate: 0xdd, Correlation: -0.05656304153834827
Candidate: 0x75, Correlation: -0.05646204594776639
Candidate: 0x18, Correlation: -0.05645521126197405
Candidate: 0x17, Correlation: -0.05645223794871202
Candidate: 0x73, Correlation: -0.05637810124907519
Candidate: 0xa7, Correlation: -0.056321275272772434
Candidate: 0xaf, Correlation: -0.0559288159107075
Candidate: 0xb, Correlation: -0.05584926912900104
Candidate: 0x34, Correlation: -0.055798825041446225
Candidate: 0x70, Correlation: -0.05572828827356532
Candidate: 0x1a, Correlation: -0.055711774970393084
Candidate: 0x30, Correlation: -0.055711174061161384
Candidate: 0x1f, Correlation: -0.05566856908899256
Candidate: 0xe4, Correlation: -0.05543577748914716
Candidate: 0xc, Correlation: -0.055343736455974374
Candidate: 0x3a, Correlation: -0.05528865817887072
Candidate: 0x2d, Correlation: -0.055201714123299744
Candidate: 0xfe, Correlation: -0.0551649439965068
Candidate: 0x2f, Correlation: -0.05510261446267679
Candidate: 0x7e, Correlation: -0.05477798313877501
Candidate: 0x26, Correlation: -0.05476073451687747
Candidate: 0x14, Correlation: -0.05461352420884158
Candidate: 0x6f, Correlation: -0.05456184777409642
Candidate: 0xe9, Correlation: -0.05449423352400878
Candidate: 0x77, Correlation: -0.0544476172241302
Candidate: 0x23, Correlation: -0.05440070517587282
Candidate: 0x4e, Correlation: -0.054385123391110936
Candidate: 0xad, Correlation: -0.054161720904643884
Candidate: 0xf, Correlation: -0.05410067116511016
Candidate: 0xac, Correlation: -0.05406831202648023
Candidate: 0x1d, Correlation: -0.054000981836063854
Candidate: 0x35, Correlation: -0.05355110158831765
Candidate: 0xe1, Correlation: -0.05347099130817784
Candidate: 0x5f, Correlation: -0.05334500547171693
Candidate: 0x7f, Correlation: -0.05329269059414064
Candidate: 0x46, Correlation: -0.05323924598986859
Candidate: 0x48, Correlation: -0.05318623517891964
Candidate: 0x69, Correlation: -0.05302382967408361
Candidate: 0x32, Correlation: -0.05299997795538239
Candidate: 0x28, Correlation: -0.052963129383949106
Candidate: 0x36, Correlation: -0.05296200850086492
Candidate: 0xb4, Correlation: -0.05295317623324057
Candidate: 0x1c, Correlation: -0.052827795478484985
Candidate: 0xdc, Correlation: -0.0526677765651439
Candidate: 0x8, Correlation: -0.052613144603321095
Candidate: 0x7b, Correlation: -0.05258901533956928
Candidate: 0x79, Correlation: -0.05247050909928258
Candidate: 0xbd, Correlation: -0.052166898744919185
Candidate: 0x5e, Correlation: -0.05207455076990286
Candidate: 0x62, Correlation: -0.05205894364393535
Candidate: 0xbc, Correlation: -0.05199383426851081
Candidate: 0xf4, Correlation: -0.05197635133528634
Candidate: 0xef, Correlation: -0.05197432708018423
Candidate: 0x6c, Correlation: -0.051914032721385346
Candidate: 0x78, Correlation: -0.051876692603173215
Candidate: 0x2c, Correlation: -0.051621098790707996
Candidate: 0xe7, Correlation: -0.05161431021903147
Candidate: 0x29, Correlation: -0.05157505629062493
Candidate: 0xfa, Correlation: -0.05155081683404582
Candidate: 0x65, Correlation: -0.051542722952887206
Candidate: 0xff, Correlation: -0.05151236611778093
Candidate: 0xa, Correlation: -0.0514497767447475
Candidate: 0xcc, Correlation: -0.05135948878113596
Candidate: 0x7c, Correlation: -0.051261538864232827
Candidate: 0x16, Correlation: -0.05119761090947225
