Candidate: 0xd6, Correlation: -0.05358443437828057
Candidate: 0xff, Correlation: -0.05355412806201788
Candidate: 0x88, Correlation: -0.05347178396417142
Candidate: 0x62, Correlation: -0.053430114020044356
Candidate: 0x51, Correlation: -0.05338997689844345
Candidate: 0xc4, Correlation: -0.053326760849116944
Candidate: 0x6c, Correlation: -0.05330269467223906
Candidate: 0x8d, Correlation: -0.05329474473248519
Candidate: 0x54, Correlation: -0.05327993948558782
Candidate: 0x94, Correlation: -0.05310610368684264
Candidate: 0x72, Correlation: -0.053066149363781505
Candidate: 0xb7, Correlation: -0.0529934699736173
Candidate: 0xe6, Correlation: -0.05297657775874865
Candidate: 0x74, Correlation: -0.05296298454125269
Candidate: 0xd, Correlation: -0.05294028455671665
Candidate: 0x77, Correlation: -0.05288636795154821
Candidate: 0x84, Correlation: -0.052883079958975274
Candidate: 0x39, Correlation: -0.05281245360098181
Candidate: 0x3b, Correlation: -0.052692496466638254
Candidate: 0xb, Correlation: -0.05260499920062975
Candidate: 0x4f, Correlation: -0.052588010558591004
Candidate: 0x2e, Correlation: -0.05256426448334422
Candidate: 0xf4, Correlation: -0.052522783348518357
Candidate: 0x31, Correlation: -0.052497315652415964
Candidate: 0x8e, Correlation: -0.05246465957553481
Candidate: 0x1d, Correlation: -0.05242485350884194
Candidate: 0x59, Correlation: -0.05233152467091352
Candidate: 0xdf, Correlation: -0.05232936658332447
Candidate: 0x6b, Correlation: -0.05227439785441251
Candidate: 0x95, Correlation: -0.05213763460037626
Candidate: 0x69, Correlation: -0.05201333461191985
Candidate: 0x93, Correlation: -0.05198276535181914
Candidate: 0x2f, Correlation: -0.051959727248005544
Candidate: 0x85, Correlation: -0.051925799167294825
Candidate: 0x71, Correlation: -0.051856179637897126
Candidate: 0x78, Correlation: -0.05184807229446814
Candidate: 0x7d, Correlation: -0.05177053489416641
Candidate: 0xf, Correlation: -0.05170122428611751
Candidate: 0x56, Correlation: -0.05169040298660823
Candidate: 0x68, Correlation: -0.05164121932231771
Candidate: 0xe8, Correlation: -0.051630561522951486
Candidate: 0x25, Correlation: -0.051318566761495404
Candidate: 0xd1, Correlation: -0.05122987945292407
Candidate: 0x10, Correlation: -0.051105408044879966
Candidate: 0x2d, Correlation: -0.05085238597740249
Candidate: 0x19, Correlation: -0.05084148395544517
Candidate: 0x53, Correlation: -0.05083727913955774
Candidate: 0xe5, Correlation: -0.05076005792597253
Candidate: 0xcd, Correlation: -0.05073039775828072
Candidate: 0x9d, Correlation: -0.050691081728278166
Candidate: 0xc5, Correlation: -0.050672718505450194
Candidate: 0x20, Correlation: -0.050586829324664837
Candidate: 0x14, Correlation: -0.05052814004829085
Candidate: 0x23, Correlation: -0.05050793296702468
Candidate: 0x13, Correlation: -0.05048130500827812
Candidate: 0x37, Correlation: -0.05045394664684508
Candidate: 0xbb, Correlation: -0.05028729246616129
Candidate: 0x60, Correlation: -0.050241667523261806
Candidate: 0xb8, Correlation: -0.05019864401532053
Candidate: 0xf1, Correlation: -0.05012543783604574
Candidate: 0x0, Correlation: -0.05005166883982891
Candidate: 0x9, Correlation: -0.05001567320868524
