Candidate: 0xa4, Correlation: -0.05492507036189767
Candidate: 0x57, Correlation: -0.05487049888104149
Candidate: 0x53, Correlation: -0.0547136236955043
Candidate: 0xac, Correlation: -0.054685255555293216
Candidate: 0xb9, Correlation: -0.05444381926616685
Candidate: 0x31, Correlation: -0.05429114437511214
Candidate: 0x1e, Correlation: -0.05424911330856452
Candidate: 0xe8, Correlation: -0.05418948593460406
Candidate: 0xa7, Correlation: -0.0541685876531801
Candidate: 0x70, Correlation: -0.054080666531171245
Candidate: 0x22, Correlation: -0.05405666285657749
Candidate: 0x5b, Correlation: -0.05392489469080027
Candidate: 0xe6, Correlation: -0.05381658880157949
Candidate: 0xfe, Correlation: -0.05369306793579906
Candidate: 0xb1, Correlation: -0.053651583774617095
Candidate: 0xf9, Correlation: -0.05352446581337573
Candidate: 0xf3, Correlation: -0.05334712974161653
Candidate: 0xc0, Correlation: -0.05325875002861849
Candidate: 0x7f, Correlation: -0.05317931287178755
Candidate: 0xe1, Correlation: -0.05314181625188589
Candidate: 0x75, Correlation: -0.05295986454545021
Candidate: 0xe4, Correlation: -0.05292718903502183
Candidate: 0x25, Correlation: -0.052919603465347353
Candidate: 0x54, Correlation: -0.05287421293608355
Candidate: 0x60, Correlation: -0.05286724200027871
Candidate: 0x9f, Correlation: -0.05283176617372672
Candidate: 0x36, Correlation: -0.05268285098375531
Candidate: 0x7d, Correlation: -0.05266633645528089
Candidate: 0xd4, Correlation: -0.05252292085000591
Candidate: 0x5e, Correlation: -0.05249066339348303
Candidate: 0xb0, Correlation: -0.05242899494178524
Candidate: 0xcb, Correlation: -0.05238403886672403
Candidate: 0xab, Correlation: -0.05237555363400209
Candidate: 0xdb, Correlation: -0.052336327600589844
Candidate: 0x33, Correlation: -0.052318678057729946
Candidate: 0xdd, Correlation: -0.05231147927647519
Candidate: 0x41, Correlation: -0.05225475470442942
Candidate: 0x65, Correlation: -0.0522130972158713
Candidate: 0xd1, Correlation: -0.05219456642150749
Candidate: 0x37, Correlation: -0.052069099447734496
Candidate: 0x58, Correlation: -0.051907084826839645
Candidate: 0x97, Correlation: -0.051881385837269735
Candidate: 0xb4, Correlation: -0.05182393307651916
Candidate: 0x16, Correlation: -0.05182330683445099
Candidate: 0x24, Correlation: -0.05180703208831755
Candidate: 0xf8, Correlation: -0.051708194870161255
Candidate: 0x76, Correlation: -0.051628045987157895
Candidate: 0xef, Correlation: -0.05162467233333094
Candidate: 0x9c, Correlation: -0.051595922986552106
Candidate: 0x80, Correlation: -0.051484761849001255
Candidate: 0xe2, Correlation: -0.05146024904336897
Candidate: 0xa1, Correlation: -0.051028356602862424
Candidate: 0x5d, Correlation: -0.05100482056608199
Candidate: 0x81, Correlation: -0.05096982236922525
Candidate: 0x1, Correlation: -0.050949218742673795
Candidate: 0x38, Correlation: -0.050823701730696905
Candidate: 0xdc, Correlation: -0.05065699844356394
Candidate: 0x6f, Correlation: -0.05057933379135162
Candidate: 0xf6, Correlation: -0.05057072903412395
Candidate: 0xc4, Correlation: -0.0504698079573877
Candidate: 0x30, Correlation: -0.050462881462020014
Candidate: 0x32, Correlation: -0.05036385470908576
Candidate: 0x78, Correlation: -0.050255547503871435
Candidate: 0xd3, Correlation: -0.05018045532766009
Candidate: 0xa3, Correlation: -0.05004521285910024
Candidate: 0x50, Correlation: -0.050031621489051666
Candidate: 0xde, Correlation: -0.050004776299168954
Candidate: 0x6b, Correlation: -0.04998182919651791
Candidate: 0x6c, Correlation: -0.04997154583787367
Candidate: 0x44, Correlation: -0.04994462854519545
Candidate: 0xc8, Correlation: -0.04994315061230029
Candidate: 0x7c, Correlation: -0.04990286859709586
Candidate: 0x34, Correlation: -0.04989117743635438
Candidate: 0xff, Correlation: -0.049810631682834124
Candidate: 0x20, Correlation: -0.049764043323694954
Candidate: 0x17, Correlation: -0.04970987382077332
Candidate: 0xaf, Correlation: -0.049675903589613525
Candidate: 0xbb, Correlation: -0.04963828003701319
Candidate: 0x2b, Correlation: -0.0495948154826754
Candidate: 0x9d, Correlation: -0.04955009569351598
Candidate: 0xc3, Correlation: -0.04926332276158739
Candidate: 0x29, Correlation: -0.0492350385087999
Candidate: 0xeb, Correlation: -0.04915793781143662
Candidate: 0x3e, Correlation: -0.04914325749567311
Candidate: 0xa5, Correlation: -0.04901303277137722
Candidate: 0xbd, Correlation: -0.04891669152981436
Candidate: 0x62, Correlation: -0.04884646185935781
Candidate: 0xf, Correlation: -0.048757287739316986
Candidate: 0xf2, Correlation: -0.04875217176183746
Candidate: 0xbc, Correlation: -0.048707272636403974
Candidate: 0x10, Correlation: -0.04862528369465661
Candidate: 0x1c, Correlation: -0.04861615980635766
Candidate: 0x39, Correlation: -0.048524245164641336
Candidate: 0xd2, Correlation: -0.04850299081389535
Candidate: 0x27, Correlation: -0.04848153026215125
Candidate: 0xd0, Correlation: -0.048419965693681684
Candidate: 0x1d, Correlation: -0.048415292855507254
Candidate: 0xe7, Correlation: -0.04833339409684802
Candidate: 0x0, Correlation: -0.0481836841037723
Candidate: 0x14, Correlation: -0.04816814129273927
Candidate: 0xbf, Correlation: -0.048077265752898134
Candidate: 0xe3, Correlation: -0.04755436462208898
Candidate: 0x45, Correlation: -0.04751873156107456
Candidate: 0xe0, Correlation: -0.047365561188053844
Candidate: 0xec, Correlation: -0.047340374751382995
Candidate: 0x11, Correlation: -0.04719105685699882
Candidate: 0x1b, Correlation: -0.047071133211597574
Candidate: 0xc5, Correlation: -0.04703691124682831
Candidate: 0x28, Correlation: -0.046765836643340185
Candidate: 0x9b, Correlation: -0.04662446273927502
Candidate: 0xc7, Correlation: -0.046414084393841565
Candidate: 0x74, Correlation: -0.04627567987728329
Candidate: 0x40, Correlation: -0.04620365197213765
Candidate: 0x2c, Correlation: -0.04614294001403639
Candidate: 0xe5, Correlation: -0.04611878025186406
Candidate: 0xc1, Correlation: -0.046016837362322156
Candidate: 0xd8, Correlation: -0.046010822261546465
Candidate: 0x2f, Correlation: -0.0459163054638576
Candidate: 0x2d, Correlation: -0.045325161830300005
Candidate: 0x15, Correlation: -0.04524548937613655
Candidate: 0x21, Correlation: -0.04512416010377719
Candidate: 0x3b, Correlation: -0.044944784181450245
Candidate: 0x98, Correlation: -0.04467891452038105
Candidate: 0x3d, Correlation: -0.0445774442226631
Candidate: 0x4f, Correlation: -0.04451925961790214
Candidate: 0x1f, Correlation: -0.044500900031578
Candidate: 0x18, Correlation: -0.04327571404150865
Candidate: 0x3f, Correlation: -0.04286615990536225
Candidate: 0x35, Correlation: -0.04282247074590551
Candidate: 0x5c, Correlation: -0.04229548752723618
Candidate: 0xcf, Correlation: -0.04062962762482174
