Candidate: 0xfd, Correlation: -0.10761228018634256
Candidate: 0xeb, Correlation: -0.10425629353040695
Candidate: 0x5e, Correlation: -0.10191114182352895
Candidate: 0x82, Correlation: -0.10097827257655756
Candidate: 0xdd, Correlation: -0.10021453294837657
Candidate: 0xfa, Correlation: -0.09990619695937661
Candidate: 0xfb, Correlation: -0.09969406109175458
Candidate: 0xc1, Correlation: -0.09918838824565127
Candidate: 0xc5, Correlation: -0.097082166660487
Candidate: 0x72, Correlation: -0.09704467620670203
Candidate: 0x32, Correlation: -0.09646335954781163
Candidate: 0x29, Correlation: -0.09608550821644234
Candidate: 0x7d, Correlation: -0.09596580721098351
Candidate: 0x89, Correlation: -0.09577018894663586
Candidate: 0xbf, Correlation: -0.095603467016687
Candidate: 0x4a, Correlation: -0.09559057218681015
Candidate: 0x9f, Correlation: -0.09556992347270331
Candidate: 0x1e, Correlation: -0.09535196920836937
Candidate: 0x4e, Correlation: -0.09462135642132277
Candidate: 0xc7, Correlation: -0.09282968280934678
Candidate: 0x5b, Correlation: -0.0925270120756562
Candidate: 0x1a, Correlation: -0.09080906984301038
Candidate: 0xfe, Correlation: -0.09032555663846982
Candidate: 0x7b, Correlation: -0.08957755483509423
Candidate: 0xcd, Correlation: -0.08827362196325297
Candidate: 0xe6, Correlation: -0.08771132822707181
Candidate: 0x3a, Correlation: -0.08767432775085714
Candidate: 0x5a, Correlation: -0.08724135469245617
Candidate: 0x26, Correlation: -0.08703375043748456
Candidate: 0xd6, Correlation: -0.08649374336105795
Candidate: 0xcb, Correlation: -0.08560236679435725
Candidate: 0x12, Correlation: -0.08493036234818262
Candidate: 0xf2, Correlation: -0.0834751486062326
Candidate: 0xe2, Correlation: -0.08330853460275818
Candidate: 0x66, Correlation: -0.08292221074080017
Candidate: 0x97, Correlation: -0.08259998933147684
Candidate: 0xc3, Correlation: -0.08140748462222265
Candidate: 0xdb, Correlation: -0.0812168515175528
Candidate: 0x95, Correlation: -0.08088685513856765
Candidate: 0x3e, Correlation: -0.08061577331075255
Candidate: 0xd9, Correlation: -0.07905920487334822
Candidate: 0x91, Correlation: -0.07884515819884202
Candidate: 0x46, Correlation: -0.07802966503191075
Candidate: 0xd1, Correlation: -0.07779820552359487
Candidate: 0x52, Correlation: -0.07762573552506122
Candidate: 0x61, Correlation: -0.07644511155919607
Candidate: 0x76, Correlation: -0.07540485136138089
Candidate: 0x8d, Correlation: -0.07512501092509831
Candidate: 0xcf, Correlation: -0.07374862013530502
Candidate: 0x59, Correlation: -0.07344750468232847
Candidate: 0x9, Correlation: -0.072760533737351
Candidate: 0xe9, Correlation: -0.07207597623296882
Candidate: 0x93, Correlation: -0.07002924921543763
Candidate: 0x1, Correlation: -0.06942219189074467
Candidate: 0x17, Correlation: -0.06905669946192175
Candidate: 0x62, Correlation: -0.06884019813423303
Candidate: 0x8f, Correlation: -0.06865661330794795
Candidate: 0x22, Correlation: -0.06819404471921472
Candidate: 0x51, Correlation: -0.06811170339099723
Candidate: 0x41, Correlation: -0.0674399905709417
Candidate: 0x39, Correlation: -0.06743298725952213
Candidate: 0x49, Correlation: -0.06737483464300723
Candidate: 0x42, Correlation: -0.06716518687277043
Candidate: 0x36, Correlation: -0.06662415479350478
Candidate: 0x6, Correlation: -0.0662289170825695
Candidate: 0x8b, Correlation: -0.06586060206981882
