Candidate: 0xe6, Correlation: -0.12071446996156777
Candidate: 0xdc, Correlation: -0.1194935175521021
Candidate: 0x9a, Correlation: -0.11937006348451631
Candidate: 0x6, Correlation: -0.11885579156540997
Candidate: 0x47, Correlation: -0.11784610539019683
Candidate: 0x9e, Correlation: -0.11705921101256156
Candidate: 0x9c, Correlation: -0.11640460548170638
Candidate: 0x8f, Correlation: -0.11569155292877652
Candidate: 0x2f, Correlation: -0.11548314576140216
Candidate: 0x33, Correlation: -0.11520520058800644
Candidate: 0xf, Correlation: -0.11512601312817948
Candidate: 0x7, Correlation: -0.1130099802648861
Candidate: 0xf7, Correlation: -0.11176415966844315
Candidate: 0x98, Correlation: -0.11124097597534853
Candidate: 0x3b, Correlation: -0.11094722700098027
Candidate: 0xde, Correlation: -0.1100546320240339
Candidate: 0x36, Correlation: -0.10978146487096498
Candidate: 0x56, Correlation: -0.10970084202090329
Candidate: 0x16, Correlation: -0.10920891631812579
Candidate: 0xff, Correlation: -0.1088030006229041
Candidate: 0x8a, Correlation: -0.10833442785348638
Candidate: 0x13, Correlation: -0.10810381292961681
Candidate: 0x4a, Correlation: -0.10781812788958327
Candidate: 0xb, Correlation: -0.10772296179355602
Candidate: 0x87, Correlation: -0.10764155454070654
Candidate: 0x26, Correlation: -0.1072727267234708
Candidate: 0xfb, Correlation: -0.10657101732913
Candidate: 0xea, Correlation: -0.10645775859607741
Candidate: 0x8b, Correlation: -0.10608988856036344
Candidate: 0x7f, Correlation: -0.1052475291182732
Candidate: 0x83, Correlation: -0.10503395805616085
Candidate: 0x3e, Correlation: -0.10457224253714661
Candidate: 0x1b, Correlation: -0.10451364754096333
Candidate: 0xa4, Correlation: -0.10418609525855721
Candidate: 0x3a, Correlation: -0.10416857801371997
Candidate: 0x48, Correlation: -0.10413470109853268
Candidate: 0xe8, Correlation: -0.1040427483389924
Candidate: 0x4b, Correlation: -0.10401248096487235
Candidate: 0x88, Correlation: -0.10387829664714222
Candidate: 0x17, Correlation: -0.1036350580360634
Candidate: 0xf6, Correlation: -0.10347169055186353
Candidate: 0x92, Correlation: -0.10318321348659215
Candidate: 0xec, Correlation: -0.10305308439386972
Candidate: 0x8c, Correlation: -0.10280952635304798
Candidate: 0x2b, Correlation: -0.10251237870668072
Candidate: 0x27, Correlation: -0.10135177743010973
Candidate: 0xf2, Correlation: -0.1013240863516408
Candidate: 0x8, Correlation: -0.09936728140078764
Candidate: 0x8e, Correlation: -0.09920176383252031
Candidate: 0x37, Correlation: -0.0991954095804178
Candidate: 0xa2, Correlation: -0.0978415507169105
Candidate: 0xa, Correlation: -0.0977295399875133
Candidate: 0xfe, Correlation: -0.0974246375186873
Candidate: 0x82, Correlation: -0.09725052183206503
Candidate: 0x32, Correlation: -0.09704111689969573
Candidate: 0xfa, Correlation: -0.09667984105548806
Candidate: 0x3, Correlation: -0.09632773292382597
Candidate: 0xe2, Correlation: -0.09588963781622346
Candidate: 0x66, Correlation: -0.09541288291619969
Candidate: 0x80, Correlation: -0.09521373201917248
Candidate: 0x90, Correlation: -0.09504362338593182
Candidate: 0x1f, Correlation: -0.0950358562407195
Candidate: 0xe0, Correlation: -0.09486551252531696
Candidate: 0x3c, Correlation: -0.0945369271379458
Candidate: 0x0, Correlation: -0.0944516752261
Candidate: 0x57, Correlation: -0.09391484191946436
Candidate: 0x4c, Correlation: -0.09237058615262035
Candidate: 0x6f, Correlation: -0.09233719356056509
Candidate: 0x2, Correlation: -0.09221911212285347
Candidate: 0x76, Correlation: -0.09151658329094026
Candidate: 0x5b, Correlation: -0.091344278929686
Candidate: 0x38, Correlation: -0.09098107379427932
Candidate: 0x7e, Correlation: -0.09053241590083137
Candidate: 0xfc, Correlation: -0.09038817663143471
Candidate: 0xa0, Correlation: -0.09032552564070917
Candidate: 0xf0, Correlation: -0.08935387693692733
Candidate: 0xc, Correlation: -0.08857524697102304
Candidate: 0x28, Correlation: -0.08771146532220493
Candidate: 0x2a, Correlation: -0.08771110553254001
Candidate: 0x7b, Correlation: -0.0873694271963337
Candidate: 0xee, Correlation: -0.08710471982832337
Candidate: 0x73, Correlation: -0.08687499987518763
Candidate: 0x94, Correlation: -0.08682898841048603
Candidate: 0xf8, Correlation: -0.08669352816226275
Candidate: 0x18, Correlation: -0.08620754525527034
Candidate: 0x52, Correlation: -0.08584903936445991
Candidate: 0x7a, Correlation: -0.08553195491010088
Candidate: 0x30, Correlation: -0.08505265291757427
Candidate: 0x67, Correlation: -0.08477787221068118
Candidate: 0x1a, Correlation: -0.08449489996146851
Candidate: 0x72, Correlation: -0.08392680217124204
Candidate: 0x44, Correlation: -0.0837915574054952
Candidate: 0xe, Correlation: -0.0830598281723463
Candidate: 0x4e, Correlation: -0.08290718889159417
Candidate: 0x77, Correlation: -0.0827313928775155
Candidate: 0x5f, Correlation: -0.08160107985489692
Candidate: 0x58, Correlation: -0.08160026025731826
Candidate: 0x7c, Correlation: -0.08087048153609992
Candidate: 0x68, Correlation: -0.07976499777533741
Candidate: 0xf4, Correlation: -0.07971396974905241
Candidate: 0x6a, Correlation: -0.0796282802959697
Candidate: 0xe4, Correlation: -0.07962217138135992
Candidate: 0x5a, Correlation: -0.07850613755433485
Candidate: 0x2e, Correlation: -0.07823955671935678
Candidate: 0x50, Correlation: -0.07812129618836268
Candidate: 0x84, Correlation: -0.07807755067966908
Candidate: 0x6b, Correlation: -0.07621788424827856
Candidate: 0x1e, Correlation: -0.07586707017001422
Candidate: 0x1c, Correlation: -0.07554445642429192
Candidate: 0x2c, Correlation: -0.07505330698735733
Candidate: 0x4, Correlation: -0.07399706116703302
Candidate: 0x12, Correlation: -0.07394992510574501
Candidate: 0x63, Correlation: -0.07320489379479166
Candidate: 0x78, Correlation: -0.07294432316117488
Candidate: 0x10, Correlation: -0.07283141831144445
Candidate: 0x34, Correlation: -0.07214570594034977
Candidate: 0x23, Correlation: -0.07113621687242128
Candidate: 0x70, Correlation: -0.07025435529039128
Candidate: 0x5e, Correlation: -0.06977489266319682
Candidate: 0x5c, Correlation: -0.06899626064349615
Candidate: 0x6e, Correlation: -0.06652575169824629
Candidate: 0x6c, Correlation: -0.06541913087645942
Candidate: 0x24, Correlation: -0.061273913116240156
Candidate: 0x14, Correlation: -0.059774604747533766
Candidate: 0x74, Correlation: -0.0589497688696992
Candidate: 0x54, Correlation: -0.0551946005268375
Candidate: 0x62, Correlation: -0.05499214046389733
Candidate: 0x20, Correlation: -0.05292884007535598
Candidate: 0x64, Correlation: -0.052889146854829976
Candidate: 0x22, Correlation: -0.052859965091087945
Candidate: 0x60, Correlation: -0.04826057809302679
