Candidate: 0xa4, Correlation: -0.06339049548790802
Candidate: 0xae, Correlation: -0.06336804057474897
Candidate: 0xd6, Correlation: -0.06280760260465004
Candidate: 0xb4, Correlation: -0.06230510682065672
Candidate: 0xa0, Correlation: -0.06213824712645658
Candidate: 0x9a, Correlation: -0.06098906903877054
Candidate: 0x5e, Correlation: -0.06095896189480437
Candidate: 0x5a, Correlation: -0.060592428727668755
Candidate: 0x64, Correlation: -0.0605640972546992
Candidate: 0xb6, Correlation: -0.06034219145892803
Candidate: 0xa2, Correlation: -0.06032412695369112
Candidate: 0x39, Correlation: -0.060217096248463726
Candidate: 0x7a, Correlation: -0.060135441773929446
Candidate: 0xdd, Correlation: -0.05994276130075254
Candidate: 0xf8, Correlation: -0.059661620879863646
Candidate: 0x68, Correlation: -0.059419639434990686
Candidate: 0x62, Correlation: -0.05930727749128472
Candidate: 0x5d, Correlation: -0.05904110446805695
Candidate: 0x96, Correlation: -0.05894554245078293
Candidate: 0x30, Correlation: -0.058906793830030516
Candidate: 0x26, Correlation: -0.0588452753781194
Candidate: 0x42, Correlation: -0.05825559844739633
Candidate: 0x78, Correlation: -0.05815904283608873
Candidate: 0xd8, Correlation: -0.05757657236040537
Candidate: 0xba, Correlation: -0.0575308220148586
Candidate: 0x21, Correlation: -0.057477360123054565
Candidate: 0xa6, Correlation: -0.057398652346230226
Candidate: 0x61, Correlation: -0.05734172536556018
Candidate: 0x90, Correlation: -0.057285125400996464
Candidate: 0x3a, Correlation: -0.0571101642853569
Candidate: 0x2e, Correlation: -0.05686927648265027
Candidate: 0x9e, Correlation: -0.056642658004804045
Candidate: 0x58, Correlation: -0.05639158944145387
Candidate: 0x50, Correlation: -0.05619603933076404
Candidate: 0xe6, Correlation: -0.055742338061066085
Candidate: 0x59, Correlation: -0.055427937293124896
Candidate: 0x80, Correlation: -0.05534602725239096
Candidate: 0x5c, Correlation: -0.05529908527796214
Candidate: 0x3e, Correlation: -0.055145445848439494
Candidate: 0x34, Correlation: -0.05475612890313358
Candidate: 0xb8, Correlation: -0.05447744533429895
Candidate: 0xb2, Correlation: -0.05437799333202516
Candidate: 0xac, Correlation: -0.05409331693088086
Candidate: 0x52, Correlation: -0.05404216647826834
Candidate: 0x46, Correlation: -0.05392520152129037
Candidate: 0xc0, Correlation: -0.05386449293463419
Candidate: 0x40, Correlation: -0.053773641328057675
Candidate: 0x6e, Correlation: -0.0535877926128734
Candidate: 0xe4, Correlation: -0.05355673153980771
Candidate: 0x74, Correlation: -0.05355328350700485
Candidate: 0x92, Correlation: -0.052832228041607546
Candidate: 0xc2, Correlation: -0.05281264609066499
Candidate: 0x98, Correlation: -0.052811739604693764
Candidate: 0xc6, Correlation: -0.05269714606306571
Candidate: 0x36, Correlation: -0.05230776188772873
Candidate: 0x76, Correlation: -0.05216120119953788
Candidate: 0xee, Correlation: -0.05204547967112057
Candidate: 0x4e, Correlation: -0.05199932018786356
Candidate: 0x6c, Correlation: -0.051964713604268915
Candidate: 0x55, Correlation: -0.0519000282216534
Candidate: 0x7e, Correlation: -0.051081612678065935
Candidate: 0x45, Correlation: -0.051060311731399154
Candidate: 0x88, Correlation: -0.05048039512369953
Candidate: 0x9c, Correlation: -0.050235419254923495
Candidate: 0xc4, Correlation: -0.05023014653040676
Candidate: 0x95, Correlation: -0.049669332230559055
Candidate: 0xc8, Correlation: -0.049221567020836736
Candidate: 0x24, Correlation: -0.04918202239287675
Candidate: 0x7d, Correlation: -0.04912476709085627
Candidate: 0xf6, Correlation: -0.0491114015561254
Candidate: 0x3d, Correlation: -0.04901658487753751
Candidate: 0xad, Correlation: -0.04878181718706502
Candidate: 0x32, Correlation: -0.04855475435836083
Candidate: 0xb1, Correlation: -0.04852112289482248
Candidate: 0xe0, Correlation: -0.04824770318721163
Candidate: 0xe2, Correlation: -0.04821004744169253
Candidate: 0x9d, Correlation: -0.047982653263873326
Candidate: 0xf1, Correlation: -0.0478893157638025
Candidate: 0x86, Correlation: -0.04763379620040589
Candidate: 0xc1, Correlation: -0.04748523951842144
Candidate: 0x65, Correlation: -0.04714921845668286
Candidate: 0x99, Correlation: -0.04712963056768079
Candidate: 0xaa, Correlation: -0.04681311590840199
Candidate: 0x54, Correlation: -0.04664761773695057
