Candidate: 0x6e, Correlation: -0.057234203959123015
Candidate: 0x31, Correlation: -0.05706377992517851
Candidate: 0x1, Correlation: -0.056994463062556754
Candidate: 0x66, Correlation: -0.05699256037309145
Candidate: 0x45, Correlation: -0.05671679090732058
Candidate: 0x7d, Correlation: -0.056708733103342686
Candidate: 0xbd, Correlation: -0.056663221599368915
Candidate: 0x6b, Correlation: -0.05652221593896397
Candidate: 0x7c, Correlation: -0.05644944405311766
Candidate: 0x36, Correlation: -0.05631628768683018
Candidate: 0xfc, Correlation: -0.05630484259831981
Candidate: 0x1b, Correlation: -0.05614822932252657
Candidate: 0x77, Correlation: -0.05600112724298044
Candidate: 0x51, Correlation: -0.05590783020358064
Candidate: 0xf0, Correlation: -0.05584512379723222
Candidate: 0xd1, Correlation: -0.0556272614540022
Candidate: 0x46, Correlation: -0.055593695131608015
Candidate: 0x61, Correlation: -0.05556016290918076
Candidate: 0x14, Correlation: -0.05552043587695899
Candidate: 0x91, Correlation: -0.05549577521351777
Candidate: 0x5d, Correlation: -0.055274914732019315
Candidate: 0x5b, Correlation: -0.05521337817017635
Candidate: 0xef, Correlation: -0.05505373091939697
Candidate: 0x27, Correlation: -0.05503900085850317
Candidate: 0x33, Correlation: -0.05478734479730501
Candidate: 0x99, Correlation: -0.05477722965966033
Candidate: 0x11, Correlation: -0.05474882163368941
Candidate: 0xf1, Correlation: -0.05467952907389883
Candidate: 0xc9, Correlation: -0.054502134944093616
Candidate: 0xe6, Correlation: -0.05438217419183828
Candidate: 0x70, Correlation: -0.05418533560822212
Candidate: 0x7e, Correlation: -0.05406904907890945
Candidate: 0xc1, Correlation: -0.05402019152183945
Candidate: 0xa7, Correlation: -0.053872461611060345
Candidate: 0xfd, Correlation: -0.0535779826993209
Candidate: 0x60, Correlation: -0.05351240648734125
Candidate: 0x9b, Correlation: -0.053481764035737935
Candidate: 0x3d, Correlation: -0.05330705701303161
Candidate: 0xe3, Correlation: -0.05327971749440967
Candidate: 0x1d, Correlation: -0.053200346774543404
Candidate: 0x50, Correlation: -0.05309944048591613
Candidate: 0xf4, Correlation: -0.05302190630500561
Candidate: 0x58, Correlation: -0.05289315426103905
Candidate: 0x2f, Correlation: -0.05274245229996298
Candidate: 0x41, Correlation: -0.05262134490535709
Candidate: 0xb9, Correlation: -0.05259201581369611
Candidate: 0x78, Correlation: -0.052333407724819384
Candidate: 0x1c, Correlation: -0.05233192493737897
Candidate: 0x15, Correlation: -0.05230760589671295
Candidate: 0x43, Correlation: -0.052187624152788825
Candidate: 0x69, Correlation: -0.05214423066547847
Candidate: 0xdf, Correlation: -0.05206514435948183
Candidate: 0xf, Correlation: -0.051897360532987276
Candidate: 0xd7, Correlation: -0.05187176398032092
