Candidate: 0x41, Correlation: -0.06286597767426515
Candidate: 0x8f, Correlation: -0.06274470300696616
Candidate: 0x43, Correlation: -0.061771054369960325
Candidate: 0x5e, Correlation: -0.060735619586287065
Candidate: 0x3b, Correlation: -0.060435682162322604
Candidate: 0xd7, Correlation: -0.060289950541757745
Candidate: 0x61, Correlation: -0.060243107254745736
Candidate: 0x39, Correlation: -0.06016292608327274
Candidate: 0xb9, Correlation: -0.059803334816259004
Candidate: 0x89, Correlation: -0.059749124238259066
Candidate: 0x63, Correlation: -0.05948893788328729
Candidate: 0xb4, Correlation: -0.0592159629811996
Candidate: 0xde, Correlation: -0.059034944527907564
Candidate: 0x5b, Correlation: -0.05870839837068166
Candidate: 0xc1, Correlation: -0.05857992710493732
Candidate: 0xb2, Correlation: -0.05826868250941375
Candidate: 0x2f, Correlation: -0.05760331278449916
Candidate: 0x97, Correlation: -0.05713787654906826
Candidate: 0xbe, Correlation: -0.05692772743488416
Candidate: 0xbb, Correlation: -0.05679138049763639
Candidate: 0xb1, Correlation: -0.056674824517083736
Candidate: 0xb5, Correlation: -0.05649050604098275
Candidate: 0x59, Correlation: -0.0563365777946033
Candidate: 0xf6, Correlation: -0.05596088177953264
Candidate: 0xc3, Correlation: -0.05571992503223692
Candidate: 0xa2, Correlation: -0.05556547259805007
Candidate: 0xa5, Correlation: -0.05548887326826219
Candidate: 0x62, Correlation: -0.05547530117945511
Candidate: 0x9e, Correlation: -0.05513110171236718
Candidate: 0xa1, Correlation: -0.05479255892497441
Candidate: 0xae, Correlation: -0.05476460234257848
Candidate: 0x5d, Correlation: -0.05461567253078343
Candidate: 0x51, Correlation: -0.054609223472640585
Candidate: 0x5f, Correlation: -0.05441175042369724
Candidate: 0x73, Correlation: -0.054275330168988806
Candidate: 0xd9, Correlation: -0.05421540331557814
Candidate: 0xe3, Correlation: -0.05396081579230722
Candidate: 0xb7, Correlation: -0.05352111011413473
Candidate: 0x75, Correlation: -0.05347234031761251
Candidate: 0x22, Correlation: -0.05344252068509029
Candidate: 0xa6, Correlation: -0.053351827167597524
Candidate: 0xe1, Correlation: -0.053289099600971494
Candidate: 0xa3, Correlation: -0.05312579676617174
Candidate: 0x65, Correlation: -0.053032012569172976
Candidate: 0x27, Correlation: -0.05300996371860707
Candidate: 0xba, Correlation: -0.052974217719088355
Candidate: 0x2e, Correlation: -0.052918640457949355
Candidate: 0x92, Correlation: -0.052914034883922746
Candidate: 0x93, Correlation: -0.05253082082098981
Candidate: 0x42, Correlation: -0.05231039993044078
Candidate: 0x69, Correlation: -0.05171187458063838
Candidate: 0x82, Correlation: -0.051679204903683634
Candidate: 0x31, Correlation: -0.05165337644140951
Candidate: 0x49, Correlation: -0.051399175682264264
Candidate: 0x25, Correlation: -0.05127356356294401
Candidate: 0x56, Correlation: -0.05065654908119708
Candidate: 0x91, Correlation: -0.050577620851012244
Candidate: 0xe7, Correlation: -0.05030356776803918
Candidate: 0xb6, Correlation: -0.05024554085902642
Candidate: 0xc5, Correlation: -0.049977925444954455
Candidate: 0xc2, Correlation: -0.04995035901429612
Candidate: 0x77, Correlation: -0.049727350027926935
Candidate: 0x4f, Correlation: -0.049724132540208604
Candidate: 0x66, Correlation: -0.04968259796714825
Candidate: 0x35, Correlation: -0.04966306800530019
Candidate: 0xe2, Correlation: -0.04958738921754602
Candidate: 0x6d, Correlation: -0.04915229640672772
Candidate: 0x9a, Correlation: -0.04906006714852634
Candidate: 0x96, Correlation: -0.04889510561937732
Candidate: 0xf2, Correlation: -0.048863149143367694
Candidate: 0x7d, Correlation: -0.048591185609284146
Candidate: 0xaf, Correlation: -0.04853425874308551
Candidate: 0x3e, Correlation: -0.04840631944680267
Candidate: 0x6e, Correlation: -0.04835136673841072
Candidate: 0x6a, Correlation: -0.048114961588669354
Candidate: 0x9d, Correlation: -0.04740598738792827
Candidate: 0x6f, Correlation: -0.04737083159349468
Candidate: 0xad, Correlation: -0.04735501225759814
Candidate: 0x55, Correlation: -0.04731948348367942
Candidate: 0x7e, Correlation: -0.0470145351706662
Candidate: 0x37, Correlation: -0.04694086904120278
Candidate: 0xc6, Correlation: -0.046760324935828844
Candidate: 0x21, Correlation: -0.0466952006086381
Candidate: 0x53, Correlation: -0.046661909715674195
Candidate: 0x3a, Correlation: -0.04620779721774341
Candidate: 0x85, Correlation: -0.04619571407883175
Candidate: 0x7f, Correlation: -0.04617672982306112
Candidate: 0x95, Correlation: -0.04612092877829719
Candidate: 0x68, Correlation: -0.04609182643041191
Candidate: 0x45, Correlation: -0.04607366013128624
Candidate: 0xc9, Correlation: -0.04604920537388973
Candidate: 0xbf, Correlation: -0.045959789531167985
Candidate: 0x47, Correlation: -0.04581361155306946
Candidate: 0x46, Correlation: -0.0456882988053734
Candidate: 0x64, Correlation: -0.04544283006267946
Candidate: 0x72, Correlation: -0.045067487265164574
Candidate: 0x86, Correlation: -0.0450196014290636
Candidate: 0xe5, Correlation: -0.04490520416805839
Candidate: 0x3f, Correlation: -0.044585207820915344
Candidate: 0xb0, Correlation: -0.04446402263490026
Candidate: 0x7a, Correlation: -0.04443657152330196
Candidate: 0x52, Correlation: -0.04433693319861874
Candidate: 0xdd, Correlation: -0.04406744257498097
Candidate: 0xa9, Correlation: -0.043744086101908025
Candidate: 0xf1, Correlation: -0.04361292399267382
Candidate: 0xa7, Correlation: -0.0435112796062868
Candidate: 0x29, Correlation: -0.04312290832229511
Candidate: 0x9f, Correlation: -0.04293672258121358
Candidate: 0xe9, Correlation: -0.042835100998462446
Candidate: 0xd2, Correlation: -0.04275871858802724
Candidate: 0x33, Correlation: -0.04272779126142523
Candidate: 0x32, Correlation: -0.042577872854915155
Candidate: 0xda, Correlation: -0.042385330317156626
Candidate: 0x87, Correlation: -0.042257445521616546
Candidate: 0xd5, Correlation: -0.04219277074256683
Candidate: 0xbd, Correlation: -0.04211016473352088
Candidate: 0xe6, Correlation: -0.04204045672203803
Candidate: 0x3d, Correlation: -0.041874312687112634
Candidate: 0x76, Correlation: -0.041832261738759174
Candidate: 0xd1, Correlation: -0.04122495244392624
Candidate: 0xdf, Correlation: -0.04090855267200932
Candidate: 0xa8, Correlation: -0.04081986807985449
Candidate: 0xc7, Correlation: -0.040744630611771825
Candidate: 0xb3, Correlation: -0.04062081256370311
Candidate: 0xd6, Correlation: -0.039783730667538826
Candidate: 0x26, Correlation: -0.03924105780789175
Candidate: 0xcf, Correlation: -0.03877766918027786
Candidate: 0xaa, Correlation: -0.03850478779936582
Candidate: 0xd3, Correlation: -0.036414851447466916
Candidate: 0x36, Correlation: -0.03604154153908208
Candidate: 0x70, Correlation: -0.03553465248648795
