Candidate: 0x16, Correlation: -0.13506390925184783
Candidate: 0xf3, Correlation: -0.13478113629673621
Candidate: 0xa2, Correlation: -0.1344886113269262
Candidate: 0xde, Correlation: -0.13432801612714323
Candidate: 0xda, Correlation: -0.13409275986742464
Candidate: 0xd2, Correlation: -0.13326719505948673
Candidate: 0xf1, Correlation: -0.13204412950889827
Candidate: 0x27, Correlation: -0.1313512031555705
Candidate: 0x4a, Correlation: -0.1312552923630492
Candidate: 0xe7, Correlation: -0.131090276914719
Candidate: 0x32, Correlation: -0.13075859773508183
Candidate: 0x61, Correlation: -0.13065487712743443
Candidate: 0x9, Correlation: -0.13022903044909864
Candidate: 0x93, Correlation: -0.1286240066114117
Candidate: 0x6c, Correlation: -0.12830702977942532
Candidate: 0x4b, Correlation: -0.12812768156797588
Candidate: 0xce, Correlation: -0.12780563960534946
Candidate: 0x94, Correlation: -0.1268017183299828
Candidate: 0xe2, Correlation: -0.12508952771208653
Candidate: 0xb7, Correlation: -0.12429439349557175
Candidate: 0xb, Correlation: -0.12414223614810195
Candidate: 0x2d, Correlation: -0.1224166074256788
Candidate: 0x17, Correlation: -0.1220934740072683
Candidate: 0x82, Correlation: -0.12194283238141443
Candidate: 0x39, Correlation: -0.12193011796618228
Candidate: 0x4c, Correlation: -0.12168090501681261
Candidate: 0x49, Correlation: -0.1215922315285791
Candidate: 0x54, Correlation: -0.12121946562469701
Candidate: 0x72, Correlation: -0.12100075000585696
Candidate: 0xdf, Correlation: -0.12069971350699965
Candidate: 0x7f, Correlation: -0.1189347711997993
Candidate: 0xcd, Correlation: -0.11888190816210358
Candidate: 0xd, Correlation: -0.11872665964915682
Candidate: 0x9d, Correlation: -0.1176919859160738
Candidate: 0x19, Correlation: -0.11651072956684948
Candidate: 0x2e, Correlation: -0.11550386590583718
Candidate: 0x1f, Correlation: -0.11528857342257273
Candidate: 0xf5, Correlation: -0.11370873742450618
Candidate: 0x6e, Correlation: -0.11311133804865026
Candidate: 0x8f, Correlation: -0.11301360498128646
Candidate: 0x47, Correlation: -0.11265342387061963
Candidate: 0xab, Correlation: -0.11214651611033487
Candidate: 0xd6, Correlation: -0.11125191891277655
Candidate: 0xb2, Correlation: -0.11092398740952833
Candidate: 0x7e, Correlation: -0.11033347077230637
Candidate: 0x7a, Correlation: -0.11001267207760201
Candidate: 0x85, Correlation: -0.10928643210909483
Candidate: 0x53, Correlation: -0.10925888758276245
Candidate: 0x9f, Correlation: -0.10810834646833588
Candidate: 0xeb, Correlation: -0.1077998457479384
Candidate: 0x2f, Correlation: -0.10724122620072048
Candidate: 0x3f, Correlation: -0.10692770182511926
Candidate: 0x13, Correlation: -0.10691486986992565
Candidate: 0xa1, Correlation: -0.10672202849826132
Candidate: 0x33, Correlation: -0.10554754753182684
Candidate: 0x9e, Correlation: -0.10517598481390765
Candidate: 0xe9, Correlation: -0.10455773597397092
Candidate: 0xb5, Correlation: -0.10385857764270862
Candidate: 0xd7, Correlation: -0.10375881052388157
Candidate: 0xae, Correlation: -0.10269690331717936
Candidate: 0x8e, Correlation: -0.10240673569184591
Candidate: 0x86, Correlation: -0.10117801020709419
Candidate: 0x65, Correlation: -0.10047479918689455
Candidate: 0x4e, Correlation: -0.09994738769589889
Candidate: 0xba, Correlation: -0.09754439207114604
Candidate: 0x11, Correlation: -0.09533086375865751
Candidate: 0x52, Correlation: -0.09524545513493662
Candidate: 0x92, Correlation: -0.09504066764430433
Candidate: 0x76, Correlation: -0.09414339673327268
Candidate: 0x31, Correlation: -0.0923166145543526
Candidate: 0xdb, Correlation: -0.09122548445064985
Candidate: 0x9a, Correlation: -0.0909023542675784
Candidate: 0x8a, Correlation: -0.08983856294158198
Candidate: 0xd1, Correlation: -0.08957247010405257
Candidate: 0x5a, Correlation: -0.08912122384984822
Candidate: 0xed, Correlation: -0.08790199743282406
Candidate: 0x87, Correlation: -0.08727216735822713
Candidate: 0xaf, Correlation: -0.08703434928661645
Candidate: 0x36, Correlation: -0.08564653244453775
Candidate: 0x56, Correlation: -0.084991436771061
Candidate: 0xe1, Correlation: -0.08431218831881791
Candidate: 0xe5, Correlation: -0.08377492887116851
Candidate: 0x5e, Correlation: -0.0830785776724284
Candidate: 0xb6, Correlation: -0.08251672625571715
Candidate: 0x81, Correlation: -0.08233101781219267
Candidate: 0x35, Correlation: -0.08199246341806783
Candidate: 0xd5, Correlation: -0.08100641521612024
Candidate: 0x5b, Correlation: -0.08074164934319862
Candidate: 0x66, Correlation: -0.08069944216573254
