Candidate: 0xef, Correlation: -0.07721639539850457
Candidate: 0xeb, Correlation: -0.0766259573405
Candidate: 0xfe, Correlation: -0.07629264785584922
Candidate: 0x7b, Correlation: -0.07612962048320672
Candidate: 0x7c, Correlation: -0.07542243786794109
Candidate: 0x78, Correlation: -0.07542181495075723
Candidate: 0xc3, Correlation: -0.07519666718007981
Candidate: 0xe5, Correlation: -0.07490008606253386
Candidate: 0x12, Correlation: -0.07407728576580082
Candidate: 0x34, Correlation: -0.07391025684121517
Candidate: 0xf, Correlation: -0.07381114481714551
Candidate: 0xe7, Correlation: -0.07378061703870666
Candidate: 0xee, Correlation: -0.07303649914025155
Candidate: 0x1c, Correlation: -0.07280136789976953
Candidate: 0x4e, Correlation: -0.07239836803985894
Candidate: 0x7f, Correlation: -0.07232330436802252
Candidate: 0xc0, Correlation: -0.07223027337631344
Candidate: 0x71, Correlation: -0.07213109346398673
Candidate: 0xea, Correlation: -0.07208535997854514
Candidate: 0xc6, Correlation: -0.07110547191918724
Candidate: 0x2e, Correlation: -0.07107875117527819
Candidate: 0x3f, Correlation: -0.07004242617478358
Candidate: 0xd7, Correlation: -0.06982748548155733
Candidate: 0x75, Correlation: -0.06936181012499436
Candidate: 0x1f, Correlation: -0.0692768288818464
Candidate: 0x72, Correlation: -0.06919341627567564
Candidate: 0xc4, Correlation: -0.06863891470666642
Candidate: 0x13, Correlation: -0.06800262427682822
Candidate: 0x22, Correlation: -0.06745904658050328
Candidate: 0x4d, Correlation: -0.0673292627953761
Candidate: 0xf4, Correlation: -0.06718769991756984
Candidate: 0xd1, Correlation: -0.0667425104091397
Candidate: 0xc2, Correlation: -0.0665599076488626
Candidate: 0x48, Correlation: -0.06593566645749402
Candidate: 0x2f, Correlation: -0.06572771960441752
Candidate: 0xc5, Correlation: -0.06564134768970079
Candidate: 0xe2, Correlation: -0.0655054095537803
Candidate: 0x53, Correlation: -0.06518875840297521
Candidate: 0x69, Correlation: -0.06487804637509459
Candidate: 0x3d, Correlation: -0.0645926309221423
Candidate: 0x16, Correlation: -0.06414961332329107
Candidate: 0x3c, Correlation: -0.06412309170407017
Candidate: 0x7e, Correlation: -0.06396262515045206
Candidate: 0x7a, Correlation: -0.06371872963538751
Candidate: 0x4a, Correlation: -0.06246124739017306
Candidate: 0x1e, Correlation: -0.06242676329941523
Candidate: 0x5c, Correlation: -0.06228809704036794
Candidate: 0x6d, Correlation: -0.061812149279893036
Candidate: 0x35, Correlation: -0.06162861906355591
Candidate: 0xc7, Correlation: -0.061560947460869125
Candidate: 0x26, Correlation: -0.06146773018177639
Candidate: 0xe0, Correlation: -0.061175135962336896
Candidate: 0x5b, Correlation: -0.060526508477030054
Candidate: 0x23, Correlation: -0.060031177779862846
Candidate: 0x63, Correlation: -0.059729286696797466
Candidate: 0x76, Correlation: -0.05960004298909404
Candidate: 0x5e, Correlation: -0.059365244203965814
Candidate: 0x19, Correlation: -0.058403974638305885
Candidate: 0x1b, Correlation: -0.058397397161748466
Candidate: 0x52, Correlation: -0.057847833379474314
Candidate: 0xd5, Correlation: -0.057834787861926154
