Candidate: 0x54, Correlation: -0.12880807518913867
Candidate: 0xc1, Correlation: -0.12501159109815096
Candidate: 0xac, Correlation: -0.1237444802506838
Candidate: 0x73, Correlation: -0.12368640303802046
Candidate: 0xd4, Correlation: -0.12339824604406383
Candidate: 0xa6, Correlation: -0.12258900147204543
Candidate: 0x79, Correlation: -0.12194155952985751
Candidate: 0xc2, Correlation: -0.11881717806369439
Candidate: 0x19, Correlation: -0.11780622700071472
Candidate: 0xca, Correlation: -0.11688484583544546
Candidate: 0xba, Correlation: -0.11685800647921243
Candidate: 0x15, Correlation: -0.11637828832810862
Candidate: 0x7a, Correlation: -0.1134985519714842
Candidate: 0xcc, Correlation: -0.11045585093160093
Candidate: 0xed, Correlation: -0.11012171431728753
Candidate: 0x94, Correlation: -0.10975878115940145
Candidate: 0x3a, Correlation: -0.10953174974401644
Candidate: 0xcf, Correlation: -0.10882804089262992
Candidate: 0xbc, Correlation: -0.10826902820777515
Candidate: 0xe1, Correlation: -0.10787103867307102
Candidate: 0x52, Correlation: -0.10729722238183417
Candidate: 0x66, Correlation: -0.10679728056027618
Candidate: 0xe7, Correlation: -0.10653250399796645
Candidate: 0x63, Correlation: -0.10604054163553121
Candidate: 0x6a, Correlation: -0.10529871760084829
Candidate: 0x7c, Correlation: -0.1046637406946647
Candidate: 0xda, Correlation: -0.10424812255407223
Candidate: 0x41, Correlation: -0.10394117404290971
Candidate: 0x2e, Correlation: -0.10393795225018176
Candidate: 0xc6, Correlation: -0.10363215134328474
Candidate: 0xb3, Correlation: -0.10162605645742984
Candidate: 0x7e, Correlation: -0.10148743839397344
Candidate: 0x6c, Correlation: -0.10093973059219993
Candidate: 0x9a, Correlation: -0.10006070329058264
Candidate: 0x3c, Correlation: -0.09944626420981574
Candidate: 0x86, Correlation: -0.0990126644593422
Candidate: 0x7f, Correlation: -0.09892905246563105
Candidate: 0xf5, Correlation: -0.09765615869350379
Candidate: 0x1d, Correlation: -0.09624162750018307
Candidate: 0xd2, Correlation: -0.09616164123887105
Candidate: 0x47, Correlation: -0.09264314422598233
Candidate: 0x74, Correlation: -0.09197942069499755
Candidate: 0x72, Correlation: -0.09125779874232894
Candidate: 0xdc, Correlation: -0.09096110584119639
Candidate: 0xcd, Correlation: -0.08719294361859053
Candidate: 0x2f, Correlation: -0.08626267650855643
Candidate: 0x29, Correlation: -0.08589748823232941
Candidate: 0x4f, Correlation: -0.0857341700419234
Candidate: 0x21, Correlation: -0.08542761325901796
Candidate: 0x92, Correlation: -0.08492756185520668
Candidate: 0xc7, Correlation: -0.08447058832975461
Candidate: 0x9c, Correlation: -0.08328372279272644
Candidate: 0xe9, Correlation: -0.08267438838025265
Candidate: 0x25, Correlation: -0.0813546626390051
Candidate: 0xb4, Correlation: -0.08074875889505244
Candidate: 0xf1, Correlation: -0.08039095184535129
Candidate: 0xc5, Correlation: -0.08018158995955009
Candidate: 0x5a, Correlation: -0.07906581875779348
Candidate: 0x1e, Correlation: -0.07817716013532723
Candidate: 0xb9, Correlation: -0.07664144644791053
Candidate: 0xee, Correlation: -0.07604007104864689
Candidate: 0x39, Correlation: -0.07574208231914756
Candidate: 0xc9, Correlation: -0.07412587626681218
Candidate: 0xd9, Correlation: -0.07386121390462368
Candidate: 0x35, Correlation: -0.0737354925856141
Candidate: 0x49, Correlation: -0.07363619560312448
Candidate: 0x76, Correlation: -0.0733560658561415
Candidate: 0xe5, Correlation: -0.07311509471922317
Candidate: 0x4d, Correlation: -0.0731007117460131
Candidate: 0xd6, Correlation: -0.07104348479652407
Candidate: 0xb2, Correlation: -0.06996768090294113
