Candidate: 0xd, Correlation: -0.1430549911842143
Candidate: 0x9e, Correlation: -0.14166058541401527
Candidate: 0x79, Correlation: -0.1393420088194897
Candidate: 0xfd, Correlation: -0.1389943733471663
Candidate: 0x5, Correlation: -0.1370411289326406
Candidate: 0xfa, Correlation: -0.13418365893302397
Candidate: 0xe0, Correlation: -0.13097489385452202
Candidate: 0x54, Correlation: -0.13080819481945125
Candidate: 0xba, Correlation: -0.12857061751716908
Candidate: 0xf6, Correlation: -0.12721013377187118
Candidate: 0x6, Correlation: -0.12539376780823336
Candidate: 0x9b, Correlation: -0.12533765967555152
Candidate: 0x35, Correlation: -0.12305498010204535
Candidate: 0xf9, Correlation: -0.12260392551362986
Candidate: 0x19, Correlation: -0.11941444190445318
Candidate: 0x4d, Correlation: -0.11718617817969154
Candidate: 0x15, Correlation: -0.11588661050113751
Candidate: 0x45, Correlation: -0.11343278207392404
Candidate: 0x48, Correlation: -0.11093962358253867
Candidate: 0xb7, Correlation: -0.1092380985742692
Candidate: 0xd9, Correlation: -0.1069156799158198
Candidate: 0x2e, Correlation: -0.10522610101311475
Candidate: 0x3d, Correlation: -0.10356835938096094
Candidate: 0x8a, Correlation: -0.10149619029518653
Candidate: 0xca, Correlation: -0.10112560155181222
Candidate: 0xc2, Correlation: -0.10000329339952566
Candidate: 0x3, Correlation: -0.09884271727693927
Candidate: 0x2f, Correlation: -0.0982980746868003
Candidate: 0x93, Correlation: -0.09785908180037284
Candidate: 0x97, Correlation: -0.0954891743571315
Candidate: 0x59, Correlation: -0.09529354166889902
Candidate: 0x23, Correlation: -0.09382257792266084
Candidate: 0xf3, Correlation: -0.09274623969209976
Candidate: 0x67, Correlation: -0.08992069754483271
Candidate: 0x22, Correlation: -0.08896603240864956
Candidate: 0xb6, Correlation: -0.08859808782724761
Candidate: 0x55, Correlation: -0.088327988992561
Candidate: 0xf, Correlation: -0.0874683664172378
Candidate: 0x17, Correlation: -0.08614929696433565
Candidate: 0x18, Correlation: -0.08506419552845458
Candidate: 0x92, Correlation: -0.08427790959068103
Candidate: 0xff, Correlation: -0.08339995231619253
Candidate: 0x6a, Correlation: -0.08308811532540987
Candidate: 0xbb, Correlation: -0.08248642709181772
Candidate: 0xb, Correlation: -0.08031402260316502
Candidate: 0xea, Correlation: -0.08004016375909699
Candidate: 0x37, Correlation: -0.07828595464415679
Candidate: 0x5c, Correlation: -0.07752314367100521
Candidate: 0xd7, Correlation: -0.07721021903867513
Candidate: 0x3e, Correlation: -0.07685336209386823
Candidate: 0xd2, Correlation: -0.07673878082241163
Candidate: 0xe7, Correlation: -0.07671598477037128
Candidate: 0x26, Correlation: -0.07611440486071847
Candidate: 0x56, Correlation: -0.07502141748061968
Candidate: 0xfb, Correlation: -0.0735921755678846
Candidate: 0xce, Correlation: -0.07347281446494673
Candidate: 0x78, Correlation: -0.07327093659433707
Candidate: 0x32, Correlation: -0.07319026151640397
Candidate: 0xd8, Correlation: -0.07203655178353219
Candidate: 0x47, Correlation: -0.0716974511696404
Candidate: 0x4e, Correlation: -0.07166112479663299
Candidate: 0xef, Correlation: -0.07080764868051825
Candidate: 0x87, Correlation: -0.07080554908649422
Candidate: 0x58, Correlation: -0.07034665222544054
Candidate: 0x64, Correlation: -0.07024693204326833
Candidate: 0x3a, Correlation: -0.0702466171817895
Candidate: 0x1f, Correlation: -0.06879786112973985
Candidate: 0x7a, Correlation: -0.06785896959949882
Candidate: 0x16, Correlation: -0.06768851200429866
Candidate: 0x1b, Correlation: -0.06756165138827144
Candidate: 0x5e, Correlation: -0.06733415280004759
Candidate: 0xdb, Correlation: -0.0668757199614042
Candidate: 0xe6, Correlation: -0.06685136024433663
Candidate: 0x76, Correlation: -0.0658009595254307
Candidate: 0x1e, Correlation: -0.06560862034481195
Candidate: 0x4a, Correlation: -0.06549957019481435
Candidate: 0xf7, Correlation: -0.06544038135903466
Candidate: 0x7, Correlation: -0.06529320085149945
Candidate: 0x83, Correlation: -0.06518717559552978
Candidate: 0xda, Correlation: -0.06517820035727263
Candidate: 0x4f, Correlation: -0.0648110157799322
Candidate: 0x5a, Correlation: -0.06407395510566205
Candidate: 0x96, Correlation: -0.06403419640916479
Candidate: 0xc7, Correlation: -0.06387538890224721
Candidate: 0x60, Correlation: -0.06379254032543775
Candidate: 0x6b, Correlation: -0.06264362001395647
Candidate: 0xde, Correlation: -0.06250769414098302
Candidate: 0x8b, Correlation: -0.06239061997970634
Candidate: 0xc3, Correlation: -0.06215437578440784
Candidate: 0xdf, Correlation: -0.06178361125576788
Candidate: 0x52, Correlation: -0.06117274306650566
Candidate: 0x5b, Correlation: -0.0611203458957714
Candidate: 0xd6, Correlation: -0.06111669365977318
Candidate: 0x7e, Correlation: -0.060917407907555746
Candidate: 0x3b, Correlation: -0.060764044247882835
Candidate: 0x38, Correlation: -0.06059943684943094
Candidate: 0x57, Correlation: -0.06023246107777522
Candidate: 0x72, Correlation: -0.060221455408890644
Candidate: 0xe3, Correlation: -0.05860480012899145
Candidate: 0xcf, Correlation: -0.05815599262961492
Candidate: 0x1a, Correlation: -0.058137192922513695
Candidate: 0x5f, Correlation: -0.057117942158052035
Candidate: 0x8e, Correlation: -0.057106482581789374
Candidate: 0x7b, Correlation: -0.05676644400376343
Candidate: 0x53, Correlation: -0.05629288895242355
Candidate: 0x13, Correlation: -0.0556675780558121
Candidate: 0x36, Correlation: -0.0555435762232849
Candidate: 0x6f, Correlation: -0.055237253238713833
Candidate: 0x77, Correlation: -0.05514502017995828
Candidate: 0xbf, Correlation: -0.05514167297854861
Candidate: 0x8f, Correlation: -0.054643973198329795
Candidate: 0x3f, Correlation: -0.054234326021465544
Candidate: 0x42, Correlation: -0.054019347687842785
Candidate: 0x6e, Correlation: -0.05327130846112139
Candidate: 0xeb, Correlation: -0.05315469476881112
Candidate: 0x33, Correlation: -0.05274212327617728
Candidate: 0xe2, Correlation: -0.05246020280519597
Candidate: 0x62, Correlation: -0.05169290106756183
Candidate: 0x82, Correlation: -0.05108861536868857
Candidate: 0x43, Correlation: -0.0507160357745862
Candidate: 0x73, Correlation: -0.050502235746772345
Candidate: 0x86, Correlation: -0.04985508192552293
Candidate: 0x46, Correlation: -0.04945405544297054
Candidate: 0x66, Correlation: -0.04834099428546388
Candidate: 0x4b, Correlation: -0.048148412193438156
Candidate: 0xcb, Correlation: -0.04762249249286756
Candidate: 0xd3, Correlation: -0.04548308985065016
Candidate: 0x7f, Correlation: -0.04541685109092282
Candidate: 0x63, Correlation: -0.0453080523678371
Candidate: 0xbe, Correlation: -0.044993105711892946
Candidate: 0xc6, Correlation: -0.03741930598707371
