Candidate: 0x71, Correlation: -0.6110124264841923
Candidate: 0x70, Correlation: -0.608823967753849
Candidate: 0x0, Correlation: -0.5606085907304782
Candidate: 0x1, Correlation: -0.5592484068117624
Candidate: 0x2, Correlation: -0.5241124416722167
Candidate: 0x3, Correlation: -0.519952369904553
Candidate: 0x72, Correlation: -0.5189404458570996
Candidate: 0x73, Correlation: -0.5170789721014816
Candidate: 0x7c, Correlation: -0.5099138900797371
Candidate: 0x7d, Correlation: -0.5016842216366685
Candidate: 0x5, Correlation: -0.45905007253715674
Candidate: 0x4, Correlation: -0.4561307206671234
Candidate: 0x8, Correlation: -0.45253410525330606
Candidate: 0x9, Correlation: -0.4491534146313446
Candidate: 0x75, Correlation: -0.44860776431850335
Candidate: 0x74, Correlation: -0.4446305363269976
Candidate: 0x80, Correlation: -0.4344447018185079
Candidate: 0x81, Correlation: -0.43419861055607833
Candidate: 0x50, Correlation: -0.4275471006160426
Candidate: 0x51, Correlation: -0.42239480578582894
Candidate: 0xa, Correlation: -0.42211531418314646
Candidate: 0x78, Correlation: -0.42210238682755713
Candidate: 0x60, Correlation: -0.4211397521538126
Candidate: 0x79, Correlation: -0.41950811819558825
Candidate: 0x61, Correlation: -0.4187107224194485
Candidate: 0xb, Correlation: -0.4165361356622368
Candidate: 0x7, Correlation: -0.4164324716991967
Candidate: 0x6, Correlation: -0.41590070298451143
Candidate: 0xf1, Correlation: -0.4142426562447658
Candidate: 0xf0, Correlation: -0.41402794579689145
Candidate: 0x30, Correlation: -0.40795440708239666
Candidate: 0x31, Correlation: -0.4063587069362332
Candidate: 0x82, Correlation: -0.39861367110019735
Candidate: 0x83, Correlation: -0.3962071182165225
Candidate: 0x7e, Correlation: -0.38257801526987884
Candidate: 0x6c, Correlation: -0.3815028599147272
Candidate: 0x5c, Correlation: -0.3779271357449374
Candidate: 0x3c, Correlation: -0.37574109131284045
Candidate: 0x7f, Correlation: -0.3704828182434356
Candidate: 0x6d, Correlation: -0.36936955741042243
Candidate: 0x5d, Correlation: -0.3650951454360516
Candidate: 0x3d, Correlation: -0.3643678175654513
Candidate: 0x21, Correlation: -0.3606305175436416
Candidate: 0x20, Correlation: -0.35826778414985133
Candidate: 0xd, Correlation: -0.3534260438713767
Candidate: 0xc, Correlation: -0.3527856605058801
Candidate: 0x77, Correlation: -0.3524504519395946
Candidate: 0x76, Correlation: -0.35243987712412017
