Candidate: 0x17, Correlation: -0.1356978135697657
Candidate: 0xc0, Correlation: -0.13500440679336964
Candidate: 0xc1, Correlation: -0.13316714684078643
Candidate: 0x69, Correlation: -0.1312604445139917
Candidate: 0x12, Correlation: -0.12961147704811618
Candidate: 0x4d, Correlation: -0.12730726389595828
Candidate: 0x7, Correlation: -0.12603330784491054
Candidate: 0x2b, Correlation: -0.12421823912172994
Candidate: 0xfa, Correlation: -0.1185717922795251
Candidate: 0xfb, Correlation: -0.11782532522852403
Candidate: 0xfc, Correlation: -0.1159426200968849
Candidate: 0x2c, Correlation: -0.11458124763135288
Candidate: 0x60, Correlation: -0.11405513166636347
Candidate: 0xfd, Correlation: -0.11350786920518985
Candidate: 0x1b, Correlation: -0.11311623069150838
Candidate: 0x50, Correlation: -0.10810098134981004
Candidate: 0x3a, Correlation: -0.10669149086651716
Candidate: 0xba, Correlation: -0.10666426845740143
Candidate: 0x45, Correlation: -0.10517978178950232
Candidate: 0x46, Correlation: -0.10492641399264493
Candidate: 0x3b, Correlation: -0.10423957583386043
Candidate: 0x1c, Correlation: -0.10420161341124004
Candidate: 0x47, Correlation: -0.10382777397201705
Candidate: 0xbb, Correlation: -0.10285283892954644
Candidate: 0x83, Correlation: -0.10212622100565062
Candidate: 0x23, Correlation: -0.10206860997147249
Candidate: 0xac, Correlation: -0.09904165718592033
Candidate: 0xee, Correlation: -0.09893466747000938
Candidate: 0xef, Correlation: -0.09786631357243948
Candidate: 0xbe, Correlation: -0.09639066286245362
Candidate: 0x6e, Correlation: -0.09490508114787123
Candidate: 0x84, Correlation: -0.09369042927656955
Candidate: 0x13, Correlation: -0.09337490886367543
Candidate: 0xa8, Correlation: -0.09295321029822898
Candidate: 0xaa, Correlation: -0.09275122851777112
Candidate: 0x85, Correlation: -0.09242506179993101
Candidate: 0x1d, Correlation: -0.09236191250391246
Candidate: 0x24, Correlation: -0.09153039744763722
Candidate: 0x51, Correlation: -0.09144733908125666
Candidate: 0xbf, Correlation: -0.09044547107917139
Candidate: 0xab, Correlation: -0.08947147666532694
Candidate: 0xe4, Correlation: -0.0888188723990247
Candidate: 0xb6, Correlation: -0.08696181845419863
Candidate: 0x3e, Correlation: -0.0866492609007792
Candidate: 0xea, Correlation: -0.08601584552239958
Candidate: 0xb8, Correlation: -0.08563171678251158
Candidate: 0xad, Correlation: -0.08547674872695954
Candidate: 0x7e, Correlation: -0.08484060405807113
Candidate: 0x3f, Correlation: -0.08441839420695724
Candidate: 0x6a, Correlation: -0.08375934452692231
Candidate: 0x64, Correlation: -0.08354865776028564
Candidate: 0x6f, Correlation: -0.08331283128112818
Candidate: 0x14, Correlation: -0.08246834632782112
Candidate: 0xb9, Correlation: -0.08211986908025877
Candidate: 0x31, Correlation: -0.08168499731885918
Candidate: 0x38, Correlation: -0.0812595605424945
Candidate: 0x7c, Correlation: -0.08098096824793437
Candidate: 0xae, Correlation: -0.08002698552730454
Candidate: 0x61, Correlation: -0.08002000499020816
Candidate: 0x2d, Correlation: -0.07953161198634313
Candidate: 0xaf, Correlation: -0.07723998597651545
Candidate: 0x71, Correlation: -0.07691203827961923
Candidate: 0x39, Correlation: -0.07655405930359693
Candidate: 0xeb, Correlation: -0.07520892272524443
Candidate: 0xe5, Correlation: -0.07481813678495072
Candidate: 0x30, Correlation: -0.07418264547057034
Candidate: 0xb7, Correlation: -0.07404448089513502
Candidate: 0xe0, Correlation: -0.07388859440869536
Candidate: 0x2e, Correlation: -0.07368885265263374
Candidate: 0xa9, Correlation: -0.07247268026200245
Candidate: 0xe7, Correlation: -0.07243607630599644
Candidate: 0xbc, Correlation: -0.07209143977582809
Candidate: 0xf8, Correlation: -0.07204616597580733
Candidate: 0x7f, Correlation: -0.0720051506508998
Candidate: 0x6b, Correlation: -0.07125690714774233
Candidate: 0xf5, Correlation: -0.0712033193704799
Candidate: 0xf3, Correlation: -0.07062264235920859
Candidate: 0x7d, Correlation: -0.07045229536833966
Candidate: 0xbd, Correlation: -0.06972390808282285
Candidate: 0x25, Correlation: -0.06967064430560768
Candidate: 0xf2, Correlation: -0.0695290463695996
Candidate: 0xa0, Correlation: -0.0695134467164208
Candidate: 0xa5, Correlation: -0.06932578907785208
Candidate: 0x2f, Correlation: -0.06922535408284043
Candidate: 0x65, Correlation: -0.0690591101380709
Candidate: 0x78, Correlation: -0.06838291309616344
Candidate: 0x33, Correlation: -0.06750810877815329
Candidate: 0x27, Correlation: -0.06715835042761685
Candidate: 0xf9, Correlation: -0.06715033925369775
Candidate: 0x37, Correlation: -0.06635362667176778
Candidate: 0xa1, Correlation: -0.06578857760212928
Candidate: 0xf4, Correlation: -0.06577078562647069
Candidate: 0xe6, Correlation: -0.06512543905814047
Candidate: 0x32, Correlation: -0.06445009347563095
Candidate: 0x35, Correlation: -0.06410005697442149
Candidate: 0xb2, Correlation: -0.06286588316705564
Candidate: 0x34, Correlation: -0.06260888598755443
Candidate: 0x73, Correlation: -0.06250932594241272
Candidate: 0xb0, Correlation: -0.062178586190503246
Candidate: 0x75, Correlation: -0.06142997007831219
Candidate: 0xb5, Correlation: -0.06126699612744847
Candidate: 0xe1, Correlation: -0.06114603705377368
Candidate: 0x26, Correlation: -0.06078666670100049
Candidate: 0xb1, Correlation: -0.06061143792004175
Candidate: 0x3c, Correlation: -0.05988305299581553
Candidate: 0x62, Correlation: -0.05863095922413591
