Candidate: 0xe1, Correlation: -0.06585998248386933
Candidate: 0xaa, Correlation: -0.06489286466727733
Candidate: 0xf3, Correlation: -0.06481904311441407
Candidate: 0xf7, Correlation: -0.06466657460128918
Candidate: 0x15, Correlation: -0.06459512531369342
Candidate: 0x49, Correlation: -0.06381759373175254
Candidate: 0xdf, Correlation: -0.06372077940300841
Candidate: 0x2e, Correlation: -0.06358564930321457
Candidate: 0xb6, Correlation: -0.06300524803152134
Candidate: 0xeb, Correlation: -0.06240032302892026
Candidate: 0x7, Correlation: -0.062111930193257364
Candidate: 0x61, Correlation: -0.06168094758806188
Candidate: 0x9d, Correlation: -0.06140921568484841
Candidate: 0x63, Correlation: -0.061407446093142096
Candidate: 0xae, Correlation: -0.06073580795527078
Candidate: 0x43, Correlation: -0.06069650924680517
Candidate: 0x2a, Correlation: -0.06059666900612073
Candidate: 0x5, Correlation: -0.06012584977709001
Candidate: 0xb, Correlation: -0.059974986637641156
Candidate: 0xe3, Correlation: -0.059949579614216215
Candidate: 0xfd, Correlation: -0.0591102722936162
Candidate: 0x6d, Correlation: -0.058981180019516424
Candidate: 0x51, Correlation: -0.058566853475417124
Candidate: 0x1d, Correlation: -0.05834820653152721
Candidate: 0x1f, Correlation: -0.05820341863931986
Candidate: 0xbb, Correlation: -0.05810668038122451
Candidate: 0x68, Correlation: -0.05804436196990753
Candidate: 0xad, Correlation: -0.057617342287451655
Candidate: 0x47, Correlation: -0.05760544079427829
Candidate: 0xe7, Correlation: -0.05744358449091675
Candidate: 0xc5, Correlation: -0.057271681131737126
Candidate: 0x99, Correlation: -0.05715085822646457
Candidate: 0x9b, Correlation: -0.05687583892821392
Candidate: 0x19, Correlation: -0.056870363879384926
Candidate: 0x97, Correlation: -0.05682435592448756
Candidate: 0xdd, Correlation: -0.056392500180560474
Candidate: 0x5c, Correlation: -0.05620269913778962
Candidate: 0x7f, Correlation: -0.05612271009253456
Candidate: 0x45, Correlation: -0.055769991601549426
Candidate: 0xdb, Correlation: -0.055628763113340876
Candidate: 0x7a, Correlation: -0.0554551516521617
Candidate: 0xfa, Correlation: -0.055361402479348946
Candidate: 0x23, Correlation: -0.055193518074283264
Candidate: 0x9, Correlation: -0.055093344995694744
