Candidate: 0x1c, Correlation: -0.05645700231872045
Candidate: 0x78, Correlation: -0.056068195921993504
Candidate: 0x91, Correlation: -0.055896058277272155
Candidate: 0xc4, Correlation: -0.05582475460292872
Candidate: 0xe0, Correlation: -0.055820912402835716
Candidate: 0x2b, Correlation: -0.055244792507134946
Candidate: 0x5d, Correlation: -0.05498583185262471
Candidate: 0x8b, Correlation: -0.05482858327142657
Candidate: 0x36, Correlation: -0.05467844494286195
Candidate: 0xa1, Correlation: -0.05438358670295796
Candidate: 0x88, Correlation: -0.05436685228226122
Candidate: 0xde, Correlation: -0.05435788309775047
Candidate: 0xc, Correlation: -0.05434375274909916
Candidate: 0x2d, Correlation: -0.05432040935729975
Candidate: 0xa6, Correlation: -0.054118211785781876
Candidate: 0x4d, Correlation: -0.05409953054915584
Candidate: 0x30, Correlation: -0.05407073850363129
Candidate: 0x31, Correlation: -0.053962228567882214
Candidate: 0xe, Correlation: -0.053952665945732156
Candidate: 0xc5, Correlation: -0.05385489032855226
Candidate: 0x52, Correlation: -0.05378956460229585
Candidate: 0x8e, Correlation: -0.053786012157417566
Candidate: 0x1e, Correlation: -0.05368615596708371
Candidate: 0x50, Correlation: -0.053575172713540294
Candidate: 0x44, Correlation: -0.05352739405187382
Candidate: 0x5b, Correlation: -0.053320673076107085
Candidate: 0x42, Correlation: -0.05322887128500402
Candidate: 0xac, Correlation: -0.053204649822401244
Candidate: 0x32, Correlation: -0.053201444550615706
Candidate: 0xf0, Correlation: -0.05307807492576952
Candidate: 0x38, Correlation: -0.0529642601401709
Candidate: 0x92, Correlation: -0.05291622080545617
Candidate: 0xbb, Correlation: -0.05287068678692598
Candidate: 0xb0, Correlation: -0.052857003552980966
Candidate: 0x6e, Correlation: -0.052840359053311366
Candidate: 0x21, Correlation: -0.05281802846014656
Candidate: 0x86, Correlation: -0.0527700212688389
Candidate: 0x39, Correlation: -0.05274891822851169
Candidate: 0x3a, Correlation: -0.052525099771827455
Candidate: 0xad, Correlation: -0.05251271748639457
Candidate: 0xe2, Correlation: -0.05249819708305659
Candidate: 0x72, Correlation: -0.05247329481804444
Candidate: 0x5c, Correlation: -0.05237991318440657
Candidate: 0xda, Correlation: -0.05228880366541169
Candidate: 0x6c, Correlation: -0.052273614602707
Candidate: 0x26, Correlation: -0.052200647398947246
Candidate: 0x19, Correlation: -0.05219684666258283
Candidate: 0x8d, Correlation: -0.052155494538931604
Candidate: 0x1a, Correlation: -0.05202409585608657
Candidate: 0x29, Correlation: -0.051915727667654614
Candidate: 0xcb, Correlation: -0.051902870639360665
Candidate: 0xae, Correlation: -0.051901519465330045
Candidate: 0x6a, Correlation: -0.051832269849772974
Candidate: 0xaf, Correlation: -0.051815500702688824
