Candidate: 0x31, Correlation: -0.1412209153880187
Candidate: 0xa3, Correlation: -0.1406864615937553
Candidate: 0x65, Correlation: -0.14039466973912845
Candidate: 0x4d, Correlation: -0.14037989240591298
Candidate: 0x5b, Correlation: -0.14032692882168826
Candidate: 0xfa, Correlation: -0.14014279756095463
Candidate: 0x88, Correlation: -0.13990977608719765
Candidate: 0x7a, Correlation: -0.13935424166711616
Candidate: 0xc6, Correlation: -0.1388341094035627
Candidate: 0x30, Correlation: -0.13881957231271064
Candidate: 0xfc, Correlation: -0.13771069918070894
Candidate: 0x28, Correlation: -0.137642476193477
Candidate: 0xd9, Correlation: -0.13728866325693892
Candidate: 0x68, Correlation: -0.1371389174294744
Candidate: 0xb0, Correlation: -0.13701016718552889
Candidate: 0x6e, Correlation: -0.13666548324319075
Candidate: 0x18, Correlation: -0.13572356367157337
Candidate: 0x26, Correlation: -0.13564918565548603
Candidate: 0xf2, Correlation: -0.13413951847522956
Candidate: 0x49, Correlation: -0.1332708361283784
Candidate: 0x70, Correlation: -0.1332560996351688
Candidate: 0x7c, Correlation: -0.133226835008841
Candidate: 0x5d, Correlation: -0.1330749566442379
Candidate: 0xa6, Correlation: -0.13275809983676318
Candidate: 0x29, Correlation: -0.1327159813057236
Candidate: 0x48, Correlation: -0.13242541895476276
Candidate: 0xe1, Correlation: -0.13112902618980363
Candidate: 0xa9, Correlation: -0.13043392678149954
Candidate: 0xd8, Correlation: -0.1302449087580731
Candidate: 0x46, Correlation: -0.12755375907438504
Candidate: 0xad, Correlation: -0.12717198422101147
Candidate: 0x25, Correlation: -0.12703696638608963
Candidate: 0x51, Correlation: -0.1264611091374957
Candidate: 0x11, Correlation: -0.12630459621505094
Candidate: 0x1d, Correlation: -0.12615811706079308
Candidate: 0x9d, Correlation: -0.12575398943844154
Candidate: 0x19, Correlation: -0.12500386004871092
Candidate: 0x61, Correlation: -0.12491369508641345
Candidate: 0xd, Correlation: -0.1243468924297821
Candidate: 0x3e, Correlation: -0.12406700124865375
Candidate: 0x21, Correlation: -0.1238823434456825
Candidate: 0x2d, Correlation: -0.12347314245572222
Candidate: 0xa5, Correlation: -0.1231289740028718
Candidate: 0x9, Correlation: -0.12194406120224592
Candidate: 0x7e, Correlation: -0.12073663980081542
Candidate: 0xf0, Correlation: -0.12036907281619563
Candidate: 0x45, Correlation: -0.11959336572300718
Candidate: 0xa1, Correlation: -0.11759200726478913
Candidate: 0x89, Correlation: -0.11729850668421679
Candidate: 0xcd, Correlation: -0.11718844807640169
Candidate: 0xdd, Correlation: -0.11595655714592262
Candidate: 0xc9, Correlation: -0.11431334584740147
Candidate: 0x40, Correlation: -0.11386044312272553
Candidate: 0x80, Correlation: -0.11307083092248134
Candidate: 0x8d, Correlation: -0.11280519345959897
Candidate: 0x0, Correlation: -0.11003197821886304
Candidate: 0x91, Correlation: -0.10963710802009344
Candidate: 0x8e, Correlation: -0.10864791083239893
Candidate: 0xd1, Correlation: -0.10798094625986474
Candidate: 0xbe, Correlation: -0.10671015927316646
Candidate: 0x14, Correlation: -0.10639402355585248
