Candidate: 0x5a, Correlation: -0.256143784776598
Candidate: 0x11, Correlation: -0.2556868246635482
Candidate: 0x48, Correlation: -0.25511802828529573
Candidate: 0x92, Correlation: -0.2533468031082151
Candidate: 0xd1, Correlation: -0.253246864180372
Candidate: 0x78, Correlation: -0.2498000375768033
Candidate: 0xa7, Correlation: -0.24908832880728582
Candidate: 0x10, Correlation: -0.24878852810662855
Candidate: 0xfc, Correlation: -0.24778706753652416
Candidate: 0x29, Correlation: -0.2470215754307043
Candidate: 0xa, Correlation: -0.24693211723629893
Candidate: 0x2d, Correlation: -0.24549259276806606
Candidate: 0xcd, Correlation: -0.24307819588121302
Candidate: 0x5e, Correlation: -0.24303782610933536
Candidate: 0xd3, Correlation: -0.2426754873177187
Candidate: 0xef, Correlation: -0.24208797724299472
Candidate: 0xaf, Correlation: -0.23842900712119539
Candidate: 0x39, Correlation: -0.23796557243961963
Candidate: 0x4c, Correlation: -0.23671288016611003
Candidate: 0xe7, Correlation: -0.23556781094375426
Candidate: 0x19, Correlation: -0.23472745391776792
Candidate: 0xe5, Correlation: -0.23341974932937876
Candidate: 0xb1, Correlation: -0.23172199995363815
Candidate: 0xce, Correlation: -0.23161505481795194
Candidate: 0x93, Correlation: -0.22885835455600329
Candidate: 0xe1, Correlation: -0.22729296420370507
Candidate: 0xda, Correlation: -0.2257382346888193
Candidate: 0xb6, Correlation: -0.22312999463266958
Candidate: 0x8a, Correlation: -0.22217156154845677
Candidate: 0x62, Correlation: -0.220491515343115
Candidate: 0xc8, Correlation: -0.2200749950280796
Candidate: 0x79, Correlation: -0.21895649551076726
Candidate: 0xe6, Correlation: -0.21764770131714456
Candidate: 0x34, Correlation: -0.21764005034670394
Candidate: 0xad, Correlation: -0.21741837066783912
Candidate: 0xb0, Correlation: -0.21667855992401702
Candidate: 0x3a, Correlation: -0.21518987477154916
Candidate: 0xc1, Correlation: -0.21479355316194834
Candidate: 0x8b, Correlation: -0.21376089152970743
Candidate: 0xe0, Correlation: -0.21295206809269615
Candidate: 0x42, Correlation: -0.21075252493933908
Candidate: 0x1, Correlation: -0.2082080336545402
Candidate: 0xd9, Correlation: -0.20450707608879756
Candidate: 0xc4, Correlation: -0.20274259425939725
Candidate: 0xa4, Correlation: -0.2026726769266857
Candidate: 0x5c, Correlation: -0.20071382139038027
