Candidate: 0xb1, Correlation: -0.055876665120925456
Candidate: 0x9e, Correlation: -0.05582965123955042
Candidate: 0x71, Correlation: -0.055780922035616
Candidate: 0xbc, Correlation: -0.055564001096999625
Candidate: 0x95, Correlation: -0.05555087525825283
Candidate: 0x18, Correlation: -0.055411805402313774
Candidate: 0xf3, Correlation: -0.055276896430155376
Candidate: 0x43, Correlation: -0.05524331705634135
Candidate: 0x11, Correlation: -0.05522109735355167
Candidate: 0x96, Correlation: -0.055181957239305815
Candidate: 0xa3, Correlation: -0.05493268899359252
Candidate: 0xa0, Correlation: -0.05470800250353172
Candidate: 0xa1, Correlation: -0.05468771202565721
Candidate: 0xb3, Correlation: -0.05464114896824632
Candidate: 0xef, Correlation: -0.05462336884030344
Candidate: 0x15, Correlation: -0.05459368272064823
Candidate: 0x23, Correlation: -0.05446514252403033
Candidate: 0x68, Correlation: -0.05438740731707787
Candidate: 0xd5, Correlation: -0.05424682316582336
Candidate: 0x61, Correlation: -0.05411319252077208
Candidate: 0xf4, Correlation: -0.054108513867130906
Candidate: 0x93, Correlation: -0.05407151466205099
Candidate: 0xe7, Correlation: -0.054060817306414835
Candidate: 0x8, Correlation: -0.053966101796961055
Candidate: 0xe1, Correlation: -0.053906368024682516
Candidate: 0x8d, Correlation: -0.05381623056403047
Candidate: 0x21, Correlation: -0.05369859478581887
Candidate: 0xd3, Correlation: -0.05367295014255291
Candidate: 0x99, Correlation: -0.05366793013039764
Candidate: 0x29, Correlation: -0.053530215659524434
Candidate: 0x4e, Correlation: -0.05344168205156166
Candidate: 0x49, Correlation: -0.05328356700720199
Candidate: 0x78, Correlation: -0.05328328443224471
Candidate: 0x8c, Correlation: -0.0531226926685908
Candidate: 0x46, Correlation: -0.05311111530307239
Candidate: 0x7, Correlation: -0.05308411098135071
Candidate: 0xae, Correlation: -0.053043368795154866
Candidate: 0xb, Correlation: -0.05297684660322699
Candidate: 0x3d, Correlation: -0.052964399355631804
Candidate: 0x9d, Correlation: -0.05283003291436762
Candidate: 0x3c, Correlation: -0.05274794605890673
Candidate: 0x2b, Correlation: -0.05272815976107637
Candidate: 0x73, Correlation: -0.05264588875542106
Candidate: 0x1c, Correlation: -0.052618792125466066
Candidate: 0x35, Correlation: -0.052608893719008266
Candidate: 0xc, Correlation: -0.05258411165163288
