Candidate: 0x49, Correlation: -0.2767803788788953
Candidate: 0xc9, Correlation: -0.20232118724178966
Candidate: 0x9, Correlation: -0.18477916900232477
Candidate: 0x89, Correlation: -0.16281566321862792
Candidate: 0x47, Correlation: -0.1587148089093853
Candidate: 0x69, Correlation: -0.1534599960265663
Candidate: 0x39, Correlation: -0.1514193432285553
Candidate: 0x4a, Correlation: -0.14980166173528725
Candidate: 0x59, Correlation: -0.14530650018227434
Candidate: 0x45, Correlation: -0.14441480198475926
Candidate: 0x29, Correlation: -0.1439789858641012
Candidate: 0x48, Correlation: -0.1423203815248743
Candidate: 0x41, Correlation: -0.14179083287561356
Candidate: 0x4d, Correlation: -0.1403329894649706
Candidate: 0x4b, Correlation: -0.14007440210113214
Candidate: 0x51, Correlation: -0.1381521231277654
Candidate: 0xff, Correlation: -0.13110727028662358
Candidate: 0xe9, Correlation: -0.12066114343178039
Candidate: 0x79, Correlation: -0.10443726879052677
Candidate: 0x3d, Correlation: -0.10170129327608671
Candidate: 0xfe, Correlation: -0.1002445636504543
Candidate: 0xf9, Correlation: -0.09788701830692115
Candidate: 0xb9, Correlation: -0.09587459758424782
Candidate: 0x0, Correlation: -0.0957379689584236
Candidate: 0xa9, Correlation: -0.09416730866662665
Candidate: 0x46, Correlation: -0.09333602160048945
Candidate: 0xd9, Correlation: -0.09276236557595516
Candidate: 0xca, Correlation: -0.08979102235319128
Candidate: 0x19, Correlation: -0.08874201636635524
Candidate: 0xc8, Correlation: -0.08830345197969248
Candidate: 0xfd, Correlation: -0.08777504384914622
Candidate: 0x43, Correlation: -0.08460941183786226
Candidate: 0xc7, Correlation: -0.08296760735394924
Candidate: 0x55, Correlation: -0.08233440244066581
Candidate: 0x7f, Correlation: -0.07961765031569032
Candidate: 0x1, Correlation: -0.07737892884144641
Candidate: 0x3, Correlation: -0.07713192132849309
Candidate: 0x3f, Correlation: -0.07682142466742706
Candidate: 0x4f, Correlation: -0.07518955618162482
Candidate: 0xc5, Correlation: -0.07506203649576307
Candidate: 0x31, Correlation: -0.07384348209706836
Candidate: 0xd1, Correlation: -0.07294470422483275
Candidate: 0xf5, Correlation: -0.07263623521290417
Candidate: 0x7, Correlation: -0.07220920918841091
Candidate: 0xc1, Correlation: -0.07195077815366797
