Candidate: 0x50, Correlation: -0.06871212375552171
Candidate: 0x19, Correlation: -0.06749563312608152
Candidate: 0x47, Correlation: -0.06693181972986806
Candidate: 0x7f, Correlation: -0.06627331708564238
Candidate: 0xc8, Correlation: -0.06587134150504524
Candidate: 0xbf, Correlation: -0.06464550278163542
Candidate: 0x89, Correlation: -0.06433547182175567
Candidate: 0x4c, Correlation: -0.06392307416990527
Candidate: 0x3f, Correlation: -0.06383031643482717
Candidate: 0xb8, Correlation: -0.063726474051705
Candidate: 0xdb, Correlation: -0.0634954396360568
Candidate: 0xfa, Correlation: -0.0631124902638931
Candidate: 0x1c, Correlation: -0.06259123007930883
Candidate: 0x46, Correlation: -0.0618634172329901
Candidate: 0xe, Correlation: -0.061263647532609024
Candidate: 0x49, Correlation: -0.06100404789321034
Candidate: 0x5a, Correlation: -0.06095623457290656
Candidate: 0x98, Correlation: -0.06095509714431899
Candidate: 0x39, Correlation: -0.060733875868648854
Candidate: 0x5e, Correlation: -0.060695177532159764
Candidate: 0xd7, Correlation: -0.06046343061140982
Candidate: 0xd0, Correlation: -0.05995579094034616
Candidate: 0xed, Correlation: -0.05836701628493623
Candidate: 0xd8, Correlation: -0.05834934166400553
Candidate: 0x37, Correlation: -0.05810737277995103
Candidate: 0x77, Correlation: -0.057776405176158965
Candidate: 0xcf, Correlation: -0.057756901336316904
Candidate: 0xdf, Correlation: -0.05764012277392539
Candidate: 0x45, Correlation: -0.05757632462957499
Candidate: 0x4d, Correlation: -0.05719276313306162
Candidate: 0xb7, Correlation: -0.05716556163222451
Candidate: 0x3a, Correlation: -0.05646017074478384
Candidate: 0x78, Correlation: -0.056339950545947336
Candidate: 0x36, Correlation: -0.05631900939090623
Candidate: 0xee, Correlation: -0.05625747485680668
Candidate: 0x6f, Correlation: -0.055993907342814835
Candidate: 0x4f, Correlation: -0.05597509342283449
Candidate: 0x34, Correlation: -0.055963240718707154
Candidate: 0x2e, Correlation: -0.055872170211303494
Candidate: 0x1f, Correlation: -0.05574587815504523
Candidate: 0x56, Correlation: -0.05563125544401106
Candidate: 0x44, Correlation: -0.05562250900660883
Candidate: 0x5d, Correlation: -0.05544085814105354
Candidate: 0x9a, Correlation: -0.055294633346391474
Candidate: 0xda, Correlation: -0.05511954169694247
Candidate: 0xb9, Correlation: -0.054861695136491355
Candidate: 0x52, Correlation: -0.05480307444506661
Candidate: 0x9b, Correlation: -0.05478709733284419
Candidate: 0xf9, Correlation: -0.054745630481762696
Candidate: 0x79, Correlation: -0.054664706927887705
Candidate: 0xf6, Correlation: -0.05461461808171063
Candidate: 0x3e, Correlation: -0.05428802027145412
Candidate: 0xae, Correlation: -0.054260211433937174
Candidate: 0x8e, Correlation: -0.05410848013358599
Candidate: 0x5f, Correlation: -0.05404298476210174
Candidate: 0x75, Correlation: -0.05371984888036985
Candidate: 0xaf, Correlation: -0.053625351462189504
Candidate: 0x99, Correlation: -0.05360799598166623
Candidate: 0xc5, Correlation: -0.05359352606596631
Candidate: 0x6e, Correlation: -0.053481983230111316
Candidate: 0x51, Correlation: -0.053370042996902935
Candidate: 0xcc, Correlation: -0.05333569080279833
Candidate: 0xb5, Correlation: -0.05330991166006068
Candidate: 0x35, Correlation: -0.05326725273572685
Candidate: 0x57, Correlation: -0.05324899619410105
Candidate: 0xec, Correlation: -0.05296539937200501
Candidate: 0x8c, Correlation: -0.052857265657638854
Candidate: 0xad, Correlation: -0.05276704682240533
Candidate: 0x3c, Correlation: -0.05274783090105854
Candidate: 0x6d, Correlation: -0.05270260291244782
Candidate: 0xc4, Correlation: -0.0526792402847444
Candidate: 0x17, Correlation: -0.05258903889858894
Candidate: 0xde, Correlation: -0.05242378558799847
Candidate: 0x7b, Correlation: -0.05238159931395561
Candidate: 0x8d, Correlation: -0.05237451736912392
Candidate: 0xd4, Correlation: -0.05236667919154119
Candidate: 0x1b, Correlation: -0.0522534509865662
Candidate: 0x4e, Correlation: -0.052117759266429683
Candidate: 0x3d, Correlation: -0.0521078301278059
Candidate: 0x59, Correlation: -0.05172529877494199
Candidate: 0xbe, Correlation: -0.05171585920688949
Candidate: 0xb4, Correlation: -0.05147497580705596
Candidate: 0x14, Correlation: -0.05119628569170559
Candidate: 0x2f, Correlation: -0.051115542209145666
Candidate: 0xbb, Correlation: -0.0510878358146958
Candidate: 0xd, Correlation: -0.05088153770957888
Candidate: 0x1d, Correlation: -0.05084367420230721
Candidate: 0xac, Correlation: -0.05083957552068733
Candidate: 0x1e, Correlation: -0.050743274846019606
Candidate: 0xcd, Correlation: -0.05052105925023438
Candidate: 0xba, Correlation: -0.05050036409064014
Candidate: 0x5b, Correlation: -0.05047925251142142
Candidate: 0xb6, Correlation: -0.05030816680632157
Candidate: 0x55, Correlation: -0.05017218724882574
Candidate: 0xce, Correlation: -0.049885636475739105
Candidate: 0xd9, Correlation: -0.04973319141085393
Candidate: 0x3b, Correlation: -0.04969102048880885
Candidate: 0xd6, Correlation: -0.04935311822823
Candidate: 0x96, Correlation: -0.0493363775237018
Candidate: 0x5c, Correlation: -0.04920478305413627
Candidate: 0xfc, Correlation: -0.04916970308530603
Candidate: 0xbc, Correlation: -0.04910197615784054
Candidate: 0x9c, Correlation: -0.04906324002050294
Candidate: 0x6c, Correlation: -0.049034082070334356
Candidate: 0xf, Correlation: -0.04901006542130305
Candidate: 0xd5, Correlation: -0.04898764561214954
Candidate: 0xf8, Correlation: -0.048985798901435236
Candidate: 0x9d, Correlation: -0.04897864265971933
Candidate: 0x7a, Correlation: -0.04889066336346361
Candidate: 0x2d, Correlation: -0.048563395121127624
Candidate: 0x7d, Correlation: -0.0485619808846747
Candidate: 0x9e, Correlation: -0.04852542990269544
Candidate: 0xf5, Correlation: -0.04818596576085137
Candidate: 0x15, Correlation: -0.04802738412248239
Candidate: 0x74, Correlation: -0.04771883095636899
Candidate: 0xdc, Correlation: -0.04771358792991326
Candidate: 0xdd, Correlation: -0.04748269883312158
Candidate: 0xfd, Correlation: -0.04722999184654765
Candidate: 0x54, Correlation: -0.046647115531826745
Candidate: 0x8f, Correlation: -0.04655407742409004
Candidate: 0x76, Correlation: -0.04652909930783853
Candidate: 0x9f, Correlation: -0.04648235466446257
Candidate: 0x7e, Correlation: -0.046158638490956874
Candidate: 0xf4, Correlation: -0.04605554190593671
Candidate: 0xfe, Correlation: -0.04587401211931717
Candidate: 0x94, Correlation: -0.04565439302955666
Candidate: 0x95, Correlation: -0.04560004707626269
Candidate: 0x7c, Correlation: -0.045571437634901936
Candidate: 0x97, Correlation: -0.04541663030980073
Candidate: 0xbd, Correlation: -0.04519812917528973
Candidate: 0x16, Correlation: -0.04436550495357823
