Candidate: 0xec, Correlation: -0.054259007335209115
Candidate: 0x7a, Correlation: -0.054230338052630556
Candidate: 0xaf, Correlation: -0.054224935185082264
Candidate: 0x51, Correlation: -0.054214682236799816
Candidate: 0x95, Correlation: -0.05410663204580992
Candidate: 0x30, Correlation: -0.054028785835068864
Candidate: 0x3, Correlation: -0.05398479283994981
Candidate: 0x66, Correlation: -0.05391838633366018
Candidate: 0xca, Correlation: -0.05352263663845412
Candidate: 0x40, Correlation: -0.05349433709576186
Candidate: 0xf5, Correlation: -0.05345648884758597
Candidate: 0xc5, Correlation: -0.05330078822948327
Candidate: 0xa9, Correlation: -0.05327193512112636
Candidate: 0x83, Correlation: -0.05321179501266366
Candidate: 0x9c, Correlation: -0.05317321660785302
Candidate: 0x2d, Correlation: -0.05312013584902072
Candidate: 0x17, Correlation: -0.05297622758979867
Candidate: 0xb7, Correlation: -0.052917360545623494
Candidate: 0x60, Correlation: -0.05286632272682767
Candidate: 0xcb, Correlation: -0.0528595955898482
Candidate: 0x9, Correlation: -0.05275801936323897
Candidate: 0x89, Correlation: -0.052691867311370155
Candidate: 0x70, Correlation: -0.052684503819772834
Candidate: 0x9a, Correlation: -0.0526701062323503
Candidate: 0x77, Correlation: -0.05255780388672866
Candidate: 0xe1, Correlation: -0.052541834331509274
Candidate: 0x58, Correlation: -0.052531222066629246
Candidate: 0xe2, Correlation: -0.05244551980300862
Candidate: 0x9b, Correlation: -0.05206692117866904
Candidate: 0xb0, Correlation: -0.05202976144147705
Candidate: 0x84, Correlation: -0.05200231868973666
Candidate: 0xb3, Correlation: -0.05189834195395427
Candidate: 0x52, Correlation: -0.051875919400872314
Candidate: 0x7b, Correlation: -0.05181719766956737
Candidate: 0x33, Correlation: -0.051461646465171006
Candidate: 0x41, Correlation: -0.051453780110673114
Candidate: 0xcf, Correlation: -0.05141109633156443
Candidate: 0xac, Correlation: -0.05133923764282728
Candidate: 0x92, Correlation: -0.05130171881541213
Candidate: 0x90, Correlation: -0.051213223800162126
Candidate: 0x44, Correlation: -0.05110463082747482
Candidate: 0xe0, Correlation: -0.05084417579437087
Candidate: 0xf4, Correlation: -0.050767955902399804
Candidate: 0xba, Correlation: -0.050733064653346656
Candidate: 0x56, Correlation: -0.0507079226102712
Candidate: 0xc1, Correlation: -0.050627670180849516
Candidate: 0x28, Correlation: -0.05059564974812956
Candidate: 0x43, Correlation: -0.05057588586608688
Candidate: 0xa2, Correlation: -0.05056918732019615
Candidate: 0x47, Correlation: -0.05054784494991555
Candidate: 0x93, Correlation: -0.05054756507182667
Candidate: 0xc, Correlation: -0.0505183462957819
Candidate: 0xab, Correlation: -0.05050742757191069
Candidate: 0xdf, Correlation: -0.05023222707117809
Candidate: 0x48, Correlation: -0.05008087603055311
Candidate: 0x71, Correlation: -0.05003934995295521
Candidate: 0xd0, Correlation: -0.050030722398806154
Candidate: 0x23, Correlation: -0.04999219427666336
Candidate: 0x9d, Correlation: -0.04994308741529333
Candidate: 0xc7, Correlation: -0.04991020443415771
Candidate: 0x6b, Correlation: -0.0498574299343616
Candidate: 0xd2, Correlation: -0.04978933715161136
Candidate: 0xa8, Correlation: -0.04976969283441255
Candidate: 0x18, Correlation: -0.04976815166001111
Candidate: 0x5b, Correlation: -0.04963988081093881
Candidate: 0x35, Correlation: -0.04963147063045718
Candidate: 0xb5, Correlation: -0.04962761466334598
Candidate: 0xb8, Correlation: -0.04955906888168444
Candidate: 0x80, Correlation: -0.049372681063781156
Candidate: 0x4d, Correlation: -0.049363410941385216
Candidate: 0x8f, Correlation: -0.04929433645948753
Candidate: 0x49, Correlation: -0.049284861946655496
Candidate: 0x7, Correlation: -0.049265663574103676
Candidate: 0x88, Correlation: -0.049111115766227835
Candidate: 0x31, Correlation: -0.04893906939874754
Candidate: 0x8d, Correlation: -0.048792754559700474
Candidate: 0x21, Correlation: -0.048621565776164985
Candidate: 0xad, Correlation: -0.04853604612154407
Candidate: 0xdb, Correlation: -0.048535152520654955
Candidate: 0x22, Correlation: -0.048511702506772766
Candidate: 0xf8, Correlation: -0.048467676491983885
