Candidate: 0xdf, Correlation: -0.14887593156987333
Candidate: 0xe3, Correlation: -0.14860496292950373
Candidate: 0x26, Correlation: -0.14823327132389663
Candidate: 0x73, Correlation: -0.14775147167033975
Candidate: 0xc1, Correlation: -0.14760335106106018
Candidate: 0x59, Correlation: -0.1473795857962451
Candidate: 0xf3, Correlation: -0.14716828581935706
Candidate: 0x70, Correlation: -0.14603786978974256
Candidate: 0x7e, Correlation: -0.14580488627581292
Candidate: 0xd0, Correlation: -0.14574712606143786
Candidate: 0x41, Correlation: -0.14557321947796673
Candidate: 0xbb, Correlation: -0.1454056052159281
Candidate: 0xe8, Correlation: -0.1453639033910654
Candidate: 0xd3, Correlation: -0.1447737252526622
Candidate: 0x35, Correlation: -0.14419669120075154
Candidate: 0xd7, Correlation: -0.14405265916382354
Candidate: 0x8b, Correlation: -0.14303817334752264
Candidate: 0x2, Correlation: -0.14180874389688103
Candidate: 0xd, Correlation: -0.14176454553280454
Candidate: 0x2a, Correlation: -0.14105083582500347
Candidate: 0xc6, Correlation: -0.14094681953000826
Candidate: 0x3d, Correlation: -0.1406221291778192
Candidate: 0xcd, Correlation: -0.14052060568794766
Candidate: 0xc, Correlation: -0.1396655972842919
Candidate: 0xda, Correlation: -0.13910392918199374
Candidate: 0x3, Correlation: -0.13882967418721748
Candidate: 0x4b, Correlation: -0.13868982196457463
Candidate: 0x9, Correlation: -0.13841744783918203
Candidate: 0x93, Correlation: -0.1379643105440677
Candidate: 0x5, Correlation: -0.13787711047721496
Candidate: 0x5b, Correlation: -0.13672267007450278
Candidate: 0xfc, Correlation: -0.13648079461951051
Candidate: 0xdd, Correlation: -0.13643771413742575
Candidate: 0xf5, Correlation: -0.13480069891376847
Candidate: 0xc9, Correlation: -0.13477307539548905
Candidate: 0xed, Correlation: -0.13435930390954834
Candidate: 0xaa, Correlation: -0.13355095362485092
Candidate: 0x3b, Correlation: -0.1331509758539975
Candidate: 0x6b, Correlation: -0.13302127815674916
Candidate: 0x55, Correlation: -0.13280266005155714
Candidate: 0xba, Correlation: -0.13229920916451393
Candidate: 0xa6, Correlation: -0.13184916081230333
Candidate: 0x8d, Correlation: -0.1312120163025611
Candidate: 0xfd, Correlation: -0.1308855383297626
Candidate: 0x53, Correlation: -0.13076102520679997
Candidate: 0xd2, Correlation: -0.13040452909387404
Candidate: 0x66, Correlation: -0.130072614058381
Candidate: 0x1a, Correlation: -0.12988982034829544
Candidate: 0x1d, Correlation: -0.12915899222103513
Candidate: 0x45, Correlation: -0.1282254838524928
Candidate: 0x23, Correlation: -0.12781338972087036
Candidate: 0x27, Correlation: -0.12745012995266594
Candidate: 0xf9, Correlation: -0.12672045624475908
Candidate: 0x10, Correlation: -0.12656817205881432
Candidate: 0x68, Correlation: -0.1263652359495337
Candidate: 0x79, Correlation: -0.12634781323046018
Candidate: 0x4d, Correlation: -0.12596667546518114
Candidate: 0xce, Correlation: -0.1259572275995667
Candidate: 0x6e, Correlation: -0.1257941947482972
Candidate: 0x5a, Correlation: -0.12527618603733306
Candidate: 0x7a, Correlation: -0.1252484501650726
Candidate: 0xe6, Correlation: -0.12488538666865007
Candidate: 0xec, Correlation: -0.12482239282164678
Candidate: 0x3a, Correlation: -0.12472634070469647
Candidate: 0xfb, Correlation: -0.12449929258403679
Candidate: 0x75, Correlation: -0.12403056351724352
Candidate: 0xae, Correlation: -0.1239225572123437
Candidate: 0xee, Correlation: -0.12256075439454042
Candidate: 0x87, Correlation: -0.12199163867309931
Candidate: 0xb7, Correlation: -0.1213634376098652
Candidate: 0x32, Correlation: -0.12077667053502823
Candidate: 0x4a, Correlation: -0.12077400308355754
Candidate: 0xa7, Correlation: -0.12069409840781706
Candidate: 0xe5, Correlation: -0.12037621168043706
Candidate: 0x9a, Correlation: -0.1203539118226436
Candidate: 0x6d, Correlation: -0.12006512145357733
Candidate: 0xf4, Correlation: -0.11939738694846014
Candidate: 0xe7, Correlation: -0.11635795712381428
Candidate: 0xf0, Correlation: -0.1156175758222897
Candidate: 0x8f, Correlation: -0.1148753504921607
Candidate: 0x56, Correlation: -0.11328342725357933
Candidate: 0x37, Correlation: -0.1119581212189472
Candidate: 0x97, Correlation: -0.11093853680127828
Candidate: 0x17, Correlation: -0.11082028890896635
Candidate: 0x4e, Correlation: -0.10962422112791659
Candidate: 0xc7, Correlation: -0.1093536284135484
Candidate: 0x8a, Correlation: -0.10830508651598734
Candidate: 0x89, Correlation: -0.1076420972968857
Candidate: 0xaf, Correlation: -0.1063887423435715
Candidate: 0xb6, Correlation: -0.10638349188704743
Candidate: 0x12, Correlation: -0.10582211834247704
Candidate: 0xb1, Correlation: -0.10505499258879368
Candidate: 0x96, Correlation: -0.10477216354044393
Candidate: 0x52, Correlation: -0.10332296613311062
Candidate: 0x6a, Correlation: -0.10286761136013003
Candidate: 0xb2, Correlation: -0.10260040620082711
Candidate: 0x2f, Correlation: -0.10247593292661208
Candidate: 0x49, Correlation: -0.10186836738372627
Candidate: 0x76, Correlation: -0.10109369060916609
Candidate: 0x77, Correlation: -0.10063284418037535
Candidate: 0xf, Correlation: -0.10055411561635201
Candidate: 0x91, Correlation: -0.10050881877674295
Candidate: 0xd6, Correlation: -0.10036236450565462
Candidate: 0x71, Correlation: -0.09986078928607561
Candidate: 0x57, Correlation: -0.09828166461159606
Candidate: 0xf7, Correlation: -0.09751637434668664
Candidate: 0xe, Correlation: -0.09562066741838578
Candidate: 0xca, Correlation: -0.09467228925128697
Candidate: 0x31, Correlation: -0.09460267935636209
Candidate: 0xef, Correlation: -0.0935539195460384
Candidate: 0xcf, Correlation: -0.09194497422134676
Candidate: 0xf2, Correlation: -0.09102910556610104
Candidate: 0x6f, Correlation: -0.08935005233037858
Candidate: 0x36, Correlation: -0.0893182854726569
Candidate: 0x6, Correlation: -0.08891711693803749
Candidate: 0x11, Correlation: -0.08729367318162651
Candidate: 0x47, Correlation: -0.08390358992222033
Candidate: 0xea, Correlation: -0.08356682131067508
Candidate: 0xfa, Correlation: -0.08312958517031029
Candidate: 0x7, Correlation: -0.08114332125154755
Candidate: 0x16, Correlation: -0.07952817065764695
Candidate: 0x67, Correlation: -0.07867599663420156
Candidate: 0xf1, Correlation: -0.0775559201924784
Candidate: 0x8e, Correlation: -0.07155759221870772
Candidate: 0x4f, Correlation: -0.07035763366203565
Candidate: 0xf6, Correlation: -0.0649491024155072
Candidate: 0x72, Correlation: -0.06471136302248695
Candidate: 0xd1, Correlation: -0.06428165695980931
Candidate: 0xa, Correlation: -0.0592413079047057
Candidate: 0x92, Correlation: -0.05584434170337846
Candidate: 0x51, Correlation: -0.054770848985258094
