Candidate: 0x4b, Correlation: -0.13830825270905303
Candidate: 0x8, Correlation: -0.13614048387736474
Candidate: 0xef, Correlation: -0.13489349872816178
Candidate: 0xff, Correlation: -0.13417184594713144
Candidate: 0xe7, Correlation: -0.13395531881002315
Candidate: 0x11, Correlation: -0.1338571255720916
Candidate: 0xda, Correlation: -0.13361740184137477
Candidate: 0x61, Correlation: -0.13069732708167428
Candidate: 0xa2, Correlation: -0.13021206748699427
Candidate: 0xae, Correlation: -0.12995147177978628
Candidate: 0xcf, Correlation: -0.12722287080229988
Candidate: 0x4e, Correlation: -0.12567252734246978
Candidate: 0x69, Correlation: -0.12549881844366007
Candidate: 0x9f, Correlation: -0.12368649373293518
Candidate: 0x1a, Correlation: -0.12205126285553962
Candidate: 0x2a, Correlation: -0.1207511699482278
Candidate: 0x16, Correlation: -0.1203232901678401
Candidate: 0x52, Correlation: -0.1201059940070391
Candidate: 0xbf, Correlation: -0.12003362368373899
Candidate: 0x49, Correlation: -0.1196345572012755
Candidate: 0x1f, Correlation: -0.11828807205172039
Candidate: 0x2f, Correlation: -0.11806268560423881
Candidate: 0xdf, Correlation: -0.11755693161265039
Candidate: 0xd6, Correlation: -0.11663656085138499
Candidate: 0x85, Correlation: -0.11584856413115453
Candidate: 0x77, Correlation: -0.11214646847329704
Candidate: 0x5b, Correlation: -0.11183302573358314
Candidate: 0x6d, Correlation: -0.10772856519075666
Candidate: 0xaf, Correlation: -0.10693747533343008
Candidate: 0x96, Correlation: -0.10501147411497555
Candidate: 0x8b, Correlation: -0.10465759290903227
Candidate: 0x65, Correlation: -0.10421989658731047
Candidate: 0x43, Correlation: -0.10337958936192719
Candidate: 0xfd, Correlation: -0.10016266399326833
Candidate: 0xa6, Correlation: -0.09954644238540697
Candidate: 0xc1, Correlation: -0.09800730626503781
Candidate: 0x3, Correlation: -0.09784425159839759
Candidate: 0x6a, Correlation: -0.09703311111862144
Candidate: 0x7b, Correlation: -0.09457370724266723
Candidate: 0x41, Correlation: -0.09257115245109804
Candidate: 0x4a, Correlation: -0.09196620622318596
Candidate: 0x2b, Correlation: -0.09144285215747695
Candidate: 0x5d, Correlation: -0.09133750281643481
Candidate: 0x89, Correlation: -0.08917675348701361
Candidate: 0xc6, Correlation: -0.08854636717586707
Candidate: 0x4d, Correlation: -0.08840095656824846
Candidate: 0x36, Correlation: -0.08838308107018482
Candidate: 0x97, Correlation: -0.08761221451131199
Candidate: 0x78, Correlation: -0.08726915419282456
Candidate: 0x45, Correlation: -0.08512240773213563
Candidate: 0x73, Correlation: -0.08508098486035465
Candidate: 0xaa, Correlation: -0.08471948862647206
Candidate: 0xe1, Correlation: -0.08447083048935537
Candidate: 0xca, Correlation: -0.08389392336813624
Candidate: 0x53, Correlation: -0.08218120222347239
Candidate: 0x79, Correlation: -0.08168831585821607
Candidate: 0x5, Correlation: -0.08154684716589759
Candidate: 0xa1, Correlation: -0.08084333477921138
Candidate: 0x5a, Correlation: -0.0800746873704661
Candidate: 0xb6, Correlation: -0.07927635447455991
Candidate: 0xe3, Correlation: -0.0791609450530047
Candidate: 0x71, Correlation: -0.07839627393046025
Candidate: 0x25, Correlation: -0.0769367372254108
Candidate: 0xd9, Correlation: -0.07675415950858146
Candidate: 0xeb, Correlation: -0.07646354186367602
Candidate: 0x31, Correlation: -0.0760039261533628
Candidate: 0x3a, Correlation: -0.07527985421688188
Candidate: 0x56, Correlation: -0.07423124607508537
Candidate: 0xf7, Correlation: -0.07385142617077312
Candidate: 0xba, Correlation: -0.07377730054114116
Candidate: 0x9, Correlation: -0.07371809741303165
Candidate: 0x21, Correlation: -0.07348943255274465
Candidate: 0xab, Correlation: -0.0730654417453549
Candidate: 0xf9, Correlation: -0.07215648295991556
Candidate: 0x9a, Correlation: -0.07159586450094116
Candidate: 0x19, Correlation: -0.07091138123630672
Candidate: 0xc5, Correlation: -0.06984882736280325
Candidate: 0x15, Correlation: -0.0692463030441402
Candidate: 0x37, Correlation: -0.06882403826937389
Candidate: 0xcb, Correlation: -0.06842545995409487
Candidate: 0xa3, Correlation: -0.0680994028409063
Candidate: 0x51, Correlation: -0.06760016712454077
Candidate: 0x23, Correlation: -0.06744078700949337
Candidate: 0xc3, Correlation: -0.06699942507926952
Candidate: 0xf5, Correlation: -0.06647041278416241
Candidate: 0xe5, Correlation: -0.06606574016225021
Candidate: 0x93, Correlation: -0.06604315704506457
Candidate: 0xc9, Correlation: -0.06566900093070743
Candidate: 0xd1, Correlation: -0.06520695453616722
Candidate: 0x3d, Correlation: -0.06415884000173129
Candidate: 0xe9, Correlation: -0.06394299346313498
Candidate: 0xb5, Correlation: -0.06393450386706133
Candidate: 0x91, Correlation: -0.06311682718060108
Candidate: 0x95, Correlation: -0.06139113209321261
Candidate: 0x8d, Correlation: -0.0610557699133044
Candidate: 0xd7, Correlation: -0.06064803819936091
Candidate: 0xdb, Correlation: -0.06049226349293534
Candidate: 0xf3, Correlation: -0.060329231451982004
Candidate: 0x2d, Correlation: -0.060033875010150416
Candidate: 0x29, Correlation: -0.059584894949103726
Candidate: 0x35, Correlation: -0.0593448533548767
Candidate: 0x39, Correlation: -0.05873030267288159
Candidate: 0xbd, Correlation: -0.05869140041771932
Candidate: 0x75, Correlation: -0.05761055290466495
Candidate: 0x13, Correlation: -0.05703311586009513
Candidate: 0x59, Correlation: -0.05677151330614286
Candidate: 0xb7, Correlation: -0.056624697652750924
Candidate: 0xd3, Correlation: -0.056182358496280164
Candidate: 0x99, Correlation: -0.05427216208924543
Candidate: 0xb1, Correlation: -0.054264323570212956
Candidate: 0xb9, Correlation: -0.05378676675130254
Candidate: 0x55, Correlation: -0.05307931362382062
Candidate: 0xd5, Correlation: -0.05297640904526711
Candidate: 0xd, Correlation: -0.05294224868485684
Candidate: 0x17, Correlation: -0.05244148550322435
Candidate: 0xfb, Correlation: -0.05232222685683706
Candidate: 0x3b, Correlation: -0.05172814684949529
Candidate: 0xcd, Correlation: -0.051336902067889996
Candidate: 0xdd, Correlation: -0.05118274713370809
Candidate: 0xb3, Correlation: -0.050695984033705496
Candidate: 0x1d, Correlation: -0.050463081011530526
Candidate: 0xb, Correlation: -0.050141230606998606
Candidate: 0xbb, Correlation: -0.04950291247114114
Candidate: 0xa9, Correlation: -0.049111443635705514
Candidate: 0xad, Correlation: -0.04832337420903122
Candidate: 0xed, Correlation: -0.047899707481096704
Candidate: 0x9d, Correlation: -0.04705272580959484
Candidate: 0x9b, Correlation: -0.04494320163119394
Candidate: 0xa5, Correlation: -0.04418687733750262
Candidate: 0x33, Correlation: -0.04385343600373103
Candidate: 0x1b, Correlation: -0.04302279970130666
