Candidate: 0xa1, Correlation: -0.15696808394840644
Candidate: 0xd2, Correlation: -0.15672945799275476
Candidate: 0x2a, Correlation: -0.1540212100691746
Candidate: 0x19, Correlation: -0.1534358289087923
Candidate: 0x4a, Correlation: -0.15217280489685658
Candidate: 0x32, Correlation: -0.15183060339396448
Candidate: 0x7a, Correlation: -0.15137018784331424
Candidate: 0xe8, Correlation: -0.15103065912105215
Candidate: 0x43, Correlation: -0.1509399438190471
Candidate: 0x0, Correlation: -0.15090505023006845
Candidate: 0xed, Correlation: -0.1505206078405019
Candidate: 0x9f, Correlation: -0.1502664362751893
Candidate: 0xbd, Correlation: -0.14974709711553252
Candidate: 0x13, Correlation: -0.14969111299181873
Candidate: 0x54, Correlation: -0.14960075501010572
Candidate: 0xa2, Correlation: -0.14952681671823786
Candidate: 0xd0, Correlation: -0.14905871253894137
Candidate: 0x3d, Correlation: -0.14860834385717825
Candidate: 0xb7, Correlation: -0.14849402421543484
Candidate: 0x25, Correlation: -0.14835688520629894
Candidate: 0xea, Correlation: -0.14809280361615143
Candidate: 0x37, Correlation: -0.1477485677023602
Candidate: 0xc3, Correlation: -0.14732955314614396
Candidate: 0x82, Correlation: -0.14685850161399625
Candidate: 0xf6, Correlation: -0.14652275945346638
Candidate: 0x9a, Correlation: -0.146437552176298
Candidate: 0x40, Correlation: -0.14595801926388255
Candidate: 0x4e, Correlation: -0.14500313798976328
Candidate: 0xe1, Correlation: -0.14482043692895466
Candidate: 0x35, Correlation: -0.14409077442491164
Candidate: 0x96, Correlation: -0.14320654707257177
Candidate: 0xe9, Correlation: -0.14305510815628328
Candidate: 0x66, Correlation: -0.14288955976616402
Candidate: 0x76, Correlation: -0.14192729762563178
Candidate: 0x56, Correlation: -0.14041106608519405
Candidate: 0x5f, Correlation: -0.14037388763282088
Candidate: 0xb9, Correlation: -0.13961105024945286
Candidate: 0x5e, Correlation: -0.139561142863208
Candidate: 0x77, Correlation: -0.13942322306060226
Candidate: 0x79, Correlation: -0.13931295377560277
Candidate: 0xac, Correlation: -0.13905539429687436
Candidate: 0x28, Correlation: -0.1390112510266659
Candidate: 0x39, Correlation: -0.13867259870053658
Candidate: 0xb4, Correlation: -0.13754251899800915
Candidate: 0x45, Correlation: -0.13656539167460457
Candidate: 0x21, Correlation: -0.13624644648136894
Candidate: 0xf8, Correlation: -0.13402230288813527
Candidate: 0x48, Correlation: -0.13400645771553202
Candidate: 0xb5, Correlation: -0.13343981038950978
Candidate: 0x84, Correlation: -0.1333180552359337
Candidate: 0xaa, Correlation: -0.13321677200198978
Candidate: 0x86, Correlation: -0.13278945509581344
Candidate: 0x17, Correlation: -0.13251182177284954
Candidate: 0x1f, Correlation: -0.13192131324261644
Candidate: 0x31, Correlation: -0.1314080845588918
Candidate: 0x60, Correlation: -0.13116565378353567
Candidate: 0xe7, Correlation: -0.1305659324894831
Candidate: 0x8, Correlation: -0.13015812654745626
Candidate: 0x58, Correlation: -0.12750328698834704
Candidate: 0x7c, Correlation: -0.1270989387614739
Candidate: 0x20, Correlation: -0.12708204227834818
Candidate: 0x2e, Correlation: -0.12685503352300367
Candidate: 0xdf, Correlation: -0.12574696465859042
Candidate: 0x7e, Correlation: -0.12515362219261353
Candidate: 0x4c, Correlation: -0.12495229758241781
Candidate: 0xa, Correlation: -0.12427854463224736
Candidate: 0xe0, Correlation: -0.12387927353018828
Candidate: 0x71, Correlation: -0.12117492246296943
Candidate: 0x87, Correlation: -0.11893974461739772
Candidate: 0xa8, Correlation: -0.11653844628181141
Candidate: 0xa0, Correlation: -0.11528243773891804
Candidate: 0xbf, Correlation: -0.11495598961899808
Candidate: 0xc0, Correlation: -0.11458767684555511
Candidate: 0x94, Correlation: -0.11448601719442213
Candidate: 0xc8, Correlation: -0.11269400629032449
Candidate: 0x68, Correlation: -0.11071313469981213
Candidate: 0x89, Correlation: -0.10852000740829428
Candidate: 0x4f, Correlation: -0.1078440937099632
Candidate: 0x80, Correlation: -0.10676350090721899
Candidate: 0xad, Correlation: -0.10634440473079929
Candidate: 0x3f, Correlation: -0.10429785852439667
Candidate: 0x6f, Correlation: -0.10341444057723015
Candidate: 0xaf, Correlation: -0.10317237687747621
Candidate: 0xd9, Correlation: -0.10292826992913601
Candidate: 0xd5, Correlation: -0.10152560724979309
Candidate: 0xab, Correlation: -0.09979757899199805
Candidate: 0x99, Correlation: -0.09831616751801098
Candidate: 0xcf, Correlation: -0.09798037899751232
Candidate: 0x91, Correlation: -0.09785047680951875
Candidate: 0x2f, Correlation: -0.09657423687110038
Candidate: 0x98, Correlation: -0.0960742854608603
Candidate: 0x51, Correlation: -0.09518876274301889
Candidate: 0x8f, Correlation: -0.0950230856176947
Candidate: 0x55, Correlation: -0.09471645778256205
Candidate: 0x78, Correlation: -0.09237639745945479
Candidate: 0xb1, Correlation: -0.09214399771074978
Candidate: 0x6c, Correlation: -0.09126894554328698
Candidate: 0xc7, Correlation: -0.09126041034277832
Candidate: 0x33, Correlation: -0.08961964685334892
Candidate: 0xcb, Correlation: -0.087447181161556
Candidate: 0x53, Correlation: -0.08726718740557445
Candidate: 0xd7, Correlation: -0.08650136459059227
Candidate: 0xd3, Correlation: -0.0858993521169023
Candidate: 0xd1, Correlation: -0.0858385326888024
Candidate: 0x2b, Correlation: -0.08568037690801947
Candidate: 0xf1, Correlation: -0.08417709239434878
Candidate: 0x47, Correlation: -0.08374583160968459
Candidate: 0x74, Correlation: -0.08129330266196887
Candidate: 0x88, Correlation: -0.08060636048359383
Candidate: 0x8c, Correlation: -0.07940568614635496
Candidate: 0x97, Correlation: -0.07889759342020869
Candidate: 0xb3, Correlation: -0.0765159564046052
Candidate: 0x41, Correlation: -0.07501960142919377
Candidate: 0x27, Correlation: -0.07451579314797416
Candidate: 0x67, Correlation: -0.0742809813832457
Candidate: 0xc1, Correlation: -0.07410824102614781
Candidate: 0x29, Correlation: -0.07347296123695773
Candidate: 0xcd, Correlation: -0.07324671487806299
Candidate: 0x69, Correlation: -0.07139277161608332
Candidate: 0xc9, Correlation: -0.07062608764830504
Candidate: 0x4d, Correlation: -0.07034642236100852
Candidate: 0x57, Correlation: -0.06717238886304265
Candidate: 0x4b, Correlation: -0.06714477077144884
Candidate: 0x59, Correlation: -0.06559333116178456
Candidate: 0x11, Correlation: -0.06262347861855266
Candidate: 0xef, Correlation: -0.06069478937280627
Candidate: 0x49, Correlation: -0.06040557706521633
Candidate: 0x2d, Correlation: -0.05591005600258353
Candidate: 0xf, Correlation: -0.0482858550387813
Candidate: 0xa7, Correlation: -0.045578109746599905
Candidate: 0xa9, Correlation: -0.03703464117472865
