Candidate: 0xa9, Correlation: -0.1169114711136694
Candidate: 0x5, Correlation: -0.11550690870112684
Candidate: 0xdb, Correlation: -0.1130264933605165
Candidate: 0xf3, Correlation: -0.11239141063178164
Candidate: 0xc6, Correlation: -0.11157882082611498
Candidate: 0x1b, Correlation: -0.11156432560398095
Candidate: 0x6, Correlation: -0.11152006736043318
Candidate: 0xd2, Correlation: -0.11082433260876039
Candidate: 0xc7, Correlation: -0.11056516932855062
Candidate: 0x67, Correlation: -0.11021921587538352
Candidate: 0x57, Correlation: -0.10979246347733082
Candidate: 0xf2, Correlation: -0.10960872570817531
Candidate: 0xcb, Correlation: -0.10791288044420073
Candidate: 0x70, Correlation: -0.10771896486718217
Candidate: 0x32, Correlation: -0.10761949988320646
Candidate: 0xf5, Correlation: -0.10739137635950789
Candidate: 0x42, Correlation: -0.10645768340427937
Candidate: 0x69, Correlation: -0.1044767048311312
Candidate: 0x83, Correlation: -0.10433663466519967
Candidate: 0x2a, Correlation: -0.10409246637593604
Candidate: 0xb, Correlation: -0.1031409913165726
Candidate: 0xfd, Correlation: -0.10245605697097387
Candidate: 0xed, Correlation: -0.10187645590875613
Candidate: 0x99, Correlation: -0.10032136705292703
Candidate: 0x4b, Correlation: -0.09999196801841878
Candidate: 0x7d, Correlation: -0.09973648346785138
Candidate: 0x61, Correlation: -0.09957538726639517
Candidate: 0xc9, Correlation: -0.099511608162655
Candidate: 0xb9, Correlation: -0.09926257111992906
Candidate: 0xab, Correlation: -0.09922933055374908
Candidate: 0xa1, Correlation: -0.09871312100656761
Candidate: 0x5e, Correlation: -0.09838064170609137
Candidate: 0x39, Correlation: -0.0982772899048681
Candidate: 0x72, Correlation: -0.09701034089404242
Candidate: 0x74, Correlation: -0.09550766144415201
Candidate: 0x1e, Correlation: -0.095201411975727
Candidate: 0xb6, Correlation: -0.09509415087561154
Candidate: 0xb5, Correlation: -0.09254930033390432
Candidate: 0xb3, Correlation: -0.0907260074356979
Candidate: 0xee, Correlation: -0.0906205278563574
Candidate: 0xfa, Correlation: -0.09043252782486999
Candidate: 0x47, Correlation: -0.0900691348827256
Candidate: 0x7f, Correlation: -0.08963059761057442
Candidate: 0xa, Correlation: -0.08952289690394385
Candidate: 0x9f, Correlation: -0.08910967975147657
Candidate: 0xf6, Correlation: -0.08829834982992499
Candidate: 0x5f, Correlation: -0.0879318090455139
Candidate: 0x37, Correlation: -0.08716549561889392
Candidate: 0x2b, Correlation: -0.08703916141302975
Candidate: 0x82, Correlation: -0.08670017317404942
Candidate: 0x12, Correlation: -0.08666408054653701
Candidate: 0x59, Correlation: -0.08657666156931117
Candidate: 0x8c, Correlation: -0.08624815920024431
Candidate: 0x1d, Correlation: -0.08615467849813378
Candidate: 0xb7, Correlation: -0.0860886772233938
Candidate: 0x81, Correlation: -0.08521060159831893
Candidate: 0xce, Correlation: -0.08494883465144754
Candidate: 0x9a, Correlation: -0.08487209561180471
Candidate: 0xcd, Correlation: -0.08485754107835632
Candidate: 0x63, Correlation: -0.08447726107203164
Candidate: 0x4d, Correlation: -0.08440477979466927
Candidate: 0xd, Correlation: -0.08431442992322727
Candidate: 0x7e, Correlation: -0.08391754584965352
Candidate: 0x7c, Correlation: -0.08321425570296986
Candidate: 0x35, Correlation: -0.0827476810004693
Candidate: 0xfe, Correlation: -0.08138352689434507
Candidate: 0xd5, Correlation: -0.08082631935778194
Candidate: 0x66, Correlation: -0.0806319990189888
Candidate: 0xad, Correlation: -0.08044400523122035
Candidate: 0x85, Correlation: -0.08042758067087546
Candidate: 0x49, Correlation: -0.07938648140344165
Candidate: 0x6e, Correlation: -0.07928549528893823
Candidate: 0x3e, Correlation: -0.07898593730817219
Candidate: 0x52, Correlation: -0.07895752117420746
Candidate: 0x6a, Correlation: -0.07745367476701132
Candidate: 0xe, Correlation: -0.07733443681934597
Candidate: 0x84, Correlation: -0.07670269513131557
Candidate: 0xaf, Correlation: -0.07599910190785313
Candidate: 0x78, Correlation: -0.07551425006807108
Candidate: 0x36, Correlation: -0.0747755933122781
Candidate: 0x9d, Correlation: -0.07445522567538465
Candidate: 0x93, Correlation: -0.07379290506933883
Candidate: 0xd1, Correlation: -0.07370674051724073
Candidate: 0x2e, Correlation: -0.07366395703171609
Candidate: 0x76, Correlation: -0.07340475812301366
Candidate: 0x7b, Correlation: -0.07322479939509582
Candidate: 0xdd, Correlation: -0.07317206349221049
