Candidate: 0x57, Correlation: -0.18454380431289963
Candidate: 0xf9, Correlation: -0.181963834007534
Candidate: 0xca, Correlation: -0.18114811315416704
Candidate: 0x78, Correlation: -0.17998849442254844
Candidate: 0x35, Correlation: -0.17961493166766146
Candidate: 0xad, Correlation: -0.17943117802647082
Candidate: 0x9c, Correlation: -0.17868593660579096
Candidate: 0xba, Correlation: -0.1786611228250025
Candidate: 0x13, Correlation: -0.1772748582945178
Candidate: 0xc9, Correlation: -0.17512425735328863
Candidate: 0xb0, Correlation: -0.17501734453135182
Candidate: 0xab, Correlation: -0.1749852479303724
Candidate: 0x2b, Correlation: -0.16924386800622304
Candidate: 0x17, Correlation: -0.1692073682460086
Candidate: 0xfc, Correlation: -0.16789008104734338
Candidate: 0x50, Correlation: -0.1665015168470335
Candidate: 0x34, Correlation: -0.16307561131574083
Candidate: 0x31, Correlation: -0.16219858008485985
Candidate: 0xe7, Correlation: -0.16188719482859223
Candidate: 0xe3, Correlation: -0.1612496585168312
Candidate: 0x9, Correlation: -0.16075418587047913
Candidate: 0x93, Correlation: -0.15969724653061654
Candidate: 0x79, Correlation: -0.15821266766545014
Candidate: 0x67, Correlation: -0.15785051952419651
Candidate: 0x85, Correlation: -0.15773578668026642
Candidate: 0xb5, Correlation: -0.156961126633255
Candidate: 0xa4, Correlation: -0.15587433339798915
Candidate: 0x74, Correlation: -0.15269483776421922
Candidate: 0x1f, Correlation: -0.15243302676982995
Candidate: 0x97, Correlation: -0.15050519452058772
Candidate: 0xe6, Correlation: -0.1503285900830826
Candidate: 0xbd, Correlation: -0.1501095174702122
Candidate: 0xd8, Correlation: -0.1493093667405066
Candidate: 0x5e, Correlation: -0.14908154497154688
Candidate: 0x9f, Correlation: -0.14883620927330515
Candidate: 0x86, Correlation: -0.14775818681678443
Candidate: 0xd4, Correlation: -0.14748769173612203
Candidate: 0x2c, Correlation: -0.1469968424408193
Candidate: 0xe2, Correlation: -0.1457390467834306
Candidate: 0xaa, Correlation: -0.14440271518632583
Candidate: 0x39, Correlation: -0.14370285935507532
Candidate: 0x52, Correlation: -0.1436949739178714
Candidate: 0x56, Correlation: -0.1430568230408973
Candidate: 0x82, Correlation: -0.14248162654784038
Candidate: 0x63, Correlation: -0.14217163948615855
Candidate: 0xa8, Correlation: -0.13896402258616675
Candidate: 0xda, Correlation: -0.13761409187703805
Candidate: 0x61, Correlation: -0.13624371510713537
Candidate: 0x68, Correlation: -0.13430120473737453
Candidate: 0x6c, Correlation: -0.13360649770101315
Candidate: 0x65, Correlation: -0.1309921373418682
Candidate: 0xb1, Correlation: -0.13098588700339378
Candidate: 0x64, Correlation: -0.13081076368217878
Candidate: 0x81, Correlation: -0.13052561330613502
Candidate: 0xbe, Correlation: -0.1294316641072642
Candidate: 0x1e, Correlation: -0.1293623043496747
Candidate: 0xe9, Correlation: -0.12916092364493761
Candidate: 0x10, Correlation: -0.12850318974408734
Candidate: 0xa, Correlation: -0.128166630798635
Candidate: 0x23, Correlation: -0.1253498369893796
Candidate: 0x59, Correlation: -0.12467600355764187
Candidate: 0x8e, Correlation: -0.1235697098696996
Candidate: 0x16, Correlation: -0.1228465794770102
Candidate: 0xc6, Correlation: -0.12253953207306732
Candidate: 0x4a, Correlation: -0.1216200720085894
Candidate: 0xc2, Correlation: -0.12003917904362531
Candidate: 0x12, Correlation: -0.1195067992846272
Candidate: 0x27, Correlation: -0.1194371731289267
Candidate: 0xec, Correlation: -0.11682223796421301
Candidate: 0x46, Correlation: -0.1160380033064228
Candidate: 0xa0, Correlation: -0.11507431723146068
Candidate: 0x89, Correlation: -0.11410323836055343
Candidate: 0x9d, Correlation: -0.1113449733645236
Candidate: 0x8f, Correlation: -0.11077731621451255
Candidate: 0x42, Correlation: -0.11026946558348286
Candidate: 0x25, Correlation: -0.11000184849634054
Candidate: 0xb6, Correlation: -0.10846790371607327
Candidate: 0x21, Correlation: -0.10839948381231211
Candidate: 0x19, Correlation: -0.10838355709080788
Candidate: 0x94, Correlation: -0.10647730062536509
Candidate: 0xa3, Correlation: -0.10637969594253349
Candidate: 0x91, Correlation: -0.10619264462831694
Candidate: 0x98, Correlation: -0.1057303181965747
Candidate: 0x8a, Correlation: -0.10482072618917346
Candidate: 0x72, Correlation: -0.10425388422377739
Candidate: 0x95, Correlation: -0.10335750907507846
Candidate: 0x28, Correlation: -0.10201576685445585
Candidate: 0xc5, Correlation: -0.1017535388338272
Candidate: 0xa7, Correlation: -0.09967568579511878
Candidate: 0x1c, Correlation: -0.09844506851111204
Candidate: 0xfa, Correlation: -0.09828856197083465
Candidate: 0x3a, Correlation: -0.0982079562823615
Candidate: 0x24, Correlation: -0.09779093304520756
Candidate: 0xa9, Correlation: -0.09725011054203099
Candidate: 0x49, Correlation: -0.09563222690083516
Candidate: 0x76, Correlation: -0.0955107975441471
Candidate: 0x2a, Correlation: -0.09382800919013151
Candidate: 0x9a, Correlation: -0.09311238181309858
Candidate: 0xa6, Correlation: -0.09126600637548024
Candidate: 0x99, Correlation: -0.08976709219020841
Candidate: 0xa2, Correlation: -0.08668413746590131
Candidate: 0xc1, Correlation: -0.08437406219493365
Candidate: 0x7a, Correlation: -0.08419619273690372
Candidate: 0xb2, Correlation: -0.08395261683854542
Candidate: 0x36, Correlation: -0.08350632061473835
Candidate: 0x5c, Correlation: -0.08258750500936536
Candidate: 0x41, Correlation: -0.08247659138528825
Candidate: 0x45, Correlation: -0.0808791991971466
Candidate: 0x96, Correlation: -0.07721121724501337
Candidate: 0x14, Correlation: -0.07679583532798841
Candidate: 0xae, Correlation: -0.07543148328403759
Candidate: 0xdc, Correlation: -0.07528972162938864
Candidate: 0x58, Correlation: -0.07327267436271925
Candidate: 0x26, Correlation: -0.0732630068240001
Candidate: 0x90, Correlation: -0.07304392696625847
Candidate: 0xa5, Correlation: -0.07111477608935839
Candidate: 0x18, Correlation: -0.0709065478549166
Candidate: 0x6a, Correlation: -0.06877132959741541
Candidate: 0x22, Correlation: -0.06859403853528134
Candidate: 0x54, Correlation: -0.06416474151705728
Candidate: 0x32, Correlation: -0.05883411752146344
Candidate: 0x92, Correlation: -0.05814682843645244
Candidate: 0x9e, Correlation: -0.05677181654282737
Candidate: 0x29, Correlation: -0.05444205970673477
Candidate: 0x1a, Correlation: -0.05421308428508128
Candidate: 0x62, Correlation: -0.05150614402971716
Candidate: 0xa1, Correlation: -0.051330299439135516
Candidate: 0x5a, Correlation: -0.050024955282137004
Candidate: 0x66, Correlation: -0.04979209949151219
Candidate: 0xea, Correlation: -0.04726925819705175
Candidate: 0x69, Correlation: -0.0471039016766006
