Candidate: 0xcd, Correlation: -0.3861350979108175
Candidate: 0xf3, Correlation: -0.3861274475131533
Candidate: 0xd3, Correlation: -0.3846396549656428
Candidate: 0x79, Correlation: -0.38453021479304084
Candidate: 0xac, Correlation: -0.3841971860955101
Candidate: 0x2a, Correlation: -0.38399285902188024
Candidate: 0x91, Correlation: -0.3835706636129204
Candidate: 0xa3, Correlation: -0.38327229047600603
Candidate: 0x35, Correlation: -0.38233056356351186
Candidate: 0x4c, Correlation: -0.3817784588450985
Candidate: 0xfd, Correlation: -0.3810965318446039
Candidate: 0x99, Correlation: -0.37937435323934704
Candidate: 0xc6, Correlation: -0.3792270601070834
Candidate: 0x12, Correlation: -0.37912838512081226
Candidate: 0x4a, Correlation: -0.3785024829269862
Candidate: 0x40, Correlation: -0.3773294454774082
Candidate: 0xe0, Correlation: -0.3768336298582259
Candidate: 0xbc, Correlation: -0.3759908892277309
Candidate: 0xf8, Correlation: -0.3756002450282256
Candidate: 0x4f, Correlation: -0.37544635441457935
Candidate: 0x18, Correlation: -0.3743225089728587
Candidate: 0x51, Correlation: -0.3743145188883272
Candidate: 0x2, Correlation: -0.3735940433464803
Candidate: 0x61, Correlation: -0.37345993985864495
Candidate: 0xcf, Correlation: -0.3719543290183026
Candidate: 0x38, Correlation: -0.3716936551032838
Candidate: 0xd2, Correlation: -0.3712920506488154
Candidate: 0xd0, Correlation: -0.3697545848540728
Candidate: 0x8c, Correlation: -0.3696489884238467
Candidate: 0xe8, Correlation: -0.36909054783662265
Candidate: 0x71, Correlation: -0.36783934453411915
Candidate: 0x6b, Correlation: -0.3668343320971715
Candidate: 0x39, Correlation: -0.36672959648640335
Candidate: 0x13, Correlation: -0.36609528614535286
Candidate: 0x4e, Correlation: -0.3651005587278876
Candidate: 0xcb, Correlation: -0.36451624539977745
Candidate: 0x82, Correlation: -0.3630880391711568
Candidate: 0xc8, Correlation: -0.36296478803917753
Candidate: 0xc4, Correlation: -0.3628499040023773
Candidate: 0xbd, Correlation: -0.36254306968926153
Candidate: 0xe7, Correlation: -0.3623827341001892
Candidate: 0xb7, Correlation: -0.3623796926951186
Candidate: 0x2e, Correlation: -0.3617245836941184
Candidate: 0xa5, Correlation: -0.36148369021991467
Candidate: 0x84, Correlation: -0.3604777454978523
Candidate: 0xd8, Correlation: -0.35959972715830557
Candidate: 0xb4, Correlation: -0.3591283954071039
Candidate: 0x57, Correlation: -0.3582464470587653
Candidate: 0xa8, Correlation: -0.35807772417828004
Candidate: 0x4d, Correlation: -0.35749189850787244
Candidate: 0x53, Correlation: -0.35743455498919446
Candidate: 0x1, Correlation: -0.3572221378135644
Candidate: 0x4, Correlation: -0.35627197136547867
Candidate: 0xc5, Correlation: -0.356027362656106
Candidate: 0x6, Correlation: -0.3558728446740507
Candidate: 0xc2, Correlation: -0.35545479819300746
Candidate: 0x9, Correlation: -0.3549692831443424
Candidate: 0x21, Correlation: -0.35483603834230953
Candidate: 0xd6, Correlation: -0.35320937648483314
Candidate: 0x24, Correlation: -0.3521901797845328
Candidate: 0x69, Correlation: -0.3512362368409525
Candidate: 0xe4, Correlation: -0.3506490941620594
Candidate: 0xab, Correlation: -0.35018120609090636
Candidate: 0xb5, Correlation: -0.34975379361795805
Candidate: 0x5a, Correlation: -0.34901869033514854
Candidate: 0x5c, Correlation: -0.347530410635158
Candidate: 0xad, Correlation: -0.3473507628135226
Candidate: 0xb0, Correlation: -0.3465362896829699
Candidate: 0x62, Correlation: -0.34622786043270465
Candidate: 0x8, Correlation: -0.3461156903589703
Candidate: 0xf2, Correlation: -0.34542973356468853
Candidate: 0xfa, Correlation: -0.3451983494411698
Candidate: 0xe1, Correlation: -0.3448724607436043
Candidate: 0x50, Correlation: -0.34414946879715413
Candidate: 0x5b, Correlation: -0.343976264320909
Candidate: 0x72, Correlation: -0.3412050566118077
Candidate: 0x6c, Correlation: -0.34074423665148795
Candidate: 0x2d, Correlation: -0.34005281960405304
Candidate: 0xa9, Correlation: -0.339990515393834
Candidate: 0xb9, Correlation: -0.33890024154380727
Candidate: 0xc3, Correlation: -0.33804702132200604
Candidate: 0xaf, Correlation: -0.33758682114647615
Candidate: 0x30, Correlation: -0.33724295759787354
Candidate: 0x28, Correlation: -0.33523735257243203
Candidate: 0x15, Correlation: -0.3344627208567979
Candidate: 0x64, Correlation: -0.33406582353900405
Candidate: 0x47, Correlation: -0.33400480090861895
Candidate: 0x7c, Correlation: -0.3331751880244481
Candidate: 0x59, Correlation: -0.3309497606038192
Candidate: 0x23, Correlation: -0.33069321182262823
Candidate: 0x54, Correlation: -0.3301100474861829
Candidate: 0xf1, Correlation: -0.32919202233142175
Candidate: 0xd9, Correlation: -0.32684189307363326
Candidate: 0x6d, Correlation: -0.32667920861013877
Candidate: 0xa7, Correlation: -0.3265343983270338
Candidate: 0x31, Correlation: -0.32590843299704547
Candidate: 0xd1, Correlation: -0.3243655795301893
Candidate: 0x11, Correlation: -0.3242094549773099
Candidate: 0x48, Correlation: -0.3219686650994578
Candidate: 0xb8, Correlation: -0.3211980242465531
Candidate: 0xf6, Correlation: -0.32113866807279295
Candidate: 0xe9, Correlation: -0.3208532573614609
Candidate: 0xdf, Correlation: -0.3190163426952026
Candidate: 0x6a, Correlation: -0.3184025848270314
Candidate: 0x2b, Correlation: -0.31776451742104517
Candidate: 0x17, Correlation: -0.31398615014083203
Candidate: 0x45, Correlation: -0.31279120498836865
