Candidate: 0xea, Correlation: -0.05570999509529987
Candidate: 0xde, Correlation: -0.05569189585983157
Candidate: 0x31, Correlation: -0.055378151709879087
Candidate: 0xb4, Correlation: -0.05526967593307008
Candidate: 0x16, Correlation: -0.05526451078094051
Candidate: 0x87, Correlation: -0.05522228982457096
Candidate: 0x28, Correlation: -0.05521463269281379
Candidate: 0x8d, Correlation: -0.05516831813430017
Candidate: 0x46, Correlation: -0.0550430405882277
Candidate: 0x8, Correlation: -0.05498639809072255
Candidate: 0xd7, Correlation: -0.05498601477269763
Candidate: 0x88, Correlation: -0.05495942971845669
Candidate: 0x65, Correlation: -0.05487149469785002
Candidate: 0x7c, Correlation: -0.054867912257669044
Candidate: 0x13, Correlation: -0.05483519807409296
Candidate: 0x1c, Correlation: -0.054833935799022876
Candidate: 0x8e, Correlation: -0.054721208378750656
Candidate: 0x51, Correlation: -0.05462315505128263
Candidate: 0x54, Correlation: -0.05450489201708535
Candidate: 0x79, Correlation: -0.054499483197224266
Candidate: 0xd4, Correlation: -0.05445415960965672
Candidate: 0xc6, Correlation: -0.0544083872259463
Candidate: 0xa7, Correlation: -0.05431285837422176
Candidate: 0x81, Correlation: -0.05428512019647606
Candidate: 0x5a, Correlation: -0.05424644601819004
Candidate: 0xf4, Correlation: -0.05421845838674161
Candidate: 0x49, Correlation: -0.05372268342373762
Candidate: 0x6f, Correlation: -0.0536344700679249
Candidate: 0xe6, Correlation: -0.05348876495528562
Candidate: 0x6, Correlation: -0.053482316663329886
Candidate: 0x68, Correlation: -0.05345704404450637
Candidate: 0x29, Correlation: -0.05343759360757659
Candidate: 0x70, Correlation: -0.053428643515166525
Candidate: 0x95, Correlation: -0.05339252356472191
Candidate: 0x85, Correlation: -0.05334133452706673
Candidate: 0x2c, Correlation: -0.05332416023753933
Candidate: 0x67, Correlation: -0.0533050308580647
Candidate: 0x7e, Correlation: -0.053294960485522624
Candidate: 0x58, Correlation: -0.05324608132540467
Candidate: 0x15, Correlation: -0.053240548525411734
Candidate: 0xe5, Correlation: -0.053115978959552355
