Candidate: 0x53, Correlation: -0.07668078288207925
Candidate: 0xa2, Correlation: -0.07532745840404871
Candidate: 0xd7, Correlation: -0.07484942576751005
Candidate: 0x7, Correlation: -0.07458048447559018
Candidate: 0x7c, Correlation: -0.07406754695091596
Candidate: 0x3b, Correlation: -0.07396821017482551
Candidate: 0x25, Correlation: -0.07327726030414311
Candidate: 0x3, Correlation: -0.07300751424019802
Candidate: 0x12, Correlation: -0.07273938823556844
Candidate: 0xd2, Correlation: -0.07150205208590538
Candidate: 0x88, Correlation: -0.07085073820219934
Candidate: 0x7f, Correlation: -0.07084224054589124
Candidate: 0x61, Correlation: -0.07067290229134832
Candidate: 0x98, Correlation: -0.07010725612708864
Candidate: 0x94, Correlation: -0.06985929677368731
Candidate: 0x9c, Correlation: -0.06944274934853016
Candidate: 0xc4, Correlation: -0.06938640541599969
Candidate: 0x8c, Correlation: -0.0691881585585337
Candidate: 0xcb, Correlation: -0.06900583319369917
Candidate: 0xd0, Correlation: -0.06831724893315062
Candidate: 0x42, Correlation: -0.06818724217086512
Candidate: 0x96, Correlation: -0.06802677258379698
Candidate: 0x46, Correlation: -0.06771679130655683
Candidate: 0xd8, Correlation: -0.06714009531756902
Candidate: 0x35, Correlation: -0.06712218729709553
Candidate: 0x85, Correlation: -0.06642039763644951
Candidate: 0x43, Correlation: -0.0659725862116922
Candidate: 0x87, Correlation: -0.06571176079754754
Candidate: 0xfd, Correlation: -0.0653858359856536
Candidate: 0x2f, Correlation: -0.06528650362411192
Candidate: 0x81, Correlation: -0.06501401328415517
Candidate: 0x65, Correlation: -0.06459703719026016
Candidate: 0x33, Correlation: -0.06440999633948129
Candidate: 0x77, Correlation: -0.06427129842696186
Candidate: 0xa, Correlation: -0.06427103169573078
Candidate: 0xc7, Correlation: -0.06394351784018763
Candidate: 0xa8, Correlation: -0.06365060511354986
Candidate: 0xd4, Correlation: -0.06324564564272295
Candidate: 0xd1, Correlation: -0.0631132971188117
Candidate: 0x75, Correlation: -0.06288218208919832
Candidate: 0x71, Correlation: -0.0626674489481206
Candidate: 0xac, Correlation: -0.062483954963607403
Candidate: 0xb2, Correlation: -0.06234538972456216
Candidate: 0xf3, Correlation: -0.06225180268490357
Candidate: 0x16, Correlation: -0.06216841011418672
Candidate: 0xb9, Correlation: -0.06155523812404453
Candidate: 0xde, Correlation: -0.06144202841221
Candidate: 0xc8, Correlation: -0.06081086420108862
Candidate: 0x95, Correlation: -0.06077012333193838
Candidate: 0x8e, Correlation: -0.06038745125335848
Candidate: 0xf9, Correlation: -0.06035937555672497
Candidate: 0xb7, Correlation: -0.06035251535748018
Candidate: 0xc6, Correlation: -0.0597068759607832
Candidate: 0x3f, Correlation: -0.05931036600454542
Candidate: 0xf5, Correlation: -0.05896607730472486
Candidate: 0xc2, Correlation: -0.05885038526158196
Candidate: 0xec, Correlation: -0.05871016803266622
Candidate: 0xb1, Correlation: -0.05834441050603699
Candidate: 0x56, Correlation: -0.058122852998481314
Candidate: 0xb6, Correlation: -0.05788675454339622
Candidate: 0x27, Correlation: -0.057286617886348326
Candidate: 0x6b, Correlation: -0.057137457865394634
Candidate: 0xab, Correlation: -0.05698475766530695
Candidate: 0xf1, Correlation: -0.056633067975383686
Candidate: 0x23, Correlation: -0.05654937930148717
Candidate: 0xad, Correlation: -0.056442213857806796
Candidate: 0xbc, Correlation: -0.056392453991602295
Candidate: 0xce, Correlation: -0.05554327398543842
Candidate: 0x7b, Correlation: -0.055530425711831685
Candidate: 0xa9, Correlation: -0.05552978255560762
Candidate: 0xe5, Correlation: -0.055339304785506666
Candidate: 0x2a, Correlation: -0.05499028171876914
Candidate: 0xf8, Correlation: -0.05493581407545676
Candidate: 0x37, Correlation: -0.05477467276677738
Candidate: 0xb0, Correlation: -0.054591310414209344
Candidate: 0xa3, Correlation: -0.05458654704186713
Candidate: 0xf6, Correlation: -0.05449682290721569
Candidate: 0x52, Correlation: -0.05409959656697744
Candidate: 0xe1, Correlation: -0.05390346758441844
Candidate: 0x32, Correlation: -0.05382685279185992
Candidate: 0xfa, Correlation: -0.05378495625790513
Candidate: 0xb8, Correlation: -0.05372461673813193
Candidate: 0x6e, Correlation: -0.053699872583470025
Candidate: 0x7a, Correlation: -0.05340901422386652
Candidate: 0xbe, Correlation: -0.05315656483022004
Candidate: 0x72, Correlation: -0.05313247422007436
Candidate: 0xfc, Correlation: -0.053019521863551
Candidate: 0x73, Correlation: -0.05287048230294949
Candidate: 0xc1, Correlation: -0.05282368673849438
Candidate: 0x76, Correlation: -0.05267873204364018
Candidate: 0xe9, Correlation: -0.052643503636156205
Candidate: 0x3a, Correlation: -0.052466853129752515
Candidate: 0xae, Correlation: -0.052362244523310696
Candidate: 0xf7, Correlation: -0.052233412137579344
Candidate: 0xc3, Correlation: -0.05183477419877598
Candidate: 0x3e, Correlation: -0.05150579835971592
Candidate: 0x2b, Correlation: -0.05145098171926438
Candidate: 0x36, Correlation: -0.05126744585766561
Candidate: 0xa7, Correlation: -0.051221161688341364
Candidate: 0xe8, Correlation: -0.051128934947141956
Candidate: 0xca, Correlation: -0.05101008791766747
