Candidate: 0x2e, Correlation: -0.09143943891065094
Candidate: 0xd4, Correlation: -0.09103471871861243
Candidate: 0x4e, Correlation: -0.09091028973897997
Candidate: 0xc3, Correlation: -0.09065996834926679
Candidate: 0x8a, Correlation: -0.09003375936331023
Candidate: 0xad, Correlation: -0.08988175807408952
Candidate: 0xe9, Correlation: -0.08961727965643375
Candidate: 0x8, Correlation: -0.08924332997082952
Candidate: 0x1d, Correlation: -0.08862105770561016
Candidate: 0x25, Correlation: -0.0880098133348827
Candidate: 0xab, Correlation: -0.08779933672001522
Candidate: 0x41, Correlation: -0.08753057842823557
Candidate: 0x1b, Correlation: -0.08725095085206508
Candidate: 0x13, Correlation: -0.08710028436527315
Candidate: 0x99, Correlation: -0.08657845460974894
Candidate: 0x8f, Correlation: -0.08595950430121921
Candidate: 0x35, Correlation: -0.0858617345299187
Candidate: 0x14, Correlation: -0.08543498057424619
Candidate: 0xa3, Correlation: -0.08517872087654049
Candidate: 0xb0, Correlation: -0.08511798021062694
Candidate: 0xe0, Correlation: -0.08497728095798371
Candidate: 0x8e, Correlation: -0.08457985911429665
Candidate: 0x48, Correlation: -0.08444074543761375
Candidate: 0x33, Correlation: -0.08422498549756606
Candidate: 0x5, Correlation: -0.0840054703959382
Candidate: 0xea, Correlation: -0.08379429175711595
Candidate: 0x2a, Correlation: -0.08350550597321701
Candidate: 0x90, Correlation: -0.0834010315226542
Candidate: 0xe7, Correlation: -0.08335771504893788
Candidate: 0xee, Correlation: -0.08174053237735567
Candidate: 0x4a, Correlation: -0.08109688943051906
Candidate: 0x15, Correlation: -0.08075332930807883
Candidate: 0xda, Correlation: -0.08037582083864821
Candidate: 0x46, Correlation: -0.07990797823098912
Candidate: 0x9a, Correlation: -0.07986420420014562
Candidate: 0xd7, Correlation: -0.0798463117907071
Candidate: 0xef, Correlation: -0.07981495756577828
Candidate: 0xaa, Correlation: -0.07965177259755934
Candidate: 0xb, Correlation: -0.07824001083825965
Candidate: 0xde, Correlation: -0.07773741570752729
Candidate: 0xfe, Correlation: -0.07703219607789605
Candidate: 0xcb, Correlation: -0.07679338228792679
Candidate: 0x3f, Correlation: -0.07640154170283249
Candidate: 0x3e, Correlation: -0.07601907734771172
Candidate: 0xfa, Correlation: -0.075727805052098
Candidate: 0x97, Correlation: -0.07565349123345678
Candidate: 0x3a, Correlation: -0.07557846658896068
Candidate: 0xf9, Correlation: -0.07556349763494742
Candidate: 0xe1, Correlation: -0.07417688574679135
Candidate: 0xf2, Correlation: -0.0739862433209775
Candidate: 0xd9, Correlation: -0.07380585855729112
Candidate: 0xf8, Correlation: -0.07342707646938458
Candidate: 0xe6, Correlation: -0.07311584608008899
Candidate: 0xae, Correlation: -0.07276651230807128
Candidate: 0xc4, Correlation: -0.07274981178974141
Candidate: 0xb7, Correlation: -0.0726428206727427
Candidate: 0x23, Correlation: -0.07240850210950754
Candidate: 0xf7, Correlation: -0.07171771224654312
Candidate: 0xcd, Correlation: -0.07088037225058522
Candidate: 0x20, Correlation: -0.07037642322055551
Candidate: 0xdf, Correlation: -0.07020047804539549
Candidate: 0xf1, Correlation: -0.06908164783624392
Candidate: 0x27, Correlation: -0.06873193279198231
Candidate: 0x9, Correlation: -0.06823903960013004
Candidate: 0xf6, Correlation: -0.06726676604286737
Candidate: 0xd, Correlation: -0.06666384591667228
Candidate: 0xbf, Correlation: -0.06614461867597748
Candidate: 0x39, Correlation: -0.06549230971963718
Candidate: 0x1f, Correlation: -0.06469611451355316
Candidate: 0xa7, Correlation: -0.06415796286408758
Candidate: 0xc7, Correlation: -0.06382315304457636
Candidate: 0xc1, Correlation: -0.06365832034346214
Candidate: 0x96, Correlation: -0.063605012418474
Candidate: 0x9e, Correlation: -0.06335814542754382
Candidate: 0xd1, Correlation: -0.0627759978749087
Candidate: 0xc9, Correlation: -0.062391231303263496
Candidate: 0x7, Correlation: -0.06207134772052319
Candidate: 0xc0, Correlation: -0.0620664780522104
Candidate: 0xc8, Correlation: -0.06203262897357365
Candidate: 0xcf, Correlation: -0.06186727636135239
Candidate: 0x92, Correlation: -0.061336950833237966
Candidate: 0xff, Correlation: -0.06093734762191713
Candidate: 0xe2, Correlation: -0.060840299727707554
Candidate: 0x2f, Correlation: -0.06053566233055615
Candidate: 0x40, Correlation: -0.059600519296583866
Candidate: 0x42, Correlation: -0.059595034749657286
Candidate: 0xa0, Correlation: -0.05924880883267142
Candidate: 0x37, Correlation: -0.059235634050246726
Candidate: 0xb1, Correlation: -0.05888158185955911
Candidate: 0xa1, Correlation: -0.058756722638026206
Candidate: 0x12, Correlation: -0.05836398619533082
Candidate: 0x1, Correlation: -0.057940886408754354
Candidate: 0x2, Correlation: -0.05786221131526121
Candidate: 0xb9, Correlation: -0.057474309715716515
Candidate: 0x17, Correlation: -0.056921776165162086
Candidate: 0xd8, Correlation: -0.05638010075830656
Candidate: 0x21, Correlation: -0.05619657462664216
Candidate: 0x22, Correlation: -0.055141952666664766
Candidate: 0x6, Correlation: -0.05506936626535028
Candidate: 0x1e, Correlation: -0.0548310193148971
Candidate: 0x18, Correlation: -0.054405143326314444
Candidate: 0xaf, Correlation: -0.05437630799438352
Candidate: 0x11, Correlation: -0.05334651107659833
Candidate: 0x9f, Correlation: -0.053252823025395406
Candidate: 0xb8, Correlation: -0.05295712670325996
Candidate: 0xb6, Correlation: -0.05258417985193965
Candidate: 0x31, Correlation: -0.051797624747525875
Candidate: 0x26, Correlation: -0.05149269775777075
Candidate: 0x98, Correlation: -0.05070698472748531
Candidate: 0x29, Correlation: -0.0500733006073321
Candidate: 0xb2, Correlation: -0.04999439229306989
Candidate: 0xd6, Correlation: -0.04909082466989031
Candidate: 0x36, Correlation: -0.04896416068735393
Candidate: 0x1a, Correlation: -0.04860573121378374
Candidate: 0xd2, Correlation: -0.04843312031864481
Candidate: 0xce, Correlation: -0.048390025659884144
Candidate: 0xc6, Correlation: -0.0477239983033157
Candidate: 0xa9, Correlation: -0.04747237019509017
Candidate: 0x16, Correlation: -0.04727964438303175
Candidate: 0xa, Correlation: -0.04676311957936121
Candidate: 0x38, Correlation: -0.046574551683038895
Candidate: 0xba, Correlation: -0.046153763717821455
Candidate: 0x32, Correlation: -0.046129039270550724
Candidate: 0xa6, Correlation: -0.045987912906528525
Candidate: 0xf, Correlation: -0.04552927438366751
Candidate: 0xe, Correlation: -0.044986851173351286
Candidate: 0x19, Correlation: -0.04485871318705692
Candidate: 0xc2, Correlation: -0.0440553578819886
Candidate: 0xca, Correlation: -0.0438198048220641
Candidate: 0xbe, Correlation: -0.043115832977074976
Candidate: 0xa2, Correlation: -0.042629038913937344
