Candidate: 0x3, Correlation: -0.2246169519006831
Candidate: 0xfd, Correlation: -0.22373506155187098
Candidate: 0x8c, Correlation: -0.22263457751160587
Candidate: 0x89, Correlation: -0.22151581723487837
Candidate: 0xbe, Correlation: -0.22151485744956365
Candidate: 0xf7, Correlation: -0.22144765929434845
Candidate: 0x7a, Correlation: -0.2208678994868859
Candidate: 0xb4, Correlation: -0.22061226430518174
Candidate: 0x1f, Correlation: -0.2183140662687213
Candidate: 0x65, Correlation: -0.21716614906336465
Candidate: 0xdc, Correlation: -0.21677684730734886
Candidate: 0x29, Correlation: -0.21651383444304584
Candidate: 0x6d, Correlation: -0.21647686383038875
Candidate: 0xe7, Correlation: -0.2164562161580871
Candidate: 0x56, Correlation: -0.2155029426401075
Candidate: 0x26, Correlation: -0.21442413246102127
Candidate: 0xac, Correlation: -0.21383161744809812
Candidate: 0x4b, Correlation: -0.21306804977092614
Candidate: 0x85, Correlation: -0.21237474718976265
Candidate: 0x91, Correlation: -0.21144395614820857
Candidate: 0x79, Correlation: -0.2113968239516367
Candidate: 0xb1, Correlation: -0.2108333229567487
Candidate: 0x15, Correlation: -0.21045210184127297
Candidate: 0xc7, Correlation: -0.2087036484133444
Candidate: 0xde, Correlation: -0.20821164280241997
Candidate: 0x33, Correlation: -0.20735580387627117
Candidate: 0xcb, Correlation: -0.2073002953653844
Candidate: 0x83, Correlation: -0.20498316889251542
Candidate: 0x75, Correlation: -0.20435665300850162
Candidate: 0x9, Correlation: -0.2042199717561908
Candidate: 0xa8, Correlation: -0.20369958520662043
Candidate: 0xc6, Correlation: -0.20285483695076803
Candidate: 0x66, Correlation: -0.2028049305920003
Candidate: 0xaf, Correlation: -0.20106324825889446
Candidate: 0x4f, Correlation: -0.1999736903066508
Candidate: 0xa7, Correlation: -0.19898280717404668
Candidate: 0x76, Correlation: -0.1977167387266202
Candidate: 0x1e, Correlation: -0.19625585185870217
Candidate: 0x5d, Correlation: -0.1961769594693219
Candidate: 0x2c, Correlation: -0.19510273352320814
Candidate: 0xd3, Correlation: -0.19452081173579186
Candidate: 0xb2, Correlation: -0.19438477946652874
Candidate: 0x6e, Correlation: -0.19408147850633725
Candidate: 0x8f, Correlation: -0.193711026119484
Candidate: 0x4e, Correlation: -0.19305917987031523
Candidate: 0x5, Correlation: -0.1918458290663277
Candidate: 0x59, Correlation: -0.1914008475079198
Candidate: 0x36, Correlation: -0.1901759943968384
Candidate: 0x3e, Correlation: -0.1896931254284795
Candidate: 0xc, Correlation: -0.1893659897221577
Candidate: 0xce, Correlation: -0.18745357714295544
Candidate: 0x9e, Correlation: -0.1871411562052941
Candidate: 0x57, Correlation: -0.18705183324195515
Candidate: 0x47, Correlation: -0.18636288344894425
Candidate: 0x1a, Correlation: -0.18601874081787714
Candidate: 0xb6, Correlation: -0.1858660254794025
Candidate: 0x88, Correlation: -0.18445044653557233
Candidate: 0xd8, Correlation: -0.18347686288516954
Candidate: 0x9b, Correlation: -0.182354675178095
Candidate: 0x5b, Correlation: -0.18014946425356224
Candidate: 0xd6, Correlation: -0.17847381951354352
Candidate: 0xf9, Correlation: -0.17758693263413566
Candidate: 0x5c, Correlation: -0.17643591189631294
Candidate: 0x81, Correlation: -0.17478292327980663
Candidate: 0xb7, Correlation: -0.17384497947838498
Candidate: 0x96, Correlation: -0.17342002398914344
Candidate: 0xd1, Correlation: -0.17314119509122775
Candidate: 0x7f, Correlation: -0.17126271863667158
Candidate: 0xa5, Correlation: -0.17012908499817078
Candidate: 0xda, Correlation: -0.169799119319697
Candidate: 0x27, Correlation: -0.1697386550432461
Candidate: 0xcd, Correlation: -0.16907385278242226
Candidate: 0x3f, Correlation: -0.16828248994172865
Candidate: 0xbd, Correlation: -0.1667374260881072
Candidate: 0xa4, Correlation: -0.16524426166453923
Candidate: 0x55, Correlation: -0.16487185260885784
Candidate: 0x97, Correlation: -0.16387622380016736
Candidate: 0x5e, Correlation: -0.1636396905048701
Candidate: 0x84, Correlation: -0.16101321402075663
Candidate: 0xd9, Correlation: -0.1606187571594374
Candidate: 0xae, Correlation: -0.15967641970986868
Candidate: 0xe, Correlation: -0.15889959068946588
Candidate: 0xba, Correlation: -0.15878876323970506
Candidate: 0x7b, Correlation: -0.1565388398309588
Candidate: 0xd4, Correlation: -0.15644508487321218
Candidate: 0xa6, Correlation: -0.1551678653741069
Candidate: 0xbb, Correlation: -0.15248788066353222
Candidate: 0xed, Correlation: -0.15144913392414455
Candidate: 0x17, Correlation: -0.14609867901329393
Candidate: 0x92, Correlation: -0.1459950289528322
Candidate: 0xf, Correlation: -0.1437212653903863
Candidate: 0x1b, Correlation: -0.14053949810488472
Candidate: 0x6f, Correlation: -0.140394430843427
Candidate: 0x13, Correlation: -0.14020141754433518
Candidate: 0x25, Correlation: -0.13950129521778712
Candidate: 0x3a, Correlation: -0.13905734801757957
Candidate: 0xd5, Correlation: -0.13857753736601527
Candidate: 0x2f, Correlation: -0.13129429877352164
Candidate: 0xc1, Correlation: -0.12916984941791373
Candidate: 0xff, Correlation: -0.12872244669875021
Candidate: 0x77, Correlation: -0.12742457886648836
Candidate: 0xfb, Correlation: -0.12547414209914245
Candidate: 0x4d, Correlation: -0.12528879795722062
Candidate: 0x8a, Correlation: -0.12417180786116391
Candidate: 0x87, Correlation: -0.12416919939051209
Candidate: 0x8b, Correlation: -0.12259707687581288
Candidate: 0x39, Correlation: -0.11830494807297645
Candidate: 0xb, Correlation: -0.11755931093271565
Candidate: 0x8e, Correlation: -0.11624708471821114
Candidate: 0xc8, Correlation: -0.11525297715350859
Candidate: 0x49, Correlation: -0.11518342006747015
Candidate: 0x9a, Correlation: -0.11367218045246248
Candidate: 0x93, Correlation: -0.11099626427848513
Candidate: 0xcc, Correlation: -0.10842240585119683
Candidate: 0x7, Correlation: -0.1074856296732963
Candidate: 0x3d, Correlation: -0.10568098953493398
Candidate: 0x2e, Correlation: -0.1048515809394302
Candidate: 0x37, Correlation: -0.10424253190393395
Candidate: 0xc5, Correlation: -0.1036212605087598
Candidate: 0x86, Correlation: -0.10313459017668222
Candidate: 0x4c, Correlation: -0.09967290697284562
Candidate: 0xc9, Correlation: -0.0987199801545886
Candidate: 0xad, Correlation: -0.09508343452753676
Candidate: 0xb9, Correlation: -0.09338279987695507
Candidate: 0xc4, Correlation: -0.08985445661914139
Candidate: 0xb5, Correlation: -0.08955193018600432
Candidate: 0x3b, Correlation: -0.08897955156419501
Candidate: 0xef, Correlation: -0.08768907192156966
Candidate: 0x45, Correlation: -0.08691545365854951
Candidate: 0x35, Correlation: -0.08602128529118463
Candidate: 0x2d, Correlation: -0.05370280932014434
