Candidate: 0x60, Correlation: -0.16469652269153223
Candidate: 0x1f, Correlation: -0.16419332106281584
Candidate: 0xd1, Correlation: -0.16303835700861086
Candidate: 0xef, Correlation: -0.1629212842073587
Candidate: 0xe8, Correlation: -0.16227585960339785
Candidate: 0xae, Correlation: -0.161874924019227
Candidate: 0xc0, Correlation: -0.1608935253193669
Candidate: 0x70, Correlation: -0.1597032103035104
Candidate: 0x25, Correlation: -0.15958012503826374
Candidate: 0xdc, Correlation: -0.15900046631314876
Candidate: 0x48, Correlation: -0.1581448024687135
Candidate: 0xd3, Correlation: -0.15810223599379405
Candidate: 0xf9, Correlation: -0.15743455364156317
Candidate: 0xf2, Correlation: -0.15628338662262806
Candidate: 0x54, Correlation: -0.15611288079359503
Candidate: 0xb9, Correlation: -0.15540341184515094
Candidate: 0x91, Correlation: -0.155326724053158
Candidate: 0x7e, Correlation: -0.1521088327224652
Candidate: 0x3c, Correlation: -0.15149462571436548
Candidate: 0x33, Correlation: -0.14985721123884418
Candidate: 0xf8, Correlation: -0.14954741488120785
Candidate: 0xb0, Correlation: -0.1494652983437105
Candidate: 0x37, Correlation: -0.14906213009470715
Candidate: 0xf5, Correlation: -0.1489212311128119
Candidate: 0xb5, Correlation: -0.1474326649023738
Candidate: 0x8a, Correlation: -0.14614812124678192
Candidate: 0x80, Correlation: -0.1457325856428496
Candidate: 0x0, Correlation: -0.14306267786626414
Candidate: 0x1d, Correlation: -0.14242055645024734
Candidate: 0x1a, Correlation: -0.1394035417837266
Candidate: 0x67, Correlation: -0.13900227186055464
Candidate: 0xcb, Correlation: -0.13762836434985015
Candidate: 0x6b, Correlation: -0.1375953608439178
Candidate: 0x97, Correlation: -0.13755637823815717
Candidate: 0xe7, Correlation: -0.1372103029983224
Candidate: 0x62, Correlation: -0.13558819452148524
Candidate: 0x27, Correlation: -0.13530047712644677
Candidate: 0x5, Correlation: -0.13358270122884147
Candidate: 0x3f, Correlation: -0.13230515128041606
Candidate: 0x71, Correlation: -0.13153658272797392
Candidate: 0x92, Correlation: -0.13142553537431742
Candidate: 0x99, Correlation: -0.13040471366727888
Candidate: 0x86, Correlation: -0.12971218628355552
Candidate: 0xea, Correlation: -0.12967412034880446
Candidate: 0xb6, Correlation: -0.1296608159591509
Candidate: 0x77, Correlation: -0.12883117010654171
Candidate: 0x72, Correlation: -0.12869298842451216
Candidate: 0xd9, Correlation: -0.12821486995309525
Candidate: 0xa3, Correlation: -0.12780142613402623
Candidate: 0x21, Correlation: -0.127088466358634
Candidate: 0x5d, Correlation: -0.12656685863150194
Candidate: 0xbd, Correlation: -0.12588762255478111
Candidate: 0x6f, Correlation: -0.12557045812797696
Candidate: 0x69, Correlation: -0.12485924623501829
Candidate: 0x5b, Correlation: -0.12297672361811209
Candidate: 0xaf, Correlation: -0.12264151772046324
Candidate: 0xff, Correlation: -0.12228494845883056
Candidate: 0x9b, Correlation: -0.12177159601199353
Candidate: 0xfd, Correlation: -0.12159379026308643
Candidate: 0xb8, Correlation: -0.12146762679593234
Candidate: 0x7a, Correlation: -0.12090023855703935
Candidate: 0x17, Correlation: -0.11963419411115274
Candidate: 0xd5, Correlation: -0.11951996440119318
Candidate: 0xa7, Correlation: -0.11921176727629863
Candidate: 0xf4, Correlation: -0.11848598660450517
Candidate: 0xba, Correlation: -0.11841340364262835
Candidate: 0x95, Correlation: -0.11785263720553264
Candidate: 0x88, Correlation: -0.11478986145296749
Candidate: 0xed, Correlation: -0.1146530611606743
Candidate: 0x3b, Correlation: -0.11458458641659353
Candidate: 0x81, Correlation: -0.11417315156859359
Candidate: 0x7c, Correlation: -0.1139836748652332
Candidate: 0x74, Correlation: -0.11363731225839074
Candidate: 0x8d, Correlation: -0.11336321577016498
Candidate: 0x13, Correlation: -0.1130472517808958
Candidate: 0x65, Correlation: -0.11295074446064196
Candidate: 0xc6, Correlation: -0.11202599843494873
Candidate: 0x59, Correlation: -0.11193656030313083
Candidate: 0x2b, Correlation: -0.1118403215481674
Candidate: 0x7f, Correlation: -0.10878597685551099
Candidate: 0xf7, Correlation: -0.10664867155098984
