Candidate: 0x1b, Correlation: -0.17471340052619472
Candidate: 0x34, Correlation: -0.1742966633101283
Candidate: 0x5f, Correlation: -0.17414020214181
Candidate: 0xb7, Correlation: -0.1734944436946957
Candidate: 0x3f, Correlation: -0.1733314191041389
Candidate: 0x35, Correlation: -0.17004206355942458
Candidate: 0x2d, Correlation: -0.16838624928481907
Candidate: 0x8e, Correlation: -0.16702524810209482
Candidate: 0xd7, Correlation: -0.1663890097923876
Candidate: 0xaf, Correlation: -0.16585438710957226
Candidate: 0xb6, Correlation: -0.16555419516004957
Candidate: 0x25, Correlation: -0.16334091094589456
Candidate: 0xb8, Correlation: -0.16272946388604734
Candidate: 0xb1, Correlation: -0.16058528832776361
Candidate: 0x2f, Correlation: -0.16054749334671953
Candidate: 0xa7, Correlation: -0.1579511707236502
Candidate: 0xa9, Correlation: -0.1579042742816109
Candidate: 0x36, Correlation: -0.15709347161399934
Candidate: 0x98, Correlation: -0.1569625729357611
Candidate: 0xcd, Correlation: -0.15694272525369712
Candidate: 0x86, Correlation: -0.15658691189671783
Candidate: 0x23, Correlation: -0.15619264933763766
Candidate: 0x2e, Correlation: -0.154191848546824
Candidate: 0x8d, Correlation: -0.15268254535272538
Candidate: 0x1f, Correlation: -0.15165709839262143
Candidate: 0xc5, Correlation: -0.15116351284822888
Candidate: 0x95, Correlation: -0.15115602892545132
Candidate: 0x44, Correlation: -0.15055870328665757
Candidate: 0xd4, Correlation: -0.1504935975365552
Candidate: 0xd3, Correlation: -0.14907804320843968
Candidate: 0x30, Correlation: -0.1486882978569057
Candidate: 0x26, Correlation: -0.1474587076413668
Candidate: 0x96, Correlation: -0.14543033855334805
Candidate: 0x21, Correlation: -0.14534034058214249
Candidate: 0x85, Correlation: -0.14382207850383372
Candidate: 0x27, Correlation: -0.14336952373732692
Candidate: 0x4c, Correlation: -0.1428250211247217
Candidate: 0x79, Correlation: -0.1426690166513616
Candidate: 0x52, Correlation: -0.14247294078999778
Candidate: 0x64, Correlation: -0.14210296073250964
