Candidate: 0x45, Correlation: -0.24572741123342448
Candidate: 0x89, Correlation: -0.2444500343156887
Candidate: 0x3d, Correlation: -0.24371490619282202
Candidate: 0x82, Correlation: -0.2434419020569746
Candidate: 0xb0, Correlation: -0.24311592133016363
Candidate: 0x88, Correlation: -0.2430138968338736
Candidate: 0xc, Correlation: -0.24177444246673577
Candidate: 0x1d, Correlation: -0.2417474684035659
Candidate: 0xf7, Correlation: -0.2414224832515598
Candidate: 0x5d, Correlation: -0.23894806339503025
Candidate: 0x8f, Correlation: -0.23875425270576642
Candidate: 0x38, Correlation: -0.23801106410999417
Candidate: 0x86, Correlation: -0.23790646382533695
Candidate: 0x8c, Correlation: -0.23640500966455355
Candidate: 0xf4, Correlation: -0.23367859853915168
Candidate: 0x32, Correlation: -0.2302753247648347
Candidate: 0xf9, Correlation: -0.22883729536146352
Candidate: 0x5b, Correlation: -0.22876170100617363
Candidate: 0x7, Correlation: -0.22845014795308952
Candidate: 0xf6, Correlation: -0.2277353531135029
Candidate: 0x46, Correlation: -0.22763825867402993
Candidate: 0xb8, Correlation: -0.2275743987942905
Candidate: 0xf5, Correlation: -0.22745514416926393
Candidate: 0xae, Correlation: -0.22706030803832308
Candidate: 0x31, Correlation: -0.22564968842533212
Candidate: 0xd7, Correlation: -0.22240174230290852
Candidate: 0x4, Correlation: -0.22118918966248427
Candidate: 0x47, Correlation: -0.22027996737131592
Candidate: 0x35, Correlation: -0.21993909052486685
Candidate: 0xd4, Correlation: -0.2178143776669826
Candidate: 0x5, Correlation: -0.21675578613955693
Candidate: 0x23, Correlation: -0.21670507733293506
Candidate: 0xc2, Correlation: -0.21577410770898342
Candidate: 0xd5, Correlation: -0.21560890418497905
Candidate: 0xf8, Correlation: -0.2153650664592878
Candidate: 0xf2, Correlation: -0.2150534120930237
Candidate: 0x85, Correlation: -0.2132239555996226
Candidate: 0x75, Correlation: -0.21225788210859323
Candidate: 0x71, Correlation: -0.2104644857055159
Candidate: 0xef, Correlation: -0.20754443824918617
Candidate: 0x73, Correlation: -0.2068112442927736
Candidate: 0x81, Correlation: -0.20666214621495269
Candidate: 0x7e, Correlation: -0.2044434074633136
Candidate: 0xda, Correlation: -0.20406283935202205
Candidate: 0x2f, Correlation: -0.2039643432898745
Candidate: 0x36, Correlation: -0.2037459238261852
Candidate: 0x98, Correlation: -0.2022165841201739
Candidate: 0x51, Correlation: -0.20153940902664966
Candidate: 0x37, Correlation: -0.20125286028421274
Candidate: 0x72, Correlation: -0.2008973183347821
Candidate: 0xb2, Correlation: -0.20035873939847623
Candidate: 0x55, Correlation: -0.19975149136486686
Candidate: 0xc9, Correlation: -0.1989879417054297
Candidate: 0xc8, Correlation: -0.19778270182190805
Candidate: 0x61, Correlation: -0.1976374848112855
Candidate: 0xc6, Correlation: -0.19724683349166205
Candidate: 0x78, Correlation: -0.19637227556299336
Candidate: 0x79, Correlation: -0.1961938154404117
Candidate: 0x92, Correlation: -0.19531730584150844
Candidate: 0x83, Correlation: -0.19495602423703742
Candidate: 0x4e, Correlation: -0.19473268299212
Candidate: 0x67, Correlation: -0.19316337017578392
Candidate: 0x53, Correlation: -0.19288518655918624
Candidate: 0x99, Correlation: -0.19167766057645202
Candidate: 0x76, Correlation: -0.1898969730037725
Candidate: 0xb7, Correlation: -0.18969448488693655
Candidate: 0x65, Correlation: -0.18909116544315138
