Candidate: 0x13, Correlation: -0.15978659646208293
Candidate: 0xe3, Correlation: -0.15872687883978587
Candidate: 0x45, Correlation: -0.1585852102612978
Candidate: 0x1, Correlation: -0.15858388150619568
Candidate: 0x55, Correlation: -0.15661630644004682
Candidate: 0xfb, Correlation: -0.15378184255158456
Candidate: 0x24, Correlation: -0.15327378349676815
Candidate: 0x20, Correlation: -0.1530696011612506
Candidate: 0xdb, Correlation: -0.15281939936795055
Candidate: 0xb4, Correlation: -0.15269951479384988
Candidate: 0xe5, Correlation: -0.152334445568109
Candidate: 0x19, Correlation: -0.1522297186858712
Candidate: 0xc6, Correlation: -0.1495369650885782
Candidate: 0xb3, Correlation: -0.14880202367291212
Candidate: 0x1a, Correlation: -0.14864579140004658
Candidate: 0xbc, Correlation: -0.14659586257870588
Candidate: 0x60, Correlation: -0.14548348347590848
Candidate: 0x78, Correlation: -0.14410199615182628
Candidate: 0xbe, Correlation: -0.14227612932816042
Candidate: 0x26, Correlation: -0.14054168305260653
Candidate: 0x6a, Correlation: -0.13987871946103833
Candidate: 0x8c, Correlation: -0.13957136817538787
Candidate: 0x6c, Correlation: -0.13822871038794576
Candidate: 0x23, Correlation: -0.13807939142052414
Candidate: 0xd1, Correlation: -0.13797541332473956
Candidate: 0x18, Correlation: -0.13654544515636574
Candidate: 0x1e, Correlation: -0.13599824794342405
Candidate: 0x61, Correlation: -0.1358242839118507
Candidate: 0x6d, Correlation: -0.13560644508184638
Candidate: 0x30, Correlation: -0.13464784018376857
Candidate: 0xd0, Correlation: -0.13346502927503426
Candidate: 0x82, Correlation: -0.1331292741408181
Candidate: 0xed, Correlation: -0.13126408912845033
Candidate: 0x66, Correlation: -0.13039848799104536
Candidate: 0x97, Correlation: -0.12843264973643453
Candidate: 0x87, Correlation: -0.12840029719262688
Candidate: 0xd9, Correlation: -0.12739317838184755
Candidate: 0x94, Correlation: -0.12650218456063791
Candidate: 0xc9, Correlation: -0.12641049559806203
Candidate: 0xf1, Correlation: -0.12628538472426007
Candidate: 0x31, Correlation: -0.12605833715495143
Candidate: 0x7f, Correlation: -0.12604941092351465
Candidate: 0x70, Correlation: -0.12468380875769275
Candidate: 0x80, Correlation: -0.12419642048969463
Candidate: 0x5e, Correlation: -0.12345993319901916
Candidate: 0x91, Correlation: -0.1233715546739951
Candidate: 0x25, Correlation: -0.12328640846722302
Candidate: 0x9d, Correlation: -0.12204359606155
Candidate: 0x9c, Correlation: -0.1220046168391321
Candidate: 0x2a, Correlation: -0.1212961340849952
Candidate: 0x4d, Correlation: -0.12046829191355878
Candidate: 0x76, Correlation: -0.11994492042737233
Candidate: 0xca, Correlation: -0.11944994619690634
Candidate: 0xe7, Correlation: -0.11925550340229546
Candidate: 0x7a, Correlation: -0.11873329608085928
Candidate: 0x88, Correlation: -0.11864551635012768
Candidate: 0x58, Correlation: -0.11862113111042748
Candidate: 0xdf, Correlation: -0.11806089760195336
Candidate: 0xb1, Correlation: -0.11666964204849402
Candidate: 0xa7, Correlation: -0.11580290711918995
Candidate: 0xa2, Correlation: -0.11577516596123494
Candidate: 0xb5, Correlation: -0.11548323979639595
Candidate: 0xcd, Correlation: -0.11364904614716306
Candidate: 0xe1, Correlation: -0.11350083366978891
Candidate: 0xbd, Correlation: -0.11319143310598284
Candidate: 0x64, Correlation: -0.11309708748776726
Candidate: 0x28, Correlation: -0.11238815054521117
Candidate: 0xeb, Correlation: -0.11170313186519075
Candidate: 0xc1, Correlation: -0.11052792818286665
Candidate: 0x65, Correlation: -0.1102556826088953
Candidate: 0x59, Correlation: -0.10959128221043418
Candidate: 0xc3, Correlation: -0.10882124110424006
Candidate: 0xa9, Correlation: -0.10876158397630341
Candidate: 0x8b, Correlation: -0.10836489052271708
Candidate: 0xae, Correlation: -0.10792016111389441
Candidate: 0x71, Correlation: -0.1066881447414044
Candidate: 0x73, Correlation: -0.10350762191077856
Candidate: 0xc5, Correlation: -0.10297401060826435
Candidate: 0xac, Correlation: -0.10276454718483788
Candidate: 0x2b, Correlation: -0.10204551929515128
Candidate: 0xad, Correlation: -0.10140657391618492
Candidate: 0xb2, Correlation: -0.09940092144426588
Candidate: 0xe9, Correlation: -0.09904429164283576
Candidate: 0x6f, Correlation: -0.09772065764798117
Candidate: 0x9a, Correlation: -0.09733267408120228
Candidate: 0x57, Correlation: -0.09679381037253666
Candidate: 0x2d, Correlation: -0.09674090091635103
Candidate: 0x95, Correlation: -0.09655173167637468
Candidate: 0xa3, Correlation: -0.09640962307946158
Candidate: 0x21, Correlation: -0.09522324365642691
Candidate: 0xbb, Correlation: -0.09494270026179616
Candidate: 0xa0, Correlation: -0.09430902861045215
Candidate: 0xa5, Correlation: -0.09348565447464553
Candidate: 0xa1, Correlation: -0.09306628579104502
Candidate: 0x99, Correlation: -0.09059561879023566
Candidate: 0x1b, Correlation: -0.08581715252614242
Candidate: 0x8d, Correlation: -0.0857460142258991
Candidate: 0x96, Correlation: -0.08484334560847416
Candidate: 0x68, Correlation: -0.08438966870588818
Candidate: 0x69, Correlation: -0.08318095458271557
Candidate: 0x63, Correlation: -0.08211747788646569
Candidate: 0xcc, Correlation: -0.08133429956130239
Candidate: 0x85, Correlation: -0.08132789799820148
Candidate: 0xcb, Correlation: -0.08019906511197175
Candidate: 0xaf, Correlation: -0.07962932404945725
Candidate: 0xb0, Correlation: -0.07887563914872592
Candidate: 0x5b, Correlation: -0.07758806028890995
Candidate: 0xa4, Correlation: -0.07698295333839551
Candidate: 0xb8, Correlation: -0.07696177039896257
Candidate: 0x93, Correlation: -0.07675129096944852
Candidate: 0x89, Correlation: -0.073893401991668
Candidate: 0x81, Correlation: -0.07128867992924758
Candidate: 0xc8, Correlation: -0.06902730660196886
Candidate: 0xaa, Correlation: -0.06897176856622596
Candidate: 0x98, Correlation: -0.06803291545317844
Candidate: 0xab, Correlation: -0.06744118596935707
Candidate: 0x6b, Correlation: -0.0667365401212678
Candidate: 0x9f, Correlation: -0.0658333841405297
Candidate: 0xc0, Correlation: -0.06529136202353279
Candidate: 0x67, Correlation: -0.06376248409957334
Candidate: 0xc4, Correlation: -0.0635782418017393
Candidate: 0xa8, Correlation: -0.06239142355651133
Candidate: 0xa6, Correlation: -0.06029289671447524
Candidate: 0x79, Correlation: -0.05981526444936063
Candidate: 0x9b, Correlation: -0.05669415337213995
Candidate: 0x7b, Correlation: -0.05604046258340718
Candidate: 0xc2, Correlation: -0.05220406334666433
Candidate: 0x83, Correlation: -0.051379225043111654
Candidate: 0x5f, Correlation: -0.04817359311754584
Candidate: 0x9e, Correlation: -0.04148985345122695
Candidate: 0xba, Correlation: -0.0360508109914542
