Candidate: 0x88, Correlation: -0.1564921571514574
Candidate: 0xaa, Correlation: -0.1563346476850001
Candidate: 0xf0, Correlation: -0.15583928546119932
Candidate: 0x46, Correlation: -0.15444878511506058
Candidate: 0xb1, Correlation: -0.15427404375489928
Candidate: 0xe7, Correlation: -0.15359634642820136
Candidate: 0x3e, Correlation: -0.1530787020053007
Candidate: 0xbe, Correlation: -0.15251327377608973
Candidate: 0x27, Correlation: -0.15194541558608576
Candidate: 0xc2, Correlation: -0.1514797999449472
Candidate: 0xea, Correlation: -0.15139159944627215
Candidate: 0xd0, Correlation: -0.15120885233601525
Candidate: 0x6c, Correlation: -0.14929298169113503
Candidate: 0x42, Correlation: -0.14917848160597771
Candidate: 0xb3, Correlation: -0.148679253127047
Candidate: 0xce, Correlation: -0.1482201950297601
Candidate: 0xb8, Correlation: -0.14810734751005294
Candidate: 0x59, Correlation: -0.14790220416438282
Candidate: 0x10, Correlation: -0.14774511692531153
Candidate: 0x30, Correlation: -0.1475492388523793
Candidate: 0x82, Correlation: -0.14738676504884762
Candidate: 0x4e, Correlation: -0.14732033999251656
Candidate: 0xc1, Correlation: -0.14616689872216226
Candidate: 0x9b, Correlation: -0.14607435739594407
Candidate: 0x7b, Correlation: -0.1458338186777141
Candidate: 0x16, Correlation: -0.14501499314331825
Candidate: 0xc8, Correlation: -0.14490122599814417
Candidate: 0x1e, Correlation: -0.14470325245888033
Candidate: 0xd8, Correlation: -0.14467945148163563
Candidate: 0x33, Correlation: -0.1443232604695418
Candidate: 0x8e, Correlation: -0.1434212691331135
Candidate: 0x47, Correlation: -0.14338604384185283
Candidate: 0x98, Correlation: -0.14291438179725122
Candidate: 0x7d, Correlation: -0.14244515311151906
Candidate: 0x6d, Correlation: -0.1420013203572467
Candidate: 0x6e, Correlation: -0.14175656233948683
Candidate: 0x4b, Correlation: -0.13930774873612103
Candidate: 0xec, Correlation: -0.13916980633904824
Candidate: 0x48, Correlation: -0.13887767004999096
Candidate: 0x37, Correlation: -0.1388421517912406
Candidate: 0xcb, Correlation: -0.13853704987077872
Candidate: 0xc7, Correlation: -0.13694555777756554
Candidate: 0x4, Correlation: -0.13635963611748203
Candidate: 0x13, Correlation: -0.13508198033296723
Candidate: 0x71, Correlation: -0.13440309890453844
Candidate: 0x81, Correlation: -0.13363772404890897
Candidate: 0x38, Correlation: -0.13360005743879863
Candidate: 0x95, Correlation: -0.1316347660808419
Candidate: 0x63, Correlation: -0.1316271564601296
Candidate: 0x6, Correlation: -0.13117510646997488
Candidate: 0xb9, Correlation: -0.1310222708860302
Candidate: 0x65, Correlation: -0.1300871128555172
Candidate: 0xde, Correlation: -0.1300436851735922
Candidate: 0xf1, Correlation: -0.1299691822373217
Candidate: 0xe, Correlation: -0.1286509142122706
Candidate: 0x9d, Correlation: -0.12694111563183375
