Candidate: 0x50, Correlation: -0.16393569774603883
Candidate: 0xa0, Correlation: -0.16287667980978557
Candidate: 0x96, Correlation: -0.1625653315102678
Candidate: 0x9c, Correlation: -0.16256309111185208
Candidate: 0xbc, Correlation: -0.16216867502312193
Candidate: 0xcb, Correlation: -0.16192706486854466
Candidate: 0x12, Correlation: -0.15975537558718936
Candidate: 0x98, Correlation: -0.15890970696960888
Candidate: 0xb9, Correlation: -0.15879491647875674
Candidate: 0x49, Correlation: -0.15862477512015197
Candidate: 0xc3, Correlation: -0.1584523331909271
Candidate: 0x88, Correlation: -0.15670586008894655
Candidate: 0x62, Correlation: -0.1565555955548034
Candidate: 0xf8, Correlation: -0.15646306772645233
Candidate: 0x3b, Correlation: -0.15642975382565227
Candidate: 0xae, Correlation: -0.15594520542494703
Candidate: 0x9d, Correlation: -0.15507865114995817
Candidate: 0xdb, Correlation: -0.15462423861685284
Candidate: 0x42, Correlation: -0.154610882561155
Candidate: 0x8c, Correlation: -0.1540908594768968
Candidate: 0x8e, Correlation: -0.15378126427897754
Candidate: 0x1e, Correlation: -0.15372235605408277
Candidate: 0x97, Correlation: -0.1526242083600764
Candidate: 0xa7, Correlation: -0.15237759331823897
Candidate: 0xec, Correlation: -0.15211828284883838
Candidate: 0xfc, Correlation: -0.1521000687369588
Candidate: 0x5d, Correlation: -0.1518738371851501
Candidate: 0xb2, Correlation: -0.15186406326416788
Candidate: 0xd4, Correlation: -0.1514731955736508
Candidate: 0x5c, Correlation: -0.15089994789341452
Candidate: 0x91, Correlation: -0.1505697511912611
Candidate: 0x9b, Correlation: -0.1502505298576776
Candidate: 0x69, Correlation: -0.14989939535617527
Candidate: 0xc1, Correlation: -0.14986630779954882
Candidate: 0x2d, Correlation: -0.1498411342140183
Candidate: 0x8b, Correlation: -0.14910214337710076
Candidate: 0xb7, Correlation: -0.1489613431381954
Candidate: 0x36, Correlation: -0.1487743289582177
Candidate: 0x15, Correlation: -0.14821950193603184
Candidate: 0xfb, Correlation: -0.147505245577292
Candidate: 0x53, Correlation: -0.1473421407918722
Candidate: 0xcd, Correlation: -0.14695079794479876
Candidate: 0x76, Correlation: -0.1467144515761763
Candidate: 0x89, Correlation: -0.14584043440716354
Candidate: 0xac, Correlation: -0.14323845371957022
Candidate: 0x56, Correlation: -0.14256917260297947
Candidate: 0x4e, Correlation: -0.14242224042881194
Candidate: 0x45, Correlation: -0.14210540793022036
Candidate: 0xa, Correlation: -0.14090910727829892
Candidate: 0xea, Correlation: -0.1401807966646872
Candidate: 0xc6, Correlation: -0.13933821351535694
Candidate: 0xcc, Correlation: -0.13897350148484156
Candidate: 0xd, Correlation: -0.13781213315319626
Candidate: 0x82, Correlation: -0.1376161783407091
Candidate: 0xc7, Correlation: -0.13623440104347637
Candidate: 0xba, Correlation: -0.13569259068463768
Candidate: 0x9a, Correlation: -0.1346692809612163
Candidate: 0x85, Correlation: -0.13340260763780867
Candidate: 0x48, Correlation: -0.13236369794804995
Candidate: 0x90, Correlation: -0.13111260474041517
Candidate: 0xc0, Correlation: -0.1306400504791378
Candidate: 0x5a, Correlation: -0.12915857951164642
Candidate: 0x18, Correlation: -0.12875662160360793
Candidate: 0x94, Correlation: -0.12845831281326767
Candidate: 0x6, Correlation: -0.128037959863659
Candidate: 0x28, Correlation: -0.12739780237701348
Candidate: 0xc5, Correlation: -0.1273077932544285
Candidate: 0x4b, Correlation: -0.1271187635387489
Candidate: 0xf4, Correlation: -0.1271170027381709
Candidate: 0x84, Correlation: -0.12574228494023396
Candidate: 0xd2, Correlation: -0.1234922738541157
Candidate: 0xd8, Correlation: -0.12288663912251285
Candidate: 0xe6, Correlation: -0.12222446842476269
