Candidate: 0xbf, Correlation: -0.1351075328361975
Candidate: 0x69, Correlation: -0.1350226043186366
Candidate: 0xb8, Correlation: -0.13485533682888562
Candidate: 0xca, Correlation: -0.1336760852235748
Candidate: 0xd9, Correlation: -0.13212624970229397
Candidate: 0xc1, Correlation: -0.13122740631562574
Candidate: 0x6, Correlation: -0.130858583917811
Candidate: 0x89, Correlation: -0.1279083752737036
Candidate: 0xf1, Correlation: -0.1273384514287839
Candidate: 0x0, Correlation: -0.1273077932544285
Candidate: 0x36, Correlation: -0.12700151971040893
Candidate: 0x16, Correlation: -0.12699679079251755
Candidate: 0xc8, Correlation: -0.1265224379911902
Candidate: 0x79, Correlation: -0.12458026114880699
Candidate: 0xe6, Correlation: -0.12402001010456354
Candidate: 0x51, Correlation: -0.1236481355269646
Candidate: 0x4, Correlation: -0.12273070193247024
Candidate: 0x98, Correlation: -0.12219576291007837
Candidate: 0xd6, Correlation: -0.1216886679705749
Candidate: 0x3f, Correlation: -0.11886457498703638
Candidate: 0x63, Correlation: -0.11854344577490264
Candidate: 0x41, Correlation: -0.11771537733747063
Candidate: 0xd1, Correlation: -0.11736929382150259
Candidate: 0xbd, Correlation: -0.11662450572715345
Candidate: 0xc9, Correlation: -0.11645915479004876
Candidate: 0xa3, Correlation: -0.11504092396146919
Candidate: 0xf, Correlation: -0.11243822246857715
Candidate: 0x83, Correlation: -0.11052241795621123
Candidate: 0x17, Correlation: -0.11001070012387595
Candidate: 0x5d, Correlation: -0.10996455031816034
Candidate: 0xef, Correlation: -0.10894623225165383
Candidate: 0xff, Correlation: -0.10806627266601646
Candidate: 0x76, Correlation: -0.10801752418820125
Candidate: 0x5f, Correlation: -0.10674863227407283
Candidate: 0x9f, Correlation: -0.10570691039319359
Candidate: 0x21, Correlation: -0.10233762042350471
Candidate: 0xeb, Correlation: -0.10021000793259711
Candidate: 0x31, Correlation: -0.10008665086932815
Candidate: 0x99, Correlation: -0.09836557766035842
Candidate: 0xfb, Correlation: -0.09791911121612845
Candidate: 0x1, Correlation: -0.09772364077674583
Candidate: 0xf5, Correlation: -0.09771357055720452
Candidate: 0x88, Correlation: -0.0976407238519648
Candidate: 0xa8, Correlation: -0.097293754042492
Candidate: 0x9d, Correlation: -0.0955004345725789
Candidate: 0x91, Correlation: -0.09499664850811955
Candidate: 0x3d, Correlation: -0.09488190695357983
Candidate: 0x37, Correlation: -0.09332170923759983
Candidate: 0x77, Correlation: -0.09330511410617333
Candidate: 0x73, Correlation: -0.09255858055219478
Candidate: 0xd, Correlation: -0.09201676878661569
Candidate: 0x1b, Correlation: -0.09177879229160206
Candidate: 0xf3, Correlation: -0.09134654872435306
Candidate: 0xfc, Correlation: -0.09117727170386973
Candidate: 0x93, Correlation: -0.09040294772650795
Candidate: 0x61, Correlation: -0.09009470103572141
Candidate: 0xf6, Correlation: -0.08965777522739826
Candidate: 0xb, Correlation: -0.0890112969593752
Candidate: 0xa1, Correlation: -0.08879513108029348
Candidate: 0x5, Correlation: -0.08816066028308649
Candidate: 0xe7, Correlation: -0.08793054345594659
Candidate: 0x71, Correlation: -0.08759979810972139
Candidate: 0x13, Correlation: -0.08697371707133426
Candidate: 0xc7, Correlation: -0.08676330237039782
Candidate: 0xb7, Correlation: -0.08638780871786705
Candidate: 0xbb, Correlation: -0.08518508803968403
Candidate: 0xd7, Correlation: -0.08246726816072568
Candidate: 0xb9, Correlation: -0.08161992926781023
Candidate: 0xed, Correlation: -0.08079369607151048
Candidate: 0x7f, Correlation: -0.08060202905758324
Candidate: 0x2f, Correlation: -0.08032805505933446
Candidate: 0x47, Correlation: -0.07985402629674554
Candidate: 0xfd, Correlation: -0.07943383147526946
Candidate: 0xb1, Correlation: -0.07878368041509108
Candidate: 0x4f, Correlation: -0.07837271512019701
Candidate: 0x87, Correlation: -0.07693045703301798
Candidate: 0x5b, Correlation: -0.07539216589136132
Candidate: 0xa9, Correlation: -0.0746995376177051
Candidate: 0x81, Correlation: -0.07340779781159158
Candidate: 0xc5, Correlation: -0.07211404924506548
Candidate: 0x8d, Correlation: -0.0715110068567903
Candidate: 0x27, Correlation: -0.07142898804661506
Candidate: 0x85, Correlation: -0.07110664118357506
Candidate: 0x15, Correlation: -0.0707577070142765
Candidate: 0x6b, Correlation: -0.0691975323301747
Candidate: 0x57, Correlation: -0.06909659817973048
Candidate: 0x75, Correlation: -0.06908231626270968
Candidate: 0x3, Correlation: -0.06894115522066364
Candidate: 0x23, Correlation: -0.06807559585327301
Candidate: 0x7d, Correlation: -0.06804747291282687
Candidate: 0x33, Correlation: -0.06664429560013192
Candidate: 0xe5, Correlation: -0.06641419322367542
Candidate: 0x1f, Correlation: -0.06626920592342049
Candidate: 0xe1, Correlation: -0.06592456287657805
Candidate: 0x4b, Correlation: -0.06410544150679422
Candidate: 0x45, Correlation: -0.06402347442209665
Candidate: 0x9b, Correlation: -0.06391133888934883
Candidate: 0xcf, Correlation: -0.06367940243998761
Candidate: 0x8f, Correlation: -0.06174827030973459
Candidate: 0x3b, Correlation: -0.061479053878587334
Candidate: 0xe3, Correlation: -0.05999927146333102
Candidate: 0x8b, Correlation: -0.05989036438705508
Candidate: 0x2b, Correlation: -0.05977882924849097
Candidate: 0xdd, Correlation: -0.059375010997016114
Candidate: 0x67, Correlation: -0.05931479035730024
Candidate: 0x6f, Correlation: -0.05874002299223208
Candidate: 0xd5, Correlation: -0.05808680169439618
Candidate: 0x95, Correlation: -0.05734031335665235
Candidate: 0x97, Correlation: -0.057154233209515515
Candidate: 0xad, Correlation: -0.056813438840839156
Candidate: 0xcb, Correlation: -0.05636281133565956
Candidate: 0xa5, Correlation: -0.0562130888399009
Candidate: 0xdf, Correlation: -0.05522400399097988
Candidate: 0x53, Correlation: -0.05454539331287105
Candidate: 0xa7, Correlation: -0.05446954204108456
Candidate: 0xb3, Correlation: -0.054276082444020504
Candidate: 0xcd, Correlation: -0.05400779196774324
Candidate: 0x65, Correlation: -0.0539686098494796
Candidate: 0xb5, Correlation: -0.05375135843319825
Candidate: 0x6d, Correlation: -0.052681011487532854
Candidate: 0x35, Correlation: -0.05067098460294587
Candidate: 0xdb, Correlation: -0.05056821704080802
Candidate: 0x7b, Correlation: -0.04949730175515369
Candidate: 0xd3, Correlation: -0.049480928137968776
Candidate: 0x55, Correlation: -0.048189476973782494
Candidate: 0x2d, Correlation: -0.04670798905355295
Candidate: 0xaf, Correlation: -0.04556170075859605
Candidate: 0x25, Correlation: -0.044773518975573925
Candidate: 0xab, Correlation: -0.0445944528022536
Candidate: 0x1d, Correlation: -0.04308168677656897
Candidate: 0x4d, Correlation: -0.04267337377893522
