Candidate: 0x44, Correlation: -0.21089561143774677
Candidate: 0xf2, Correlation: -0.2100753128656572
Candidate: 0x87, Correlation: -0.20718629412903722
Candidate: 0x8a, Correlation: -0.2069908106949126
Candidate: 0x83, Correlation: -0.20661692365116482
Candidate: 0xbc, Correlation: -0.20656547019626428
Candidate: 0x9e, Correlation: -0.2059897253409051
Candidate: 0x2c, Correlation: -0.20535185228518846
Candidate: 0x3d, Correlation: -0.203810721453757
Candidate: 0x65, Correlation: -0.2036539579365617
Candidate: 0x1, Correlation: -0.20357726327882467
Candidate: 0x5c, Correlation: -0.20307343789940732
Candidate: 0x2f, Correlation: -0.2022463784033127
Candidate: 0xa, Correlation: -0.2004746216183383
Candidate: 0x74, Correlation: -0.2003421296995705
Candidate: 0xba, Correlation: -0.19927224821801068
Candidate: 0x75, Correlation: -0.19837241566921007
Candidate: 0xdc, Correlation: -0.19637273276681183
Candidate: 0x2e, Correlation: -0.19577448423885294
Candidate: 0x5b, Correlation: -0.19398251673040312
Candidate: 0xb0, Correlation: -0.19355589102937407
Candidate: 0x5a, Correlation: -0.19339690514736
Candidate: 0x17, Correlation: -0.19228038368154168
Candidate: 0xbf, Correlation: -0.19128534203966388
Candidate: 0xf7, Correlation: -0.19087679875864888
Candidate: 0x5, Correlation: -0.19041569480932619
Candidate: 0x9c, Correlation: -0.1895474360141462
Candidate: 0x4c, Correlation: -0.18896610911762038
Candidate: 0xda, Correlation: -0.18712576211884197
Candidate: 0x86, Correlation: -0.18682208857455077
Candidate: 0x26, Correlation: -0.18497067383758012
Candidate: 0x35, Correlation: -0.18487795621282171
Candidate: 0x31, Correlation: -0.18432229312672524
Candidate: 0xfc, Correlation: -0.18369445395692968
Candidate: 0xf6, Correlation: -0.1834721316281694
Candidate: 0xf9, Correlation: -0.18056252107465204
Candidate: 0xdb, Correlation: -0.1798726269476571
Candidate: 0x5e, Correlation: -0.17895928377295472
Candidate: 0xc4, Correlation: -0.17892524083537414
Candidate: 0xcb, Correlation: -0.17796263974782958
Candidate: 0x9b, Correlation: -0.1769197873028684
Candidate: 0x38, Correlation: -0.17624216742107127
Candidate: 0xaa, Correlation: -0.17532900232414733
Candidate: 0xca, Correlation: -0.17469840172260703
Candidate: 0xfa, Correlation: -0.17433987397385467
Candidate: 0x9a, Correlation: -0.17040010329195027
Candidate: 0x47, Correlation: -0.1701048437789503
Candidate: 0x95, Correlation: -0.16879085945911723
Candidate: 0xbe, Correlation: -0.16770114593104857
Candidate: 0x10, Correlation: -0.16758446955555426
Candidate: 0x72, Correlation: -0.1664245634400866
Candidate: 0x82, Correlation: -0.1647619175232499
Candidate: 0x2a, Correlation: -0.16068760078115116
Candidate: 0xd8, Correlation: -0.15383530257810432
Candidate: 0x23, Correlation: -0.15293999739968295
Candidate: 0x94, Correlation: -0.15293111661382844
Candidate: 0xb4, Correlation: -0.14929299322398634
Candidate: 0xb2, Correlation: -0.14869239040619228
Candidate: 0x46, Correlation: -0.14595370223713794
Candidate: 0x4a, Correlation: -0.14587868096018347
Candidate: 0x8e, Correlation: -0.14491496679269708
Candidate: 0x1c, Correlation: -0.144768237257672
Candidate: 0x69, Correlation: -0.1446466161337488
Candidate: 0x76, Correlation: -0.14424712099997442
Candidate: 0x62, Correlation: -0.14342686027065607
Candidate: 0xeb, Correlation: -0.14310253715051077
Candidate: 0x3c, Correlation: -0.14147700206153302
Candidate: 0x7b, Correlation: -0.13824752119512945
Candidate: 0x96, Correlation: -0.1371991324614737
Candidate: 0xe9, Correlation: -0.13675926207017738
Candidate: 0x91, Correlation: -0.1366938487242213
Candidate: 0x8b, Correlation: -0.1359819666339992
Candidate: 0x14, Correlation: -0.13371754526353702
Candidate: 0x1a, Correlation: -0.13299056388245908
Candidate: 0xe2, Correlation: -0.13267877568231665
Candidate: 0xb9, Correlation: -0.1326647224612552
Candidate: 0xa1, Correlation: -0.1321376198663643
Candidate: 0xbb, Correlation: -0.13210495660127988
Candidate: 0xb6, Correlation: -0.13181522222972586
Candidate: 0x79, Correlation: -0.13131683051185786
Candidate: 0x89, Correlation: -0.13098541204501624
Candidate: 0xb, Correlation: -0.12976379903780436
Candidate: 0x21, Correlation: -0.12825018366481092
Candidate: 0x3a, Correlation: -0.12772495617421356
Candidate: 0x4b, Correlation: -0.12707849326275675
Candidate: 0xe6, Correlation: -0.12698321940806104
Candidate: 0x12, Correlation: -0.12614731985499159
Candidate: 0x2b, Correlation: -0.12583445901033824
Candidate: 0x24, Correlation: -0.1256669216079141
Candidate: 0x1e, Correlation: -0.12356155803843206
Candidate: 0x9, Correlation: -0.12323927261807033
Candidate: 0x59, Correlation: -0.123203113742204
Candidate: 0xb7, Correlation: -0.12293685279521764
Candidate: 0xc9, Correlation: -0.11909749474763777
Candidate: 0xc2, Correlation: -0.11874081646710108
Candidate: 0x56, Correlation: -0.11777519085739863
Candidate: 0x25, Correlation: -0.11719513339309266
Candidate: 0xc3, Correlation: -0.11688368427186638
Candidate: 0x19, Correlation: -0.11450978202029373
Candidate: 0x16, Correlation: -0.10839584268375335
Candidate: 0xb3, Correlation: -0.10776403402596364
Candidate: 0x42, Correlation: -0.10519502852216307
Candidate: 0xbd, Correlation: -0.10490713042946023
Candidate: 0x92, Correlation: -0.10488650135849396
Candidate: 0x81, Correlation: -0.10349116151192227
Candidate: 0xfb, Correlation: -0.10340285909208119
Candidate: 0xa9, Correlation: -0.10217713849156602
Candidate: 0xaf, Correlation: -0.10194606368293047
Candidate: 0x43, Correlation: -0.10084032782092611
Candidate: 0x34, Correlation: -0.10074607959595304
Candidate: 0xa2, Correlation: -0.09953873704073593
Candidate: 0xae, Correlation: -0.09689134502242581
Candidate: 0xc5, Correlation: -0.09672867363481047
Candidate: 0x99, Correlation: -0.09247165294919986
Candidate: 0x33, Correlation: -0.08938879196136343
Candidate: 0xb1, Correlation: -0.08732344796057785
Candidate: 0x49, Correlation: -0.08474826601592803
Candidate: 0x77, Correlation: -0.08452149435358984
Candidate: 0x29, Correlation: -0.08419110983450115
Candidate: 0xb5, Correlation: -0.083607651851439
Candidate: 0x85, Correlation: -0.08300068080786563
Candidate: 0x1b, Correlation: -0.08176064386976331
Candidate: 0x32, Correlation: -0.08000477453980724
Candidate: 0x3b, Correlation: -0.07739208560915471
Candidate: 0xc1, Correlation: -0.0770195170480949
Candidate: 0x45, Correlation: -0.0731408623034172
Candidate: 0x37, Correlation: -0.07233167863290575
Candidate: 0x41, Correlation: -0.0715881752962258
Candidate: 0x39, Correlation: -0.06944598216325706
Candidate: 0x36, Correlation: -0.06662060437375761
Candidate: 0x22, Correlation: -0.049366083459801285
