Candidate: 0xe5, Correlation: -0.1377538568830818
Candidate: 0xe0, Correlation: -0.13754615213685795
Candidate: 0x89, Correlation: -0.1368323976302234
Candidate: 0x49, Correlation: -0.13575696706107357
Candidate: 0xa0, Correlation: -0.135230014913471
Candidate: 0x20, Correlation: -0.1344944351310707
Candidate: 0x40, Correlation: -0.1338018620538822
Candidate: 0x4f, Correlation: -0.13379105013052212
Candidate: 0x98, Correlation: -0.1334848177531984
Candidate: 0x59, Correlation: -0.13322546124259083
Candidate: 0x92, Correlation: -0.13309795580555575
Candidate: 0x6c, Correlation: -0.13289957206956224
Candidate: 0x29, Correlation: -0.13165747747454828
Candidate: 0x12, Correlation: -0.13142766525292957
Candidate: 0x31, Correlation: -0.13129046576613002
Candidate: 0x60, Correlation: -0.12998865200687018
Candidate: 0x69, Correlation: -0.1298132011856026
Candidate: 0x6e, Correlation: -0.12975875526261405
Candidate: 0x8f, Correlation: -0.12961613727075705
Candidate: 0xaf, Correlation: -0.12893126516060188
Candidate: 0xcf, Correlation: -0.12842990854646216
Candidate: 0x72, Correlation: -0.12823306935662304
Candidate: 0xc0, Correlation: -0.12784527059251294
Candidate: 0x81, Correlation: -0.12759716917522315
Candidate: 0x4, Correlation: -0.12644977541260508
Candidate: 0x39, Correlation: -0.1252678439072726
Candidate: 0xfe, Correlation: -0.12412300183971244
Candidate: 0x9f, Correlation: -0.12395681385065191
Candidate: 0xfc, Correlation: -0.12385509082330465
Candidate: 0x93, Correlation: -0.12200051351248688
Candidate: 0x94, Correlation: -0.12198366435610615
Candidate: 0xef, Correlation: -0.12164065376382642
Candidate: 0xd8, Correlation: -0.12100750258625198
Candidate: 0xcb, Correlation: -0.12015321551257731
Candidate: 0x82, Correlation: -0.11854479652003656
Candidate: 0x8b, Correlation: -0.11751643243413643
Candidate: 0x2f, Correlation: -0.11743556211545363
Candidate: 0x96, Correlation: -0.11699804479407441
Candidate: 0x7a, Correlation: -0.1164646670502547
Candidate: 0x86, Correlation: -0.11636377868959966
Candidate: 0xc8, Correlation: -0.11626870227763711
Candidate: 0x15, Correlation: -0.11510312154709271
Candidate: 0xe8, Correlation: -0.11491329368820141
Candidate: 0xdb, Correlation: -0.1148776424437026
Candidate: 0x6b, Correlation: -0.1146020390269898
Candidate: 0xa8, Correlation: -0.11443838680611582
Candidate: 0x2, Correlation: -0.11418946874742476
Candidate: 0x33, Correlation: -0.11377803603864732
Candidate: 0x7f, Correlation: -0.11344687604257367
Candidate: 0x35, Correlation: -0.11332540167845712
Candidate: 0xb5, Correlation: -0.11296432515302296
Candidate: 0x55, Correlation: -0.11283077309910326
Candidate: 0xee, Correlation: -0.11246969246576058
Candidate: 0x23, Correlation: -0.11232041264741832
Candidate: 0x8c, Correlation: -0.11131494543861202
Candidate: 0x6f, Correlation: -0.11129511020366484
Candidate: 0xed, Correlation: -0.11007832493229278
Candidate: 0x91, Correlation: -0.10938553884944417
Candidate: 0x73, Correlation: -0.10921045192074269
Candidate: 0xe9, Correlation: -0.10891908874630933
Candidate: 0xe1, Correlation: -0.10872688623119402
Candidate: 0x90, Correlation: -0.10817005809515588
Candidate: 0x7e, Correlation: -0.10816698647586315
Candidate: 0x9, Correlation: -0.10793897046240768
Candidate: 0xb8, Correlation: -0.10737053396751844
Candidate: 0x4d, Correlation: -0.10725322353781376
Candidate: 0xad, Correlation: -0.10722189665963813
Candidate: 0xd5, Correlation: -0.10601775761631643
Candidate: 0xd3, Correlation: -0.10488543933734486
Candidate: 0x78, Correlation: -0.10487484202611667
Candidate: 0x18, Correlation: -0.10471341271760905
Candidate: 0x8d, Correlation: -0.10440904342649122
Candidate: 0x5, Correlation: -0.10419363794920583
Candidate: 0x1b, Correlation: -0.1038359692832168
Candidate: 0x8e, Correlation: -0.10382101043521061
Candidate: 0xe, Correlation: -0.10375720530239631
Candidate: 0xfb, Correlation: -0.10340328392157315
Candidate: 0xda, Correlation: -0.10322541268658997
