Candidate: 0x7f, Correlation: -0.13385377407732185
Candidate: 0xb8, Correlation: -0.1338037299809196
Candidate: 0xfa, Correlation: -0.13347969406434038
Candidate: 0xca, Correlation: -0.1330588283504549
Candidate: 0xa0, Correlation: -0.13154285094615847
Candidate: 0xb, Correlation: -0.1311586708001179
Candidate: 0x76, Correlation: -0.13029604388501445
Candidate: 0xdf, Correlation: -0.13026733996592083
Candidate: 0x6, Correlation: -0.12979035641121903
Candidate: 0xba, Correlation: -0.1296148579676394
Candidate: 0xc8, Correlation: -0.12812272666290322
Candidate: 0xc6, Correlation: -0.127721143200983
Candidate: 0x42, Correlation: -0.12765391105569687
Candidate: 0xe, Correlation: -0.12681942937524865
Candidate: 0xd2, Correlation: -0.12411791575491855
Candidate: 0xb0, Correlation: -0.12403563162642162
Candidate: 0x23, Correlation: -0.12349878788323404
Candidate: 0x80, Correlation: -0.12344307053714584
Candidate: 0xc, Correlation: -0.1225750441767682
Candidate: 0xd4, Correlation: -0.12243330874012749
Candidate: 0x3a, Correlation: -0.12176401752869102
Candidate: 0xe7, Correlation: -0.12146258816842763
Candidate: 0xf5, Correlation: -0.1210216416011802
Candidate: 0xd, Correlation: -0.1208522543769442
Candidate: 0x2e, Correlation: -0.12072002507193215
Candidate: 0xf3, Correlation: -0.12066926399550368
Candidate: 0xfc, Correlation: -0.12035978635931231
Candidate: 0x46, Correlation: -0.1193959720679449
Candidate: 0xd8, Correlation: -0.11926808157387325
Candidate: 0x9a, Correlation: -0.11806939702666505
Candidate: 0x52, Correlation: -0.11771049055991341
Candidate: 0x92, Correlation: -0.11741061523866177
Candidate: 0xe3, Correlation: -0.11740483296505073
Candidate: 0x36, Correlation: -0.11713836173318745
Candidate: 0xc5, Correlation: -0.117053640581529
Candidate: 0x45, Correlation: -0.11627579953108799
Candidate: 0x86, Correlation: -0.11566257872264556
Candidate: 0x12, Correlation: -0.11516726110665312
Candidate: 0x1a, Correlation: -0.11279862462331146
Candidate: 0xdc, Correlation: -0.11276946468809614
Candidate: 0xc2, Correlation: -0.11269697298599833
Candidate: 0x16, Correlation: -0.11194055412639145
Candidate: 0x14, Correlation: -0.11095225490732447
Candidate: 0x5d, Correlation: -0.11082845001398958
Candidate: 0x2d, Correlation: -0.1107818282235667
Candidate: 0x34, Correlation: -0.11017546007717305
Candidate: 0xdd, Correlation: -0.11013225147822214
Candidate: 0x1f, Correlation: -0.10986388444894629
Candidate: 0x65, Correlation: -0.10980796657302423
Candidate: 0x9b, Correlation: -0.10979887324640725
Candidate: 0xa5, Correlation: -0.1097774409062422
Candidate: 0x28, Correlation: -0.10967450496118718
Candidate: 0x48, Correlation: -0.10964634815952568
Candidate: 0xde, Correlation: -0.10962074727799155
Candidate: 0x72, Correlation: -0.10952695814820608
Candidate: 0x4c, Correlation: -0.1065953147623193
Candidate: 0x54, Correlation: -0.10619552773306434
Candidate: 0x17, Correlation: -0.10602647304765163
Candidate: 0x93, Correlation: -0.10542907427046198
Candidate: 0x9d, Correlation: -0.10530918957898128
Candidate: 0x1b, Correlation: -0.10498622581369456
Candidate: 0xa3, Correlation: -0.10284248528836079
Candidate: 0xf4, Correlation: -0.10179031340071586
Candidate: 0x2a, Correlation: -0.10068448390972477
Candidate: 0xe2, Correlation: -0.10067607398251159
Candidate: 0x63, Correlation: -0.10060154591338222
Candidate: 0xb2, Correlation: -0.10051974326336025
Candidate: 0xa6, Correlation: -0.09969170623516738
Candidate: 0x24, Correlation: -0.09948627306016442
Candidate: 0x43, Correlation: -0.09881543513754315
Candidate: 0x5, Correlation: -0.09820915151938
Candidate: 0xbc, Correlation: -0.0977889147809796
Candidate: 0x5a, Correlation: -0.09750737474591842
Candidate: 0x9c, Correlation: -0.0969610653328181
Candidate: 0xa4, Correlation: -0.09644740794301307
Candidate: 0x73, Correlation: -0.09604385405184503
Candidate: 0x66, Correlation: -0.096027391510477
Candidate: 0x1d, Correlation: -0.09552025936559987
Candidate: 0x5b, Correlation: -0.09477719984456609
Candidate: 0xe0, Correlation: -0.09423268574720205
Candidate: 0x7d, Correlation: -0.09385386464902304
Candidate: 0x64, Correlation: -0.09301419388882523
Candidate: 0x55, Correlation: -0.09255636481437174
Candidate: 0x62, Correlation: -0.0920321143495107
Candidate: 0x1c, Correlation: -0.09146568556352931
Candidate: 0xfb, Correlation: -0.09139829095942366
Candidate: 0x4, Correlation: -0.09080894816250532
Candidate: 0xe6, Correlation: -0.09071776683886873
Candidate: 0x32, Correlation: -0.08919647221449033
