Candidate: 0xd6, Correlation: -0.10334579241453426
Candidate: 0x82, Correlation: -0.10310089331432508
Candidate: 0x65, Correlation: -0.10275238117948905
Candidate: 0xb9, Correlation: -0.10177201748651218
Candidate: 0x58, Correlation: -0.10174854694648376
Candidate: 0xaf, Correlation: -0.10168100947697953
Candidate: 0x50, Correlation: -0.10080611224074555
Candidate: 0x56, Correlation: -0.10070857169447485
Candidate: 0xcf, Correlation: -0.10058682685281319
Candidate: 0x2d, Correlation: -0.10026969948647445
Candidate: 0xbb, Correlation: -0.10004224949528268
Candidate: 0x8e, Correlation: -0.09962835708490148
Candidate: 0x96, Correlation: -0.09921171010294322
Candidate: 0x45, Correlation: -0.09835818220298868
Candidate: 0x8c, Correlation: -0.09822617220312892
Candidate: 0xb5, Correlation: -0.09780027451732888
Candidate: 0xd1, Correlation: -0.09777018518975844
Candidate: 0x3b, Correlation: -0.09772176074780457
Candidate: 0xa3, Correlation: -0.09751173601484259
Candidate: 0xe7, Correlation: -0.09722444757932054
Candidate: 0x44, Correlation: -0.09692110751296706
Candidate: 0xa5, Correlation: -0.09684032641216785
Candidate: 0x3c, Correlation: -0.09635645969785625
Candidate: 0x27, Correlation: -0.09621523118182285
Candidate: 0x87, Correlation: -0.09615216055739192
Candidate: 0x31, Correlation: -0.09602873841145391
Candidate: 0xb3, Correlation: -0.09596954607434402
Candidate: 0xc4, Correlation: -0.0948929022023125
Candidate: 0x9, Correlation: -0.09467731159161953
Candidate: 0xad, Correlation: -0.09451816881003919
Candidate: 0xd3, Correlation: -0.09449783305967463
Candidate: 0xfa, Correlation: -0.09359473378788939
Candidate: 0x52, Correlation: -0.09320333131966312
Candidate: 0xb6, Correlation: -0.09303581079249677
Candidate: 0x2c, Correlation: -0.09256349509681265
Candidate: 0xc7, Correlation: -0.09185258897624088
Candidate: 0xb1, Correlation: -0.09172354500354955
Candidate: 0x7e, Correlation: -0.09150056878259524
Candidate: 0x24, Correlation: -0.09063990557017347
Candidate: 0xa8, Correlation: -0.08969082643581486
Candidate: 0xf7, Correlation: -0.08952964045251163
Candidate: 0x10, Correlation: -0.08835343328380653
Candidate: 0x35, Correlation: -0.08803728738625564
Candidate: 0xac, Correlation: -0.08770341543269027
Candidate: 0xba, Correlation: -0.08750770124605099
