Candidate: 0x23, Correlation: -0.3279200329869397
Candidate: 0xa3, Correlation: -0.3033614842085401
Candidate: 0xe3, Correlation: -0.28938960579544215
Candidate: 0xbb, Correlation: -0.27390891991469135
Candidate: 0x2b, Correlation: -0.26652900468584806
Candidate: 0x3b, Correlation: -0.2623728316179954
Candidate: 0xab, Correlation: -0.2582623396251437
Candidate: 0xe4, Correlation: -0.2549409203890135
Candidate: 0x61, Correlation: -0.25306300970915957
Candidate: 0xff, Correlation: -0.25084588505185246
Candidate: 0xc3, Correlation: -0.25007106175756827
Candidate: 0x63, Correlation: -0.2483499397787114
Candidate: 0x24, Correlation: -0.24791919272253113
Candidate: 0xe2, Correlation: -0.24435655239771714
Candidate: 0x1b, Correlation: -0.24158824691342
Candidate: 0x43, Correlation: -0.2399474589235183
Candidate: 0x81, Correlation: -0.23734827553189836
Candidate: 0xa1, Correlation: -0.23645304487167887
Candidate: 0x22, Correlation: -0.2352360837888127
Candidate: 0xd1, Correlation: -0.23389050642168965
Candidate: 0x27, Correlation: -0.23197933454093195
Candidate: 0x3, Correlation: -0.23010333932491306
Candidate: 0xa4, Correlation: -0.22987233464498835
Candidate: 0x5d, Correlation: -0.22682866811494914
Candidate: 0x9d, Correlation: -0.2267400433382441
Candidate: 0xe1, Correlation: -0.22497925865512422
Candidate: 0x64, Correlation: -0.21955314337610327
Candidate: 0x7d, Correlation: -0.2180661513604293
Candidate: 0xa2, Correlation: -0.2176734391830852
Candidate: 0xfb, Correlation: -0.21323293868836968
Candidate: 0xdb, Correlation: -0.21139245408225105
Candidate: 0xa7, Correlation: -0.2088457470791189
Candidate: 0x21, Correlation: -0.20798948721365937
Candidate: 0x9b, Correlation: -0.20711761513950025
Candidate: 0xf7, Correlation: -0.2052705933290905
Candidate: 0x62, Correlation: -0.2033035648010636
Candidate: 0x31, Correlation: -0.20184841796593225
Candidate: 0xeb, Correlation: -0.19580871380309367
Candidate: 0xdd, Correlation: -0.19563201775623956
Candidate: 0xb1, Correlation: -0.1949233455672127
Candidate: 0x51, Correlation: -0.19163329609051288
Candidate: 0x11, Correlation: -0.19126517776465468
Candidate: 0xdc, Correlation: -0.18769829536991522
Candidate: 0xcd, Correlation: -0.18713905744599943
Candidate: 0xfd, Correlation: -0.18538445329077355
Candidate: 0xcf, Correlation: -0.18412109878325228
Candidate: 0x2d, Correlation: -0.18287346900576826
Candidate: 0xb, Correlation: -0.18137078761369255
Candidate: 0x5b, Correlation: -0.1800290359947
Candidate: 0xf1, Correlation: -0.1789517152761707
Candidate: 0xbf, Correlation: -0.1778284829394455
Candidate: 0x7, Correlation: -0.17756477298382978
Candidate: 0xea, Correlation: -0.17656860603059518
Candidate: 0x1f, Correlation: -0.17343845589663537
Candidate: 0x91, Correlation: -0.17224246079181854
Candidate: 0xcb, Correlation: -0.17131739364604284
Candidate: 0x9c, Correlation: -0.16985913076804587
Candidate: 0x1c, Correlation: -0.16970623319225514
Candidate: 0x3f, Correlation: -0.1696693510513176
Candidate: 0x2a, Correlation: -0.16713596910306436
Candidate: 0xc, Correlation: -0.1663073442498049
Candidate: 0x6b, Correlation: -0.1652107062403078
Candidate: 0xad, Correlation: -0.16517760886041014
Candidate: 0xfc, Correlation: -0.16486663737921167
Candidate: 0xdf, Correlation: -0.16423385459125842
Candidate: 0x83, Correlation: -0.16395063443131372
Candidate: 0x2, Correlation: -0.16392088771623198
Candidate: 0x1d, Correlation: -0.16318276796386266
Candidate: 0xfe, Correlation: -0.16190204685919685
Candidate: 0x65, Correlation: -0.16182153082814565
Candidate: 0x7f, Correlation: -0.16158942047363453
Candidate: 0x2f, Correlation: -0.16114673034747298
Candidate: 0xe, Correlation: -0.16086234988527395
Candidate: 0xf, Correlation: -0.16065724599467487
Candidate: 0xed, Correlation: -0.16027191472251143
Candidate: 0x0, Correlation: -0.15973852410740522
Candidate: 0xd9, Correlation: -0.15955363826261898
Candidate: 0xd5, Correlation: -0.15851631703656277
Candidate: 0x8c, Correlation: -0.1583053316355257
Candidate: 0xaa, Correlation: -0.15739737073675258
Candidate: 0xc7, Correlation: -0.15641293306188184
Candidate: 0x7c, Correlation: -0.15379252319470832
Candidate: 0x99, Correlation: -0.15206211928065874
Candidate: 0xef, Correlation: -0.15176642204081636
Candidate: 0xaf, Correlation: -0.14959847470595336
Candidate: 0x8d, Correlation: -0.149497791048263
Candidate: 0x5c, Correlation: -0.148845871623177
Candidate: 0xee, Correlation: -0.14824812430966408
Candidate: 0x4, Correlation: -0.14745292020929932
Candidate: 0x4d, Correlation: -0.14717518838493865
Candidate: 0x7b, Correlation: -0.14651358689839133
Candidate: 0x85, Correlation: -0.14628467315390317
Candidate: 0xe6, Correlation: -0.14580683812241255
Candidate: 0x4f, Correlation: -0.1456268720650912
Candidate: 0x6a, Correlation: -0.14506572246415936
Candidate: 0x9f, Correlation: -0.14494861180941168
Candidate: 0xf2, Correlation: -0.14488356907608557
Candidate: 0x1a, Correlation: -0.14371938819641722
Candidate: 0xda, Correlation: -0.14316789345557238
Candidate: 0x4b, Correlation: -0.1429761270237339
Candidate: 0x5f, Correlation: -0.14272659882689312
Candidate: 0x71, Correlation: -0.14267273269935277
Candidate: 0xd, Correlation: -0.14128731574306153
Candidate: 0x9a, Correlation: -0.14051171431901197
Candidate: 0x84, Correlation: -0.13809107333470957
Candidate: 0x53, Correlation: -0.1375436447491775
Candidate: 0xa, Correlation: -0.13693249873052518
Candidate: 0x80, Correlation: -0.1366768433802305
Candidate: 0x95, Correlation: -0.13563434746808878
Candidate: 0xe5, Correlation: -0.13474676232130173
Candidate: 0x5a, Correlation: -0.13473398561753328
Candidate: 0x28, Correlation: -0.1344323216399699
Candidate: 0x79, Correlation: -0.13414075309575718
Candidate: 0x26, Correlation: -0.13371594397508743
Candidate: 0xec, Correlation: -0.13348342748285785
Candidate: 0x47, Correlation: -0.1329034523087444
Candidate: 0xc1, Correlation: -0.13279347333393182
Candidate: 0x29, Correlation: -0.13238772497577916
Candidate: 0xf8, Correlation: -0.13158659568020742
Candidate: 0x25, Correlation: -0.13122661130740634
Candidate: 0xbc, Correlation: -0.1308303769526872
Candidate: 0x77, Correlation: -0.13078465437454076
Candidate: 0x6d, Correlation: -0.13017328485215748
Candidate: 0x8b, Correlation: -0.12971027804013252
Candidate: 0x67, Correlation: -0.12925191945336334
Candidate: 0x73, Correlation: -0.1282137439907626
Candidate: 0xf0, Correlation: -0.12708876940014963
Candidate: 0x12, Correlation: -0.12668772693280875
Candidate: 0x10, Correlation: -0.12565373179327421
Candidate: 0x1, Correlation: -0.12541699043588625
Candidate: 0x2c, Correlation: -0.12526153008025737
Candidate: 0xe9, Correlation: -0.12432751376635738
Candidate: 0x82, Correlation: -0.12313830114063792
Candidate: 0x59, Correlation: -0.1228080325022521
Candidate: 0x19, Correlation: -0.12213635239845698
Candidate: 0xf4, Correlation: -0.12150633568087006
Candidate: 0x5, Correlation: -0.12109098934843922
Candidate: 0xb7, Correlation: -0.12102593280826875
Candidate: 0xfa, Correlation: -0.12033892031723273
Candidate: 0x3c, Correlation: -0.1200703581622718
Candidate: 0xf3, Correlation: -0.11967414495547078
Candidate: 0xa8, Correlation: -0.11830844188917417
Candidate: 0x7e, Correlation: -0.11819387874137817
Candidate: 0x37, Correlation: -0.11783339319586401
Candidate: 0x5e, Correlation: -0.1158174530343341
Candidate: 0xa6, Correlation: -0.11570649440658766
Candidate: 0x55, Correlation: -0.11559255367338774
Candidate: 0x8e, Correlation: -0.11543954142594942
Candidate: 0x75, Correlation: -0.11461830793715314
Candidate: 0xac, Correlation: -0.11457539966263595
Candidate: 0xa5, Correlation: -0.11453100736717317
Candidate: 0x9e, Correlation: -0.11399764503915082
Candidate: 0x3a, Correlation: -0.11365508309456117
Candidate: 0x15, Correlation: -0.11300197936225508
Candidate: 0xa9, Correlation: -0.1115292192787042
Candidate: 0x6c, Correlation: -0.11001004257007363
Candidate: 0xf9, Correlation: -0.1099283938782265
Candidate: 0xde, Correlation: -0.10979574016924942
Candidate: 0x6, Correlation: -0.10882317471151787
Candidate: 0x93, Correlation: -0.10758805925669741
Candidate: 0x66, Correlation: -0.10703837526271956
Candidate: 0x41, Correlation: -0.10696787355581475
Candidate: 0xce, Correlation: -0.10648889194561584
Candidate: 0x20, Correlation: -0.10637155687777002
Candidate: 0xc4, Correlation: -0.10606497168690006
Candidate: 0xc2, Correlation: -0.10570514163415107
Candidate: 0xf5, Correlation: -0.10568373451291585
Candidate: 0x69, Correlation: -0.10563150514607411
Candidate: 0x87, Correlation: -0.10524862712256085
Candidate: 0xe8, Correlation: -0.10394811305192357
Candidate: 0x74, Correlation: -0.10381373019400926
Candidate: 0xe0, Correlation: -0.1035213077161643
Candidate: 0x1e, Correlation: -0.10331689189632973
Candidate: 0x17, Correlation: -0.10287095292792378
Candidate: 0x89, Correlation: -0.10287054572263749
Candidate: 0xba, Correlation: -0.10161344394751481
Candidate: 0xc9, Correlation: -0.10058315468788767
Candidate: 0x7a, Correlation: -0.09997187341272265
Candidate: 0x8f, Correlation: -0.09905882735029431
Candidate: 0x90, Correlation: -0.09900283638954617
Candidate: 0x57, Correlation: -0.09860423932172459
Candidate: 0x2e, Correlation: -0.0974624619846541
Candidate: 0x42, Correlation: -0.09655619659816088
Candidate: 0x35, Correlation: -0.09616114601823357
Candidate: 0x70, Correlation: -0.0949585258267941
Candidate: 0xd3, Correlation: -0.09449706601934646
Candidate: 0x33, Correlation: -0.09304384525749096
Candidate: 0x60, Correlation: -0.09268042340080611
Candidate: 0xb5, Correlation: -0.09259109621090518
Candidate: 0xe7, Correlation: -0.09146483279117161
Candidate: 0x72, Correlation: -0.09077586576245919
