Candidate: 0x91, Correlation: -0.13896260637464267
Candidate: 0x20, Correlation: -0.1386465459038012
Candidate: 0x12, Correlation: -0.13846893747016778
Candidate: 0xf4, Correlation: -0.13834407395483284
Candidate: 0x1a, Correlation: -0.13736975781183167
Candidate: 0xeb, Correlation: -0.13697257434472584
Candidate: 0x9, Correlation: -0.13691962894691415
Candidate: 0x3c, Correlation: -0.13652358870206688
Candidate: 0x78, Correlation: -0.13584087374124165
Candidate: 0xf5, Correlation: -0.1355155712358218
Candidate: 0xef, Correlation: -0.1354834001299481
Candidate: 0x95, Correlation: -0.13546984418983196
Candidate: 0x13, Correlation: -0.13545149387690156
Candidate: 0xb9, Correlation: -0.13513196515272005
Candidate: 0x21, Correlation: -0.1342671945806167
Candidate: 0x76, Correlation: -0.13291355418986459
Candidate: 0xe7, Correlation: -0.12944025628531292
Candidate: 0x58, Correlation: -0.12821077032128977
Candidate: 0xb4, Correlation: -0.12684320746750094
Candidate: 0x2c, Correlation: -0.12657435687283883
Candidate: 0xbd, Correlation: -0.12609015443214955
Candidate: 0x27, Correlation: -0.12601268960422582
Candidate: 0x97, Correlation: -0.12574987343052973
Candidate: 0x39, Correlation: -0.12546863774298475
Candidate: 0xd7, Correlation: -0.1252475295462601
Candidate: 0xa8, Correlation: -0.12496804885836485
Candidate: 0xdb, Correlation: -0.12407886569843458
Candidate: 0xe3, Correlation: -0.12396365087746233
Candidate: 0x1b, Correlation: -0.12357550844490979
Candidate: 0x33, Correlation: -0.12305669365665703
Candidate: 0x8d, Correlation: -0.12294974448378952
Candidate: 0x23, Correlation: -0.12207468927145317
Candidate: 0xe9, Correlation: -0.12178154206661489
Candidate: 0x53, Correlation: -0.12152042511399981
Candidate: 0x1d, Correlation: -0.12131726340235571
Candidate: 0x29, Correlation: -0.12110427603221643
Candidate: 0xcd, Correlation: -0.12079275617756018
Candidate: 0x2d, Correlation: -0.1204018750839452
Candidate: 0xdd, Correlation: -0.12036504742053643
Candidate: 0xb0, Correlation: -0.11981544566659814
Candidate: 0x4f, Correlation: -0.11904470412743617
Candidate: 0x9a, Correlation: -0.11828153719294447
Candidate: 0xbb, Correlation: -0.11782170093716811
Candidate: 0x56, Correlation: -0.11765756150237197
Candidate: 0x2e, Correlation: -0.11724320153755448
Candidate: 0x8f, Correlation: -0.11498969353260445
Candidate: 0x8c, Correlation: -0.11463648897622068
Candidate: 0x3b, Correlation: -0.1139678865216303
Candidate: 0xed, Correlation: -0.11378420258750718
Candidate: 0xd1, Correlation: -0.11248907175592975
Candidate: 0x66, Correlation: -0.11242187467994753
Candidate: 0x80, Correlation: -0.11239252568116712
Candidate: 0xc3, Correlation: -0.11184510401224446
Candidate: 0xaf, Correlation: -0.11091094581341723
Candidate: 0x30, Correlation: -0.10952732601158743
Candidate: 0xea, Correlation: -0.1095041096510185
Candidate: 0x7e, Correlation: -0.10837972938098084
Candidate: 0xec, Correlation: -0.10770134030250529
Candidate: 0xd5, Correlation: -0.10747063669014158
Candidate: 0x71, Correlation: -0.10726378776348786
Candidate: 0xb3, Correlation: -0.10689385920913248
Candidate: 0xab, Correlation: -0.10685106214420682
Candidate: 0x17, Correlation: -0.10649536974072504
Candidate: 0x34, Correlation: -0.10630169169070437
Candidate: 0x3d, Correlation: -0.10595288211976792
Candidate: 0x31, Correlation: -0.10548511795441012
Candidate: 0xb5, Correlation: -0.10541327780110218
Candidate: 0x6f, Correlation: -0.10510389271783288
Candidate: 0xdc, Correlation: -0.10498639332866011
Candidate: 0x24, Correlation: -0.10448213610197266
Candidate: 0x69, Correlation: -0.10320639356830011
Candidate: 0x8e, Correlation: -0.10292185919537854
Candidate: 0x1c, Correlation: -0.10192707790323317
Candidate: 0x6d, Correlation: -0.10145437057034536
Candidate: 0x43, Correlation: -0.10139022747005676
Candidate: 0x5e, Correlation: -0.09967955795716296
Candidate: 0x96, Correlation: -0.0972113850906999
Candidate: 0x60, Correlation: -0.09592627191771573
Candidate: 0x51, Correlation: -0.09577217263797777
Candidate: 0xe4, Correlation: -0.09465429826602419
Candidate: 0x15, Correlation: -0.09463226875575956
Candidate: 0xc5, Correlation: -0.09431613594837572
Candidate: 0x55, Correlation: -0.09415680939992672
Candidate: 0x35, Correlation: -0.09412634890730019
Candidate: 0xa0, Correlation: -0.09299726797758878
Candidate: 0x59, Correlation: -0.09208172316162176
Candidate: 0x90, Correlation: -0.09205878701490317
Candidate: 0xa5, Correlation: -0.09114624197847268
Candidate: 0x57, Correlation: -0.09051390108134859
Candidate: 0x9e, Correlation: -0.09028434883013493
Candidate: 0x65, Correlation: -0.08954464746637351
Candidate: 0xae, Correlation: -0.08954081504642754
Candidate: 0xc1, Correlation: -0.08919444316741479
Candidate: 0x6c, Correlation: -0.08865927781395479
Candidate: 0xad, Correlation: -0.08716413783448783
Candidate: 0xd4, Correlation: -0.08714413269311767
Candidate: 0x98, Correlation: -0.0868409522772396
Candidate: 0xbf, Correlation: -0.08679996208828303
Candidate: 0x54, Correlation: -0.0867945511346752
Candidate: 0xa7, Correlation: -0.0855293158442574
Candidate: 0x4d, Correlation: -0.08540359983803544
Candidate: 0xa9, Correlation: -0.08446993670509073
Candidate: 0xc, Correlation: -0.08353790526074002
Candidate: 0x14, Correlation: -0.08353511143777329
Candidate: 0xac, Correlation: -0.0832474906739525
Candidate: 0x94, Correlation: -0.08290322021091638
Candidate: 0xb1, Correlation: -0.08284576976325167
Candidate: 0x9b, Correlation: -0.08251853396970232
Candidate: 0x99, Correlation: -0.08162508981692342
Candidate: 0x70, Correlation: -0.08155597960611646
Candidate: 0xa2, Correlation: -0.08150290238402266
Candidate: 0x6e, Correlation: -0.08135661201042627
Candidate: 0x41, Correlation: -0.07759306449795415
Candidate: 0x3f, Correlation: -0.07647115349464262
Candidate: 0x61, Correlation: -0.07585470853822186
Candidate: 0xa1, Correlation: -0.0750328594038802
Candidate: 0x63, Correlation: -0.07452960890298369
Candidate: 0x9d, Correlation: -0.07266424534495124
Candidate: 0x67, Correlation: -0.0716173439839813
Candidate: 0x5b, Correlation: -0.07156406545024668
Candidate: 0x45, Correlation: -0.07139853917162202
Candidate: 0x68, Correlation: -0.06965241540156165
Candidate: 0x62, Correlation: -0.0691606492743951
Candidate: 0x9f, Correlation: -0.06768503315120107
Candidate: 0x5d, Correlation: -0.06509717539576242
Candidate: 0x9c, Correlation: -0.05734330585474418
Candidate: 0x64, Correlation: -0.05719577670738702
Candidate: 0x5c, Correlation: -0.05680512595586271
Candidate: 0x5f, Correlation: -0.0554305029825614
Candidate: 0xa4, Correlation: -0.05422710780319202
Candidate: 0xa3, Correlation: -0.05364238343318163
