Candidate: 0xe0, Correlation: -0.3045722385832033
Candidate: 0xc0, Correlation: -0.2963009324101477
Candidate: 0x20, Correlation: -0.28774970351239315
Candidate: 0x60, Correlation: -0.2651672190214527
Candidate: 0xa0, Correlation: -0.26009390260369636
Candidate: 0x40, Correlation: -0.25219595691170116
Candidate: 0x0, Correlation: -0.2515757476122645
Candidate: 0xd0, Correlation: -0.24754447808560506
Candidate: 0xe7, Correlation: -0.2241918354741117
Candidate: 0xe8, Correlation: -0.21769848259607655
Candidate: 0x17, Correlation: -0.21690110243004027
Candidate: 0xe2, Correlation: -0.20869322437993307
Candidate: 0x18, Correlation: -0.20460618985810727
Candidate: 0xe6, Correlation: -0.20371027425265328
Candidate: 0xde, Correlation: -0.19542328986123414
Candidate: 0xf0, Correlation: -0.19496227227643284
Candidate: 0xd8, Correlation: -0.19094038354898835
Candidate: 0x50, Correlation: -0.1908491611467228
Candidate: 0xc8, Correlation: -0.18994392015688957
Candidate: 0xe4, Correlation: -0.18979607503859428
Candidate: 0xf7, Correlation: -0.1895769568334097
Candidate: 0xa8, Correlation: -0.18942725019948395
Candidate: 0x27, Correlation: -0.18926551873186714
Candidate: 0xa2, Correlation: -0.18668261718541224
Candidate: 0xd7, Correlation: -0.1863258269940699
Candidate: 0xb0, Correlation: -0.18279020233414572
Candidate: 0x80, Correlation: -0.18058182191187797
Candidate: 0xc4, Correlation: -0.17920157363736988
Candidate: 0x30, Correlation: -0.17907730734274385
Candidate: 0xc2, Correlation: -0.1751080965107003
Candidate: 0xd4, Correlation: -0.17375602839923665
Candidate: 0x28, Correlation: -0.17358052928758397
Candidate: 0x8, Correlation: -0.17288390414342975
Candidate: 0xf8, Correlation: -0.17271486615681184
Candidate: 0x7, Correlation: -0.16952452133077137
Candidate: 0xbc, Correlation: -0.16760427673461484
Candidate: 0xbe, Correlation: -0.16656134369024048
Candidate: 0x10, Correlation: -0.16409519731024047
Candidate: 0xda, Correlation: -0.161538783453653
Candidate: 0xa6, Correlation: -0.16105825900487056
Candidate: 0x62, Correlation: -0.16066153122026408
Candidate: 0xff, Correlation: -0.1587214549640799
Candidate: 0xaa, Correlation: -0.15629335881408243
Candidate: 0x3, Correlation: -0.15622240382276395
Candidate: 0x22, Correlation: -0.1551253191486349
Candidate: 0xc3, Correlation: -0.15503740034401264
Candidate: 0x70, Correlation: -0.1531260656028137
Candidate: 0xca, Correlation: -0.15249379531247445
Candidate: 0x3c, Correlation: -0.15167473480997637
Candidate: 0x9e, Correlation: -0.15095885098413853
Candidate: 0x68, Correlation: -0.15067649254751997
Candidate: 0xb2, Correlation: -0.14999730705436343
Candidate: 0xec, Correlation: -0.1494321889290698
Candidate: 0xa4, Correlation: -0.14939060584042357
Candidate: 0x34, Correlation: -0.14881630030005705
Candidate: 0x1c, Correlation: -0.14815832554831088
Candidate: 0x26, Correlation: -0.14811084341267028
Candidate: 0xea, Correlation: -0.14756348940815547
Candidate: 0xe9, Correlation: -0.14735483887586304
Candidate: 0x14, Correlation: -0.14666306654695485
Candidate: 0xae, Correlation: -0.1464712777636115
Candidate: 0x5e, Correlation: -0.14636946325293204
Candidate: 0xdc, Correlation: -0.14592924318202152
Candidate: 0x43, Correlation: -0.14543180590770402
Candidate: 0xc6, Correlation: -0.14487419451258496
Candidate: 0xe5, Correlation: -0.14450924654520175
Candidate: 0xe3, Correlation: -0.1443737336119509
Candidate: 0xef, Correlation: -0.14326982665383164
Candidate: 0x2, Correlation: -0.1431701447325363
Candidate: 0x1, Correlation: -0.14305740327572888
Candidate: 0x2c, Correlation: -0.14254886519134105
Candidate: 0x24, Correlation: -0.14178487732393308
Candidate: 0xba, Correlation: -0.1413371262315302
Candidate: 0xb4, Correlation: -0.14042375029790383
Candidate: 0x97, Correlation: -0.13975669055878165
Candidate: 0xbb, Correlation: -0.1393541281669081
Candidate: 0xa7, Correlation: -0.13932317042106906
Candidate: 0xd3, Correlation: -0.13892070487101799
Candidate: 0xf, Correlation: -0.13836095787787978
Candidate: 0x1f, Correlation: -0.13828035636076527
Candidate: 0xb8, Correlation: -0.13784228075188146
Candidate: 0xce, Correlation: -0.13660716239246667
Candidate: 0xeb, Correlation: -0.13646115376389117
Candidate: 0x58, Correlation: -0.13450420855472747
Candidate: 0x48, Correlation: -0.1341518094197297
Candidate: 0x44, Correlation: -0.13401067289827406
Candidate: 0xf4, Correlation: -0.13276425108201567
Candidate: 0x2a, Correlation: -0.13248086749753082
Candidate: 0xcc, Correlation: -0.13124422373269676
Candidate: 0x3b, Correlation: -0.13077339849505282
Candidate: 0x67, Correlation: -0.12912804522421684
Candidate: 0x2b, Correlation: -0.12628696847786178
Candidate: 0x54, Correlation: -0.12607312613660648
