Candidate: 0x40, Correlation: -0.1336646154585085
Candidate: 0x28, Correlation: -0.13335060961967893
Candidate: 0xb2, Correlation: -0.13298308626158725
Candidate: 0x15, Correlation: -0.13258227940742837
Candidate: 0xb4, Correlation: -0.13194284150057733
Candidate: 0xe, Correlation: -0.13142083689010453
Candidate: 0x8f, Correlation: -0.1312951451583413
Candidate: 0x75, Correlation: -0.13121346057753483
Candidate: 0xf8, Correlation: -0.13112889394353003
Candidate: 0x62, Correlation: -0.13103910004327074
Candidate: 0x5a, Correlation: -0.13099216806481112
Candidate: 0x91, Correlation: -0.1308639887662943
Candidate: 0xdd, Correlation: -0.13084232794537176
Candidate: 0xc, Correlation: -0.13028678855840473
Candidate: 0x82, Correlation: -0.1299910547823943
Candidate: 0x65, Correlation: -0.12908209874305945
Candidate: 0xf2, Correlation: -0.1287212442870206
Candidate: 0x8d, Correlation: -0.1278641193683856
Candidate: 0xca, Correlation: -0.12738454031627697
Candidate: 0x48, Correlation: -0.12683978821537606
Candidate: 0x7a, Correlation: -0.12676244246726168
Candidate: 0xa6, Correlation: -0.12662124049709864
Candidate: 0x4e, Correlation: -0.12660311753734804
Candidate: 0x52, Correlation: -0.12650524484392478
Candidate: 0xe8, Correlation: -0.12588819984586663
Candidate: 0xec, Correlation: -0.12586289974554163
Candidate: 0x8, Correlation: -0.12583322439358
Candidate: 0x12, Correlation: -0.12460783088692376
Candidate: 0x31, Correlation: -0.12403879027796677
Candidate: 0xc7, Correlation: -0.12372729505708173
Candidate: 0x16, Correlation: -0.12312837603596925
Candidate: 0x4a, Correlation: -0.1226517897763498
Candidate: 0x58, Correlation: -0.12162606536121628
Candidate: 0xd9, Correlation: -0.12107524464154247
Candidate: 0x9e, Correlation: -0.12071781574065947
Candidate: 0x47, Correlation: -0.1204000726750639
Candidate: 0x25, Correlation: -0.12002508876884359
Candidate: 0xce, Correlation: -0.11909308394402279
Candidate: 0x13, Correlation: -0.11899846758517478
Candidate: 0x2a, Correlation: -0.11817933090325099
Candidate: 0x61, Correlation: -0.11795107634304822
Candidate: 0xcd, Correlation: -0.11649512850458713
Candidate: 0x8a, Correlation: -0.11608398801142873
Candidate: 0x2e, Correlation: -0.11562703200780805
Candidate: 0x33, Correlation: -0.11553940692077529
Candidate: 0xa1, Correlation: -0.11520453025950336
Candidate: 0xa2, Correlation: -0.11390997525076958
Candidate: 0xd7, Correlation: -0.11248133067304632
Candidate: 0x4f, Correlation: -0.11226953481437818
Candidate: 0x54, Correlation: -0.11225937837259341
Candidate: 0x19, Correlation: -0.11118434475972618
Candidate: 0x60, Correlation: -0.11114605253990255
Candidate: 0x6d, Correlation: -0.11100472158686209
Candidate: 0x17, Correlation: -0.10938248210253611
Candidate: 0xea, Correlation: -0.10873919242875375
Candidate: 0xcc, Correlation: -0.1083540564823145
Candidate: 0xcb, Correlation: -0.10834277745176008
Candidate: 0x7e, Correlation: -0.10811509782307824
Candidate: 0xe7, Correlation: -0.10724037384012534
Candidate: 0x5e, Correlation: -0.10712213300840759
Candidate: 0xc8, Correlation: -0.10615154208298812
Candidate: 0xef, Correlation: -0.10610436166969904
Candidate: 0xb1, Correlation: -0.10556728963231866
Candidate: 0x2c, Correlation: -0.10529168366837484
Candidate: 0x51, Correlation: -0.10459879078094841
Candidate: 0xaf, Correlation: -0.10320488040834311
Candidate: 0x56, Correlation: -0.10311688264881191
Candidate: 0xc1, Correlation: -0.10208486109683576
Candidate: 0xed, Correlation: -0.10187607200661306
Candidate: 0x66, Correlation: -0.1014045732013215
Candidate: 0xe1, Correlation: -0.1011946713634107
Candidate: 0xe9, Correlation: -0.1005942296203661
Candidate: 0xd2, Correlation: -0.09941393904893531
Candidate: 0x97, Correlation: -0.09908232458603254
Candidate: 0x76, Correlation: -0.0988670384580353
Candidate: 0xe0, Correlation: -0.09839355718098623
Candidate: 0xc0, Correlation: -0.09810689283279192
Candidate: 0x95, Correlation: -0.0980317478541434
Candidate: 0xaa, Correlation: -0.0978218028766575
Candidate: 0xcf, Correlation: -0.0974087534106753
Candidate: 0x2f, Correlation: -0.09676511164349622
Candidate: 0xd1, Correlation: -0.09654383736247624
Candidate: 0x21, Correlation: -0.09647852041273458
Candidate: 0x9a, Correlation: -0.09634051412472909
Candidate: 0x41, Correlation: -0.09574199836311487
Candidate: 0x57, Correlation: -0.09555877984967895
Candidate: 0x96, Correlation: -0.09425167264151042
Candidate: 0x68, Correlation: -0.0935067869502939
Candidate: 0xd5, Correlation: -0.09327032353565767
Candidate: 0xd, Correlation: -0.09318538502390722
Candidate: 0xf1, Correlation: -0.0930226492597552
Candidate: 0x74, Correlation: -0.09276076300944815
Candidate: 0xa0, Correlation: -0.09135662054095801
Candidate: 0x80, Correlation: -0.09038701453514555
Candidate: 0x20, Correlation: -0.09035141438535953
Candidate: 0xa8, Correlation: -0.090040687463842
Candidate: 0xb3, Correlation: -0.08939393426023663
Candidate: 0x2b, Correlation: -0.0880242157383404
Candidate: 0x8c, Correlation: -0.08730647972360912
Candidate: 0x89, Correlation: -0.0866298142641779
Candidate: 0x2d, Correlation: -0.08445190112879344
Candidate: 0x9f, Correlation: -0.08413245025299523
Candidate: 0xac, Correlation: -0.08395894835218301
Candidate: 0x27, Correlation: -0.08270575563228355
Candidate: 0x94, Correlation: -0.08243003088397047
Candidate: 0x11, Correlation: -0.08123608215635113
Candidate: 0xc9, Correlation: -0.07817218858992778
Candidate: 0x86, Correlation: -0.07772453979033424
Candidate: 0xf, Correlation: -0.0772423018774627
Candidate: 0x5f, Correlation: -0.07632552847049737
Candidate: 0x78, Correlation: -0.07578542320191971
Candidate: 0x4b, Correlation: -0.07477933896423712
