Candidate: 0xca, Correlation: -0.1486967552677194
Candidate: 0xd6, Correlation: -0.14799366115912688
Candidate: 0xc8, Correlation: -0.14778231722718274
Candidate: 0x12, Correlation: -0.14763928501540174
Candidate: 0x2d, Correlation: -0.14636839589975897
Candidate: 0xde, Correlation: -0.1463080199347131
Candidate: 0x85, Correlation: -0.14503787799201906
Candidate: 0xe2, Correlation: -0.14466286404564682
Candidate: 0x81, Correlation: -0.14456176786690333
Candidate: 0x17, Correlation: -0.14318881549254328
Candidate: 0x25, Correlation: -0.1431665037368542
Candidate: 0x29, Correlation: -0.14165894769468312
Candidate: 0xf2, Correlation: -0.14159111266993124
Candidate: 0x44, Correlation: -0.14072477134067035
Candidate: 0xba, Correlation: -0.14038562654931389
Candidate: 0x72, Correlation: -0.13981855932395917
Candidate: 0x3c, Correlation: -0.13902768554682712
Candidate: 0x1, Correlation: -0.1389765567539269
Candidate: 0xd2, Correlation: -0.13834609675769652
Candidate: 0x7d, Correlation: -0.1383153112956047
Candidate: 0xc, Correlation: -0.13678037661012743
Candidate: 0xe7, Correlation: -0.13670992841021198
Candidate: 0x8a, Correlation: -0.13633173543947774
Candidate: 0xcf, Correlation: -0.13610955599370483
Candidate: 0xcc, Correlation: -0.13598596346881175
Candidate: 0x1c, Correlation: -0.13563706485096336
Candidate: 0xf8, Correlation: -0.13556891477194002
Candidate: 0xdc, Correlation: -0.13531931249163764
Candidate: 0x78, Correlation: -0.1342274297614585
Candidate: 0x6f, Correlation: -0.13417645330544883
Candidate: 0xa9, Correlation: -0.13379475477205913
Candidate: 0x26, Correlation: -0.1337317665268521
Candidate: 0xc5, Correlation: -0.13370750535182102
Candidate: 0x4a, Correlation: -0.1336849150793118
Candidate: 0x2, Correlation: -0.13169520458587164
Candidate: 0x92, Correlation: -0.13093841727674888
Candidate: 0xd9, Correlation: -0.13026057588236556
Candidate: 0xf4, Correlation: -0.13012281909054504
Candidate: 0x8c, Correlation: -0.1299291045090994
Candidate: 0x6d, Correlation: -0.12976159782759047
Candidate: 0xec, Correlation: -0.12943953449358744
Candidate: 0xa5, Correlation: -0.12890622979101232
Candidate: 0xfc, Correlation: -0.1286167930066124
Candidate: 0x5a, Correlation: -0.12843518640635712
Candidate: 0xb9, Correlation: -0.12798705862234686
