Candidate: 0x32, Correlation: -0.14001587753799274
Candidate: 0x8c, Correlation: -0.13918163108719683
Candidate: 0x3c, Correlation: -0.1367940611130247
Candidate: 0xd9, Correlation: -0.13665618336798216
Candidate: 0xad, Correlation: -0.13618295852686405
Candidate: 0xe1, Correlation: -0.13546123780555075
Candidate: 0x97, Correlation: -0.1348221671772531
Candidate: 0x21, Correlation: -0.13474019895480238
Candidate: 0x88, Correlation: -0.134739379496727
Candidate: 0xfc, Correlation: -0.1339988081607075
Candidate: 0x3a, Correlation: -0.13341784866518838
Candidate: 0xd6, Correlation: -0.1328154452536848
Candidate: 0xe8, Correlation: -0.13225120490112088
Candidate: 0xa6, Correlation: -0.13199964361246325
Candidate: 0xb, Correlation: -0.1309790035322273
Candidate: 0x61, Correlation: -0.13042160899661642
Candidate: 0x55, Correlation: -0.13023289865928037
Candidate: 0x66, Correlation: -0.12978367958489767
Candidate: 0x26, Correlation: -0.12924006819989273
Candidate: 0x7e, Correlation: -0.1291590377829903
Candidate: 0xfe, Correlation: -0.12885322959177983
Candidate: 0x8, Correlation: -0.1287037782595851
Candidate: 0xe6, Correlation: -0.1274594844378165
Candidate: 0x31, Correlation: -0.1259200128266376
Candidate: 0x1b, Correlation: -0.12521647551852427
Candidate: 0xef, Correlation: -0.12491199845414018
Candidate: 0x12, Correlation: -0.12406449321216109
Candidate: 0x7c, Correlation: -0.12352450266030833
Candidate: 0x98, Correlation: -0.12328787375161503
Candidate: 0xde, Correlation: -0.12274136365513745
Candidate: 0x72, Correlation: -0.12051926136150375
Candidate: 0x92, Correlation: -0.12012398340720179
Candidate: 0x4b, Correlation: -0.11872419340827453
Candidate: 0x4f, Correlation: -0.11865280945752436
Candidate: 0xfd, Correlation: -0.1175722182270637
Candidate: 0x3b, Correlation: -0.11605315476302994
Candidate: 0x7d, Correlation: -0.1149059746462177
Candidate: 0x4c, Correlation: -0.11315687400792135
Candidate: 0x6b, Correlation: -0.11207474228058179
Candidate: 0xff, Correlation: -0.11144386442981227
