Candidate: 0x14, Correlation: -0.1495999092111564
Candidate: 0xd5, Correlation: -0.14922927248060625
Candidate: 0xf1, Correlation: -0.14819490330149962
Candidate: 0xdc, Correlation: -0.1469310029492727
Candidate: 0x66, Correlation: -0.14683926561609872
Candidate: 0xce, Correlation: -0.14643179663106884
Candidate: 0xae, Correlation: -0.1462962953199569
Candidate: 0xdf, Correlation: -0.14583428464149575
Candidate: 0x5e, Correlation: -0.14489416867596094
Candidate: 0x65, Correlation: -0.14445970082863402
Candidate: 0x35, Correlation: -0.14436955450603142
Candidate: 0xb6, Correlation: -0.14324784472520832
Candidate: 0x4e, Correlation: -0.14270708933611995
Candidate: 0x48, Correlation: -0.1421112476886772
Candidate: 0xa5, Correlation: -0.1420376061723064
Candidate: 0x3f, Correlation: -0.14186335579737783
Candidate: 0x7c, Correlation: -0.1415986340940227
Candidate: 0x95, Correlation: -0.141531101898043
Candidate: 0x91, Correlation: -0.140956825103323
Candidate: 0x45, Correlation: -0.14034458648927942
Candidate: 0xb8, Correlation: -0.14033321481510083
Candidate: 0x3a, Correlation: -0.1379493454777617
Candidate: 0xec, Correlation: -0.13728128274055365
Candidate: 0x90, Correlation: -0.13694439733535835
Candidate: 0x2c, Correlation: -0.1362785596126444
Candidate: 0x6e, Correlation: -0.13580916480192337
Candidate: 0x44, Correlation: -0.13452374750688895
Candidate: 0x62, Correlation: -0.13408281775524394
Candidate: 0xa6, Correlation: -0.13312964029416602
Candidate: 0x31, Correlation: -0.13266616230835987
Candidate: 0x21, Correlation: -0.13261310210243712
Candidate: 0x5a, Correlation: -0.1306627788845783
Candidate: 0xb0, Correlation: -0.13056633022246383
Candidate: 0x56, Correlation: -0.13050156256774095
Candidate: 0xc5, Correlation: -0.13045567557861243
Candidate: 0x39, Correlation: -0.13030643061681163
Candidate: 0xbd, Correlation: -0.130064986894867
Candidate: 0x7d, Correlation: -0.12983123038538985
Candidate: 0xd6, Correlation: -0.12894917179816162
Candidate: 0xa4, Correlation: -0.1288594583302366
Candidate: 0xd9, Correlation: -0.1285529037298829
Candidate: 0x96, Correlation: -0.12847747304495924
Candidate: 0xc0, Correlation: -0.12835950410695976
Candidate: 0x92, Correlation: -0.12623081583759127
Candidate: 0xe0, Correlation: -0.1260056237266175
Candidate: 0x36, Correlation: -0.12563255240261506
Candidate: 0x68, Correlation: -0.12519540611589614
Candidate: 0xf4, Correlation: -0.12507016420921638
Candidate: 0xa8, Correlation: -0.12506420823650058
Candidate: 0x80, Correlation: -0.12481317324765438
Candidate: 0x9d, Correlation: -0.12436429390156166
Candidate: 0xa0, Correlation: -0.1241316525856403
Candidate: 0x3e, Correlation: -0.12390042747811972
Candidate: 0xb7, Correlation: -0.12356814185684457
Candidate: 0x1a, Correlation: -0.12344703651572043
Candidate: 0xc6, Correlation: -0.1233711528230074
Candidate: 0x40, Correlation: -0.12292699111160146
Candidate: 0x70, Correlation: -0.12283684479565597
Candidate: 0x30, Correlation: -0.12249066367779035
Candidate: 0xe6, Correlation: -0.12238230747106651
Candidate: 0xd1, Correlation: -0.12201756510526912
Candidate: 0x55, Correlation: -0.12171248053583754
Candidate: 0x9e, Correlation: -0.12101099020560978
Candidate: 0x7e, Correlation: -0.12072449449857373
Candidate: 0x76, Correlation: -0.12065314384223567
Candidate: 0x58, Correlation: -0.12036989559216461
Candidate: 0xde, Correlation: -0.11996175688541404
Candidate: 0x57, Correlation: -0.11883100361837584
Candidate: 0xd0, Correlation: -0.11874600277301293
Candidate: 0xbf, Correlation: -0.11861021622149655
Candidate: 0xe1, Correlation: -0.11714784296207707
Candidate: 0x99, Correlation: -0.11613627667682795
Candidate: 0x38, Correlation: -0.11572944591777444
Candidate: 0x82, Correlation: -0.11571255005802743
Candidate: 0x50, Correlation: -0.11547995844286321
Candidate: 0x75, Correlation: -0.11520155946687301
Candidate: 0x81, Correlation: -0.11501019920446585
Candidate: 0x7a, Correlation: -0.11491402181722812
Candidate: 0xc2, Correlation: -0.11389004049794083
Candidate: 0x77, Correlation: -0.1137905584337069
Candidate: 0x9a, Correlation: -0.11252869324339217
Candidate: 0x98, Correlation: -0.11218347185416112
Candidate: 0x41, Correlation: -0.11193501487984128
Candidate: 0x84, Correlation: -0.11188246851280872
Candidate: 0xb2, Correlation: -0.11187593005780495
Candidate: 0xb1, Correlation: -0.11167991878179431
Candidate: 0xfc, Correlation: -0.11131097667716185
Candidate: 0x71, Correlation: -0.1112993208923561
Candidate: 0x42, Correlation: -0.11107939817301019
Candidate: 0x32, Correlation: -0.11067214416657592
Candidate: 0xa2, Correlation: -0.10998354251600138
Candidate: 0xe2, Correlation: -0.10912678383531119
Candidate: 0x51, Correlation: -0.1089186944573311
Candidate: 0x5d, Correlation: -0.10886422585165574
Candidate: 0xda, Correlation: -0.10858790351432324
Candidate: 0x94, Correlation: -0.10838956815454392
Candidate: 0xb5, Correlation: -0.1081918611424103
Candidate: 0x74, Correlation: -0.1072626458893906
Candidate: 0xd8, Correlation: -0.10714279027608711
Candidate: 0x46, Correlation: -0.1071359901870304
Candidate: 0xa1, Correlation: -0.10624913343888973
Candidate: 0x78, Correlation: -0.10518244636759819
Candidate: 0xfa, Correlation: -0.10308893178016822
Candidate: 0xc4, Correlation: -0.10152524150229739
Candidate: 0x79, Correlation: -0.09977742562331487
Candidate: 0x16, Correlation: -0.09825299899394659
Candidate: 0x20, Correlation: -0.09824764637879022
Candidate: 0xb9, Correlation: -0.09821117871727955
Candidate: 0x72, Correlation: -0.09736605251855672
Candidate: 0x5f, Correlation: -0.09595745238235776
Candidate: 0x9f, Correlation: -0.09577295994778781
Candidate: 0x0, Correlation: -0.09574627718873112
Candidate: 0xee, Correlation: -0.09398784189643065
Candidate: 0x1c, Correlation: -0.0939449370052233
Candidate: 0xc1, Correlation: -0.09333462189444357
Candidate: 0xe8, Correlation: -0.09289814446487783
Candidate: 0x59, Correlation: -0.09257423950224473
Candidate: 0x26, Correlation: -0.09256325673000716
Candidate: 0x52, Correlation: -0.09031642665240952
Candidate: 0x18, Correlation: -0.08988237590599431
Candidate: 0xf8, Correlation: -0.08986435288003389
Candidate: 0x22, Correlation: -0.08914546783688526
Candidate: 0xf0, Correlation: -0.08784495969789248
Candidate: 0x2e, Correlation: -0.0851061274238532
Candidate: 0xf6, Correlation: -0.08461331316363932
Candidate: 0xfe, Correlation: -0.08223625039891908
Candidate: 0x1e, Correlation: -0.08146965657531052
Candidate: 0x61, Correlation: -0.0799528399931228
Candidate: 0xf2, Correlation: -0.07979454204183896
Candidate: 0xd2, Correlation: -0.07909461832809161
Candidate: 0x28, Correlation: -0.06827835403659493
