Candidate: 0x87, Correlation: -0.14882402893938493
Candidate: 0xd8, Correlation: -0.14878700417392085
Candidate: 0x6c, Correlation: -0.14852670268290719
Candidate: 0xdd, Correlation: -0.14797744660941764
Candidate: 0xd5, Correlation: -0.14723198872010534
Candidate: 0x75, Correlation: -0.14672284746539294
Candidate: 0x6, Correlation: -0.1466344703995771
Candidate: 0x96, Correlation: -0.1464199217356001
Candidate: 0x7d, Correlation: -0.1452655279439594
Candidate: 0xfd, Correlation: -0.1451008060761255
Candidate: 0x3d, Correlation: -0.14504315610342058
Candidate: 0x45, Correlation: -0.14461111734397458
Candidate: 0xbb, Correlation: -0.1443126890087598
Candidate: 0x37, Correlation: -0.1442974162475906
Candidate: 0x46, Correlation: -0.14349342990203434
Candidate: 0x1a, Correlation: -0.1430794798492073
Candidate: 0x58, Correlation: -0.1398623692044149
Candidate: 0x78, Correlation: -0.13962105835642535
Candidate: 0xcc, Correlation: -0.13903714264331543
Candidate: 0x55, Correlation: -0.13879100706767866
Candidate: 0xc6, Correlation: -0.13792223466613948
Candidate: 0x5d, Correlation: -0.13667885646947164
Candidate: 0x38, Correlation: -0.13611033217887644
Candidate: 0xfa, Correlation: -0.1359529577027711
Candidate: 0x5, Correlation: -0.1359388002635416
Candidate: 0x8b, Correlation: -0.1353996758273881
Candidate: 0x1c, Correlation: -0.13313144283721756
Candidate: 0xcb, Correlation: -0.13155084954656115
Candidate: 0x7a, Correlation: -0.1313660237756305
Candidate: 0x20, Correlation: -0.13115268832873858
Candidate: 0xd, Correlation: -0.1303459359370751
Candidate: 0xb, Correlation: -0.13011735251529297
Candidate: 0xbc, Correlation: -0.12999462404700565
Candidate: 0xda, Correlation: -0.12997768706227378
Candidate: 0x4c, Correlation: -0.12989380380025078
Candidate: 0x32, Correlation: -0.1282749607318844
Candidate: 0xd7, Correlation: -0.12745800855979728
Candidate: 0x4d, Correlation: -0.12732072218642085
Candidate: 0x36, Correlation: -0.12671382439527915
Candidate: 0x5a, Correlation: -0.12602385858296977
Candidate: 0x94, Correlation: -0.1252316722233257
Candidate: 0x93, Correlation: -0.12439466288258196
Candidate: 0x17, Correlation: -0.12404675750835754
Candidate: 0x3b, Correlation: -0.12339980923156842
Candidate: 0xbe, Correlation: -0.12321953946206685
Candidate: 0xee, Correlation: -0.12178353329738148
Candidate: 0x1e, Correlation: -0.12174626259366476
Candidate: 0x77, Correlation: -0.12170196766653635
Candidate: 0x7b, Correlation: -0.12006170123674191
Candidate: 0xe, Correlation: -0.11975334576623202
Candidate: 0x6e, Correlation: -0.11935887613324515
Candidate: 0xc0, Correlation: -0.11923369204992745
Candidate: 0x3e, Correlation: -0.11846480466353437
Candidate: 0xe0, Correlation: -0.1164023284961208
Candidate: 0xdb, Correlation: -0.11494971615734857
Candidate: 0x5f, Correlation: -0.1140755790286702
Candidate: 0x47, Correlation: -0.11401145575110636
Candidate: 0xd6, Correlation: -0.11296281310528393
Candidate: 0x4e, Correlation: -0.11279271506520938
Candidate: 0xdf, Correlation: -0.11253015649224761
Candidate: 0x14, Correlation: -0.11050501245213645
Candidate: 0x80, Correlation: -0.11017331839122908
Candidate: 0x3c, Correlation: -0.10942365902256468
Candidate: 0xfe, Correlation: -0.1091098003332102
Candidate: 0xf0, Correlation: -0.10841616673319068
Candidate: 0x4b, Correlation: -0.10822818979058224
Candidate: 0x44, Correlation: -0.10822243956394215
Candidate: 0x3a, Correlation: -0.10782574462269656
Candidate: 0xd0, Correlation: -0.10779526403497845
Candidate: 0x70, Correlation: -0.10643022339007359
Candidate: 0xe4, Correlation: -0.10638273898972596
Candidate: 0x16, Correlation: -0.10615898042844264
Candidate: 0x60, Correlation: -0.10573032545406197
Candidate: 0x62, Correlation: -0.10550985595413682
Candidate: 0x0, Correlation: -0.10536997724733896
Candidate: 0x4f, Correlation: -0.10521150972587696
Candidate: 0x64, Correlation: -0.1050615241875483
Candidate: 0xf3, Correlation: -0.10471844726617702
Candidate: 0x12, Correlation: -0.10430195878266126
Candidate: 0x4, Correlation: -0.10274855253316341
