Candidate: 0xe5, Correlation: -0.2729028981748031
Candidate: 0x28, Correlation: -0.2721991351895342
Candidate: 0xba, Correlation: -0.27198564859753943
Candidate: 0xae, Correlation: -0.27116246219965884
Candidate: 0xa2, Correlation: -0.2711090069326747
Candidate: 0x15, Correlation: -0.2703015804192932
Candidate: 0x83, Correlation: -0.2698858375316779
Candidate: 0x1e, Correlation: -0.2698778610745209
Candidate: 0x8f, Correlation: -0.26962795533915973
Candidate: 0xe9, Correlation: -0.26701260991429854
Candidate: 0x18, Correlation: -0.2663117070679159
Candidate: 0x9, Correlation: -0.2649679060510314
Candidate: 0x34, Correlation: -0.26434376172615887
Candidate: 0x2, Correlation: -0.2641230760554839
Candidate: 0x27, Correlation: -0.26274614818074504
Candidate: 0x14, Correlation: -0.261897916363306
Candidate: 0x22, Correlation: -0.2617050691730524
Candidate: 0x74, Correlation: -0.2613735861378239
Candidate: 0x2f, Correlation: -0.2605624011827211
Candidate: 0x58, Correlation: -0.25967247083774025
Candidate: 0x8a, Correlation: -0.25943694495138514
Candidate: 0x51, Correlation: -0.2591766577491407
Candidate: 0xf6, Correlation: -0.2590188507714257
Candidate: 0x31, Correlation: -0.2575165309429248
Candidate: 0x12, Correlation: -0.25700865835442466
Candidate: 0x9e, Correlation: -0.25556393540291644
Candidate: 0x4a, Correlation: -0.25526743076226827
Candidate: 0x48, Correlation: -0.25413337029045435
Candidate: 0xb8, Correlation: -0.2529565839444654
Candidate: 0xaf, Correlation: -0.252649288572946
Candidate: 0x98, Correlation: -0.2522164043366819
Candidate: 0xf5, Correlation: -0.2491079259422107
Candidate: 0x6, Correlation: -0.24895383380160033
Candidate: 0xcd, Correlation: -0.2488628182002195
Candidate: 0x25, Correlation: -0.24631571267527083
Candidate: 0x78, Correlation: -0.2459437273065425
Candidate: 0x17, Correlation: -0.24432740156243862
Candidate: 0x39, Correlation: -0.24382999448973358
Candidate: 0x53, Correlation: -0.2423629827584065
Candidate: 0x7, Correlation: -0.24222071116234958
Candidate: 0x4b, Correlation: -0.24204956988637485
Candidate: 0x5d, Correlation: -0.24163289858363998
Candidate: 0x6a, Correlation: -0.2409134926601393
Candidate: 0x4f, Correlation: -0.23836734755420622
Candidate: 0x2e, Correlation: -0.23663583745998493
Candidate: 0x81, Correlation: -0.23550033263370387
Candidate: 0x54, Correlation: -0.23490464631005475
Candidate: 0xeb, Correlation: -0.2345281883446428
Candidate: 0xfd, Correlation: -0.23422299320730264
Candidate: 0x24, Correlation: -0.23364771516672997
Candidate: 0x21, Correlation: -0.2331469153539454
Candidate: 0x5e, Correlation: -0.23233087325057697
Candidate: 0x94, Correlation: -0.2319667408570524
Candidate: 0x89, Correlation: -0.23105523787209523
Candidate: 0xa5, Correlation: -0.23046497496696064
Candidate: 0x4d, Correlation: -0.22980954946511187
Candidate: 0x97, Correlation: -0.22877775023819272
Candidate: 0xad, Correlation: -0.2285897351721672
Candidate: 0xd5, Correlation: -0.227973444903841
Candidate: 0x77, Correlation: -0.22735034514895028
Candidate: 0x62, Correlation: -0.22574694223918673
Candidate: 0x44, Correlation: -0.22563524235685367
Candidate: 0xca, Correlation: -0.22396771816943134
Candidate: 0x1d, Correlation: -0.2237901208286939
Candidate: 0x37, Correlation: -0.22293353025295984
Candidate: 0x93, Correlation: -0.22230397926346093
Candidate: 0x2a, Correlation: -0.22228828559588848
Candidate: 0xb7, Correlation: -0.22172005469974967
Candidate: 0xb6, Correlation: -0.22069617441581885
Candidate: 0x1a, Correlation: -0.21942902081887597
Candidate: 0x57, Correlation: -0.2192461002241762
Candidate: 0x55, Correlation: -0.21886102022321394
Candidate: 0x47, Correlation: -0.21822675040734424
Candidate: 0xb1, Correlation: -0.21712931153724715
Candidate: 0x73, Correlation: -0.21594145579275958
Candidate: 0xc7, Correlation: -0.21589192215800684
Candidate: 0xd7, Correlation: -0.21155170019236078
Candidate: 0xf7, Correlation: -0.21059104791674768
Candidate: 0x35, Correlation: -0.20897708264246886
Candidate: 0x45, Correlation: -0.20802572360873367
Candidate: 0x65, Correlation: -0.20726730885740963
Candidate: 0x5b, Correlation: -0.20712630899258702
Candidate: 0x49, Correlation: -0.20627370195083936
Candidate: 0xfa, Correlation: -0.20533720459146437
Candidate: 0x7e, Correlation: -0.20448886152071355
Candidate: 0x4e, Correlation: -0.2036825153714008
Candidate: 0x6b, Correlation: -0.2035192191896786
Candidate: 0xd6, Correlation: -0.20154879701067985
Candidate: 0x76, Correlation: -0.20093439794598453
Candidate: 0x13, Correlation: -0.20054120308759557
Candidate: 0x3b, Correlation: -0.19991396500400077
Candidate: 0x95, Correlation: -0.19671929831210666
