Candidate: 0xe1, Correlation: -0.22900100131025375
Candidate: 0x77, Correlation: -0.22865065192791412
Candidate: 0x1c, Correlation: -0.22852706158567565
Candidate: 0xaf, Correlation: -0.22777883239898183
Candidate: 0xe0, Correlation: -0.2275978226506685
Candidate: 0x7e, Correlation: -0.22702948265909242
Candidate: 0x93, Correlation: -0.2263621403903919
Candidate: 0xcd, Correlation: -0.22587817794636986
Candidate: 0x2f, Correlation: -0.22505537187883728
Candidate: 0xd2, Correlation: -0.2245665017603623
Candidate: 0xb8, Correlation: -0.22222866754250042
Candidate: 0x25, Correlation: -0.22144936686796307
Candidate: 0x85, Correlation: -0.2213230863893258
Candidate: 0x14, Correlation: -0.220788926987818
Candidate: 0xe4, Correlation: -0.21681514970013752
Candidate: 0x2a, Correlation: -0.21665197162276106
Candidate: 0x2c, Correlation: -0.21590225700719717
Candidate: 0xde, Correlation: -0.21582701008758648
Candidate: 0x41, Correlation: -0.21541052836305416
Candidate: 0x82, Correlation: -0.21523263260760508
Candidate: 0x1a, Correlation: -0.21454394487602996
Candidate: 0x8a, Correlation: -0.21412449918251278
Candidate: 0xd1, Correlation: -0.21288448775512944
Candidate: 0x27, Correlation: -0.21224663284251888
Candidate: 0x9, Correlation: -0.21172956473376173
Candidate: 0x9d, Correlation: -0.2114725770892
Candidate: 0x52, Correlation: -0.2083519687147584
Candidate: 0x51, Correlation: -0.20781859901869815
Candidate: 0x31, Correlation: -0.20760323099952457
Candidate: 0xc0, Correlation: -0.2075938014605336
Candidate: 0x69, Correlation: -0.2074894497968719
Candidate: 0xd6, Correlation: -0.20737719297602739
Candidate: 0xf9, Correlation: -0.20676253834703448
Candidate: 0xee, Correlation: -0.2062636131566086
Candidate: 0x9f, Correlation: -0.20616988592955082
Candidate: 0x97, Correlation: -0.20547419946497936
Candidate: 0xf6, Correlation: -0.2053362419939983
Candidate: 0x4f, Correlation: -0.20312019651336402
Candidate: 0xe2, Correlation: -0.20302370451677518
Candidate: 0x32, Correlation: -0.20297126174281363
Candidate: 0x3f, Correlation: -0.20089632558043016
Candidate: 0x55, Correlation: -0.20029119484846805
Candidate: 0x5, Correlation: -0.1999625655860166
Candidate: 0xcc, Correlation: -0.19859214795837474
Candidate: 0x5a, Correlation: -0.19831169924971173
Candidate: 0xc4, Correlation: -0.19600504386806158
Candidate: 0xb5, Correlation: -0.19403938770917592
Candidate: 0x6, Correlation: -0.19390054423144676
Candidate: 0xe, Correlation: -0.19160947049793284
Candidate: 0xca, Correlation: -0.19110773930367628
Candidate: 0x50, Correlation: -0.18992974713962255
Candidate: 0x23, Correlation: -0.189457344014911
Candidate: 0xb9, Correlation: -0.18896625106888612
Candidate: 0x47, Correlation: -0.18717331660328104
Candidate: 0x6d, Correlation: -0.1839584585941091
Candidate: 0x94, Correlation: -0.18229843933927584
Candidate: 0x4e, Correlation: -0.1821153422518574
Candidate: 0x11, Correlation: -0.18194119728613578
Candidate: 0x1f, Correlation: -0.18077271233351933
Candidate: 0x19, Correlation: -0.18071442594441958
Candidate: 0xc7, Correlation: -0.17995793912998115
Candidate: 0x65, Correlation: -0.17985043702404424
Candidate: 0x9a, Correlation: -0.176996001314639
Candidate: 0x2, Correlation: -0.17670106188703838
Candidate: 0xc3, Correlation: -0.1724350631082777
Candidate: 0x17, Correlation: -0.17214703163085057
Candidate: 0x43, Correlation: -0.1693382742763339
Candidate: 0x15, Correlation: -0.16918428770873323
Candidate: 0x13, Correlation: -0.16888428726696972
Candidate: 0x37, Correlation: -0.16546914449975803
Candidate: 0x9c, Correlation: -0.16513087183973835
Candidate: 0x91, Correlation: -0.16476594832849395
Candidate: 0x49, Correlation: -0.16373879878069297
Candidate: 0x71, Correlation: -0.16321528527890872
Candidate: 0x39, Correlation: -0.16086126401686812
Candidate: 0xf0, Correlation: -0.15859518587309485
Candidate: 0xcf, Correlation: -0.15200798124521211
Candidate: 0xaa, Correlation: -0.150312635512101
Candidate: 0x21, Correlation: -0.14941985887026624
Candidate: 0x62, Correlation: -0.14828005449607495
Candidate: 0xb7, Correlation: -0.14794042945096514
Candidate: 0xc1, Correlation: -0.14735249189661903
Candidate: 0xb2, Correlation: -0.14685149562887756
Candidate: 0x3e, Correlation: -0.1441741982414888
Candidate: 0x20, Correlation: -0.14343726972032383
Candidate: 0x6e, Correlation: -0.14140227803116656
Candidate: 0x59, Correlation: -0.1392099884349691
Candidate: 0x66, Correlation: -0.13718866850557543
Candidate: 0x6a, Correlation: -0.13467137365449386
Candidate: 0x42, Correlation: -0.12228554502589417
Candidate: 0x36, Correlation: -0.12073166944214671
Candidate: 0x89, Correlation: -0.12031811836012096
Candidate: 0xac, Correlation: -0.12016923466434899
Candidate: 0x30, Correlation: -0.11980840543273046
Candidate: 0x8e, Correlation: -0.11723162086380903
Candidate: 0x68, Correlation: -0.11586023036318363
Candidate: 0x24, Correlation: -0.11377393014128276
Candidate: 0x48, Correlation: -0.1134959921587918
Candidate: 0x12, Correlation: -0.11335407490778783
Candidate: 0x22, Correlation: -0.11299144760946976
Candidate: 0x2e, Correlation: -0.11058762670440846
Candidate: 0xd0, Correlation: -0.11041801969012505
Candidate: 0x86, Correlation: -0.10964981208458244
Candidate: 0xbe, Correlation: -0.10905059195718535
Candidate: 0x70, Correlation: -0.1055775404127221
Candidate: 0x61, Correlation: -0.10353702831964127
Candidate: 0x5e, Correlation: -0.1024841641625961
Candidate: 0x46, Correlation: -0.10236197330006873
Candidate: 0xce, Correlation: -0.10188523145966148
Candidate: 0xa8, Correlation: -0.10043903854400382
Candidate: 0xc2, Correlation: -0.09965798982663049
Candidate: 0x28, Correlation: -0.09962199828095858
Candidate: 0xb6, Correlation: -0.09921678757633406
Candidate: 0x56, Correlation: -0.09889275232935205
Candidate: 0x26, Correlation: -0.09870565854610264
Candidate: 0xe8, Correlation: -0.0971642448469214
Candidate: 0x18, Correlation: -0.08575329535595924
Candidate: 0x16, Correlation: -0.08394592020140883
Candidate: 0x92, Correlation: -0.0819056969144513
Candidate: 0x1e, Correlation: -0.08189969291238725
Candidate: 0xc6, Correlation: -0.08172810768458089
Candidate: 0xb0, Correlation: -0.07899979689280323
Candidate: 0xae, Correlation: -0.0783825132106959
Candidate: 0xa6, Correlation: -0.07731622198325766
Candidate: 0xc8, Correlation: -0.071198579424053
Candidate: 0x98, Correlation: -0.06930193342964207
Candidate: 0xa4, Correlation: -0.06816759695015835
Candidate: 0xa2, Correlation: -0.06317262829613271
Candidate: 0x96, Correlation: -0.06019000597931444
Candidate: 0x9e, Correlation: -0.05882625630322585
Candidate: 0xa0, Correlation: -0.058104535500330734
