Candidate: 0x79, Correlation: -0.20766183733891302
Candidate: 0x82, Correlation: -0.2073483339143352
Candidate: 0x68, Correlation: -0.20722120007088216
Candidate: 0x80, Correlation: -0.2066172794455398
Candidate: 0xc1, Correlation: -0.20453134097932812
Candidate: 0x9, Correlation: -0.20436687463193665
Candidate: 0xc5, Correlation: -0.20302050000728708
Candidate: 0xac, Correlation: -0.2019613561487842
Candidate: 0x24, Correlation: -0.2016291472948291
Candidate: 0x66, Correlation: -0.200630095375061
Candidate: 0xbf, Correlation: -0.20042711214803363
Candidate: 0xec, Correlation: -0.20041686848994691
Candidate: 0xfb, Correlation: -0.19918487226862586
Candidate: 0x20, Correlation: -0.1967699256831626
Candidate: 0x64, Correlation: -0.19662499803733025
Candidate: 0x2, Correlation: -0.19536220308715416
Candidate: 0xc2, Correlation: -0.19425065500567532
Candidate: 0x86, Correlation: -0.19203904609243924
Candidate: 0xbd, Correlation: -0.19100793212007652
Candidate: 0x62, Correlation: -0.1906359339854852
Candidate: 0xfc, Correlation: -0.19023950028930248
Candidate: 0xa7, Correlation: -0.18892295664579653
Candidate: 0x60, Correlation: -0.1887625623247029
Candidate: 0x65, Correlation: -0.18837937670296237
Candidate: 0x2e, Correlation: -0.18818055856432747
Candidate: 0x35, Correlation: -0.18788441588384672
Candidate: 0xb3, Correlation: -0.18732880535152735
Candidate: 0xc8, Correlation: -0.18682755621703429
Candidate: 0x88, Correlation: -0.18675965725788407
Candidate: 0xbc, Correlation: -0.18658422324454862
Candidate: 0x8, Correlation: -0.18620657372662233
Candidate: 0x1e, Correlation: -0.18497628428871202
Candidate: 0x61, Correlation: -0.1838699352823316
Candidate: 0xc6, Correlation: -0.18380567154305671
Candidate: 0x1c, Correlation: -0.18267510806309406
Candidate: 0xff, Correlation: -0.18177557464282174
Candidate: 0x1d, Correlation: -0.18145701100701345
Candidate: 0xa9, Correlation: -0.1813613995094224
Candidate: 0x50, Correlation: -0.1813314346499814
Candidate: 0xe6, Correlation: -0.18055955607090482
Candidate: 0x5, Correlation: -0.1796918382781842
Candidate: 0xf8, Correlation: -0.1789002772248309
Candidate: 0x72, Correlation: -0.17873192851133635
Candidate: 0x5e, Correlation: -0.17861827955438592
Candidate: 0x5c, Correlation: -0.17603231640567477
Candidate: 0x2d, Correlation: -0.17366128380952578
Candidate: 0x5d, Correlation: -0.17307615280217353
Candidate: 0xcc, Correlation: -0.1676920744162768
Candidate: 0xa1, Correlation: -0.1675122403701958
Candidate: 0xa, Correlation: -0.16649233668212568
