Candidate: 0xaf, Correlation: -0.17036943165003687
Candidate: 0x26, Correlation: -0.16928831161359997
Candidate: 0xe2, Correlation: -0.16846056091605852
Candidate: 0xde, Correlation: -0.1669097186075945
Candidate: 0x9d, Correlation: -0.16648625426232047
Candidate: 0x31, Correlation: -0.16645175883091948
Candidate: 0xc7, Correlation: -0.16471410024975122
Candidate: 0xa6, Correlation: -0.16423313089258434
Candidate: 0xd7, Correlation: -0.1637303446288613
Candidate: 0xd9, Correlation: -0.16258462154065406
Candidate: 0xe0, Correlation: -0.162264131188809
Candidate: 0x3, Correlation: -0.16197803115155465
Candidate: 0xef, Correlation: -0.16184433472717363
Candidate: 0x3a, Correlation: -0.16081993396057662
Candidate: 0x5d, Correlation: -0.16055704765943668
Candidate: 0x48, Correlation: -0.16005715861776665
Candidate: 0xdc, Correlation: -0.15958063923730798
Candidate: 0x94, Correlation: -0.15955438449663742
Candidate: 0xce, Correlation: -0.15910226726332033
Candidate: 0x43, Correlation: -0.15859896469625215
Candidate: 0xec, Correlation: -0.15838521047015697
Candidate: 0xa8, Correlation: -0.15829768151774004
Candidate: 0xfe, Correlation: -0.15776184562900594
Candidate: 0xe7, Correlation: -0.15731670028227612
Candidate: 0x88, Correlation: -0.1571213551579404
Candidate: 0x1a, Correlation: -0.1557655925892507
Candidate: 0xe4, Correlation: -0.1549325135513823
Candidate: 0xb1, Correlation: -0.15036896807805705
Candidate: 0x53, Correlation: -0.1499583675911941
Candidate: 0xc2, Correlation: -0.1493280320281004
Candidate: 0xb3, Correlation: -0.14881781617376433
Candidate: 0xd2, Correlation: -0.14871982365730252
Candidate: 0x3e, Correlation: -0.14808367946421694
Candidate: 0x11, Correlation: -0.1473775791174251
Candidate: 0x8d, Correlation: -0.1469759230604466
Candidate: 0x85, Correlation: -0.14655049386222851
Candidate: 0xbe, Correlation: -0.14648451736404527
Candidate: 0xeb, Correlation: -0.14634764500030809
Candidate: 0x56, Correlation: -0.1462174506229316
Candidate: 0xab, Correlation: -0.1461458813962839
Candidate: 0xd6, Correlation: -0.14565183858659822
Candidate: 0xca, Correlation: -0.14549651600370395
Candidate: 0xf6, Correlation: -0.14526908335778696
Candidate: 0xf4, Correlation: -0.1447644019807106
Candidate: 0x50, Correlation: -0.14431234653724856
Candidate: 0xcc, Correlation: -0.14344690754737094
Candidate: 0xcd, Correlation: -0.14222133141193619
Candidate: 0xe, Correlation: -0.14218822914138643
Candidate: 0xe6, Correlation: -0.14209820298461612
Candidate: 0xe9, Correlation: -0.1414973156653979
Candidate: 0xc4, Correlation: -0.1408679303026127
Candidate: 0xe8, Correlation: -0.14047116781852065
Candidate: 0x9, Correlation: -0.1404101515267364
Candidate: 0xe1, Correlation: -0.13943425323095315
Candidate: 0x2e, Correlation: -0.13874649801569242
Candidate: 0x3c, Correlation: -0.13820319468315728
Candidate: 0x40, Correlation: -0.13756225898643537
Candidate: 0x86, Correlation: -0.13740770683972447
Candidate: 0x46, Correlation: -0.13640490049999524
