Candidate: 0x7f, Correlation: -0.27589684323877717
Candidate: 0xb5, Correlation: -0.2736156293010425
Candidate: 0x84, Correlation: -0.2733951300129364
Candidate: 0x2f, Correlation: -0.27232690249936714
Candidate: 0x6c, Correlation: -0.269043375473223
Candidate: 0x34, Correlation: -0.2674222887103096
Candidate: 0x57, Correlation: -0.2650752021041419
Candidate: 0x4a, Correlation: -0.2646809282753424
Candidate: 0xa5, Correlation: -0.2644735732280997
Candidate: 0x82, Correlation: -0.263380419931943
Candidate: 0x43, Correlation: -0.2616321143576683
Candidate: 0x53, Correlation: -0.26103085348155713
Candidate: 0xc, Correlation: -0.26028006047373753
Candidate: 0x13, Correlation: -0.257834397059415
Candidate: 0x28, Correlation: -0.25722530167758983
Candidate: 0x22, Correlation: -0.255910085463217
Candidate: 0x88, Correlation: -0.25562713884300087
Candidate: 0x9d, Correlation: -0.25556778007453457
Candidate: 0xac, Correlation: -0.25461280275969117
Candidate: 0x2d, Correlation: -0.2539166686391447
Candidate: 0x27, Correlation: -0.25327291975676286
Candidate: 0x60, Correlation: -0.25214466016617215
Candidate: 0x1d, Correlation: -0.25145389661192713
Candidate: 0xab, Correlation: -0.25123175306940415
Candidate: 0x8c, Correlation: -0.24812660631002395
Candidate: 0x3a, Correlation: -0.2478642934154218
Candidate: 0xdb, Correlation: -0.24759185012361343
Candidate: 0x5, Correlation: -0.2468313329593663
Candidate: 0xf8, Correlation: -0.24349004901244314
Candidate: 0xfd, Correlation: -0.2401495977562733
Candidate: 0x21, Correlation: -0.23824216084506847
Candidate: 0x30, Correlation: -0.23612918059810925
Candidate: 0x24, Correlation: -0.2354294276801672
Candidate: 0x55, Correlation: -0.23446080292896143
Candidate: 0x16, Correlation: -0.23411711638299
Candidate: 0x45, Correlation: -0.2337800715708371
Candidate: 0x6b, Correlation: -0.23075556354446786
Candidate: 0xef, Correlation: -0.23062130179011767
Candidate: 0x23, Correlation: -0.22800545956226165
Candidate: 0x32, Correlation: -0.2267488765216713
Candidate: 0xba, Correlation: -0.2249859772517826
Candidate: 0x8f, Correlation: -0.22088649972616173
Candidate: 0x58, Correlation: -0.2205671506295018
Candidate: 0x90, Correlation: -0.22034388728463739
Candidate: 0x36, Correlation: -0.21994645312125907
Candidate: 0xe5, Correlation: -0.21856413429454769
Candidate: 0xf2, Correlation: -0.21221593987963075
Candidate: 0x1a, Correlation: -0.21105294014371195
Candidate: 0x1c, Correlation: -0.20892007967344417
Candidate: 0x29, Correlation: -0.20862904937348223
Candidate: 0xdd, Correlation: -0.2085472837688709
Candidate: 0xf0, Correlation: -0.20841864369993585
Candidate: 0x92, Correlation: -0.2064196281282609
Candidate: 0x2e, Correlation: -0.20623427361528154
Candidate: 0x8b, Correlation: -0.2058923130778563
Candidate: 0x3e, Correlation: -0.2034656919104385
Candidate: 0x25, Correlation: -0.19991736342919106
Candidate: 0x77, Correlation: -0.19972922487265538
Candidate: 0x89, Correlation: -0.19964308167924888
Candidate: 0xec, Correlation: -0.19654234582189992
Candidate: 0x17, Correlation: -0.19474304572736126
Candidate: 0xae, Correlation: -0.19437689084722656
Candidate: 0x4e, Correlation: -0.19423158806348675
Candidate: 0x7c, Correlation: -0.192279586382962
Candidate: 0x71, Correlation: -0.19140459579836538
Candidate: 0x87, Correlation: -0.19119103936185716
Candidate: 0x5a, Correlation: -0.18984826736123775
Candidate: 0xb, Correlation: -0.1898074423199918
Candidate: 0x6e, Correlation: -0.18932813901661705
Candidate: 0x5b, Correlation: -0.1892542605883058
Candidate: 0x81, Correlation: -0.18591559058568813
Candidate: 0xb6, Correlation: -0.18554977513725524
Candidate: 0xe, Correlation: -0.18073873385544428
Candidate: 0xfa, Correlation: -0.17969975354711815
Candidate: 0x70, Correlation: -0.17946166290345125
Candidate: 0x78, Correlation: -0.17900931338678752
Candidate: 0x73, Correlation: -0.1787407351903887
Candidate: 0x83, Correlation: -0.178414996417292
Candidate: 0x64, Correlation: -0.17791043611516213
Candidate: 0x7b, Correlation: -0.17727118265556607
Candidate: 0xf7, Correlation: -0.17160476865567925
Candidate: 0x76, Correlation: -0.17057651680219618
Candidate: 0x79, Correlation: -0.16936322017342673
Candidate: 0x8e, Correlation: -0.16850899784048176
Candidate: 0xed, Correlation: -0.167745477398857
Candidate: 0x5c, Correlation: -0.16631435936026295
Candidate: 0xf9, Correlation: -0.16618341454033747
Candidate: 0x93, Correlation: -0.16610807045518922
Candidate: 0x8a, Correlation: -0.16464650125641617
Candidate: 0x7a, Correlation: -0.16440393134601247
Candidate: 0x54, Correlation: -0.16343844630876717
Candidate: 0x6f, Correlation: -0.16264044208221506
Candidate: 0x74, Correlation: -0.1600148606716163
Candidate: 0xf3, Correlation: -0.15927145639926207
Candidate: 0x7e, Correlation: -0.15861280037554382
Candidate: 0x7d, Correlation: -0.15550673706431942
Candidate: 0xeb, Correlation: -0.15428879569725262
Candidate: 0x8d, Correlation: -0.153993236870453
Candidate: 0x46, Correlation: -0.15373046126939766
Candidate: 0x99, Correlation: -0.15356132805399395
Candidate: 0x75, Correlation: -0.15291043581440333
Candidate: 0x6d, Correlation: -0.1513502080599375
Candidate: 0x63, Correlation: -0.14764339787374556
Candidate: 0x2a, Correlation: -0.1458338984052443
Candidate: 0x97, Correlation: -0.14235520326652268
Candidate: 0x5e, Correlation: -0.14119844615200153
Candidate: 0x5d, Correlation: -0.13789760215598315
Candidate: 0xf6, Correlation: -0.13449186478741193
Candidate: 0x72, Correlation: -0.13233337691204594
Candidate: 0x15, Correlation: -0.12875310316253785
Candidate: 0x66, Correlation: -0.12702253117355072
Candidate: 0x67, Correlation: -0.12352381940507719
Candidate: 0x96, Correlation: -0.12314572826990448
Candidate: 0xee, Correlation: -0.1197054053057569
Candidate: 0x94, Correlation: -0.118152976589692
Candidate: 0x5f, Correlation: -0.11795771537378084
Candidate: 0x85, Correlation: -0.11745050415133818
Candidate: 0x86, Correlation: -0.11738717508552533
Candidate: 0x65, Correlation: -0.11664054724335933
Candidate: 0x6a, Correlation: -0.1126454355274641
Candidate: 0x62, Correlation: -0.11195005014243417
Candidate: 0xf5, Correlation: -0.11045354944722274
Candidate: 0x9a, Correlation: -0.10995519618674351
Candidate: 0x95, Correlation: -0.10983831294887719
Candidate: 0x69, Correlation: -0.10929518042831901
Candidate: 0x26, Correlation: -0.10781125434804736
Candidate: 0x1e, Correlation: -0.1059804409736532
Candidate: 0x56, Correlation: -0.10470656372296261
Candidate: 0x68, Correlation: -0.10092177898804729
Candidate: 0x61, Correlation: -0.09303690391467409
Candidate: 0x98, Correlation: -0.08988909700157481
