Candidate: 0x46, Correlation: -0.17416214845118638
Candidate: 0x45, Correlation: -0.17368405040330262
Candidate: 0x5b, Correlation: -0.17272658143039382
Candidate: 0x5c, Correlation: -0.1714275355575992
Candidate: 0x3c, Correlation: -0.17113801188352115
Candidate: 0x23, Correlation: -0.1710846172744051
Candidate: 0x25, Correlation: -0.17096332781963558
Candidate: 0xd5, Correlation: -0.17057822188677924
Candidate: 0xee, Correlation: -0.16968300286650959
Candidate: 0x11, Correlation: -0.1694264875910104
Candidate: 0x95, Correlation: -0.1691867207868515
Candidate: 0x1b, Correlation: -0.16842654148781666
Candidate: 0x38, Correlation: -0.168408951437355
Candidate: 0xeb, Correlation: -0.1669250861525083
Candidate: 0x54, Correlation: -0.16688432401798223
Candidate: 0x55, Correlation: -0.1664933160048178
Candidate: 0x3b, Correlation: -0.16646458684431578
Candidate: 0xc, Correlation: -0.16638858055240416
Candidate: 0x75, Correlation: -0.16601824057166456
Candidate: 0xbe, Correlation: -0.1658861294914527
Candidate: 0x67, Correlation: -0.16586444391401897
Candidate: 0x27, Correlation: -0.16534217720281935
Candidate: 0xbb, Correlation: -0.16412794925214017
Candidate: 0x9f, Correlation: -0.16394403814546218
Candidate: 0x8f, Correlation: -0.16359089220098103
Candidate: 0x8b, Correlation: -0.16311634694490648
Candidate: 0x18, Correlation: -0.16250859985574648
Candidate: 0x4, Correlation: -0.16191364085600038
Candidate: 0xd, Correlation: -0.16122285759369923
Candidate: 0xc8, Correlation: -0.1593610422679156
Candidate: 0x86, Correlation: -0.15884337987583835
Candidate: 0xe3, Correlation: -0.15841304750653312
Candidate: 0x2f, Correlation: -0.15796453484287143
Candidate: 0xb3, Correlation: -0.15778655710379577
Candidate: 0xde, Correlation: -0.15695419407321573
Candidate: 0xc9, Correlation: -0.15651082016338969
Candidate: 0x66, Correlation: -0.15619088718951624
Candidate: 0x5f, Correlation: -0.15607556617671492
Candidate: 0xd0, Correlation: -0.1559966771679241
Candidate: 0x49, Correlation: -0.15490272232031901
Candidate: 0xdb, Correlation: -0.15354562204236458
Candidate: 0x3, Correlation: -0.152169653710158
Candidate: 0xe8, Correlation: -0.15211959170342748
Candidate: 0x74, Correlation: -0.1518011264433878
Candidate: 0x73, Correlation: -0.15152465403507379
Candidate: 0x80, Correlation: -0.14988092651206403
Candidate: 0xec, Correlation: -0.14867225565985265
Candidate: 0xb1, Correlation: -0.1482667374090178
Candidate: 0xcf, Correlation: -0.14725750256256065
Candidate: 0x58, Correlation: -0.1469649396859874
Candidate: 0xb5, Correlation: -0.14621240349065265
Candidate: 0x4f, Correlation: -0.14602344365291656
Candidate: 0x85, Correlation: -0.14561816038527628
Candidate: 0xfe, Correlation: -0.1450335827286511
Candidate: 0x1, Correlation: -0.1441884743551423
Candidate: 0x1d, Correlation: -0.1441639057096129
Candidate: 0xc6, Correlation: -0.1441252702136199
Candidate: 0x76, Correlation: -0.14393113637378996
Candidate: 0x93, Correlation: -0.1419632522522291
Candidate: 0x71, Correlation: -0.14156695928276747
Candidate: 0xc4, Correlation: -0.14086965032105575
Candidate: 0xb6, Correlation: -0.14023180787989104
Candidate: 0xf5, Correlation: -0.13972201693839792
Candidate: 0x35, Correlation: -0.1397099599851606
Candidate: 0x64, Correlation: -0.13942604858351298
Candidate: 0x4b, Correlation: -0.13918796364864133
Candidate: 0xe7, Correlation: -0.1388558354452361
Candidate: 0x7b, Correlation: -0.13835672723578263
Candidate: 0x31, Correlation: -0.1369687002351114
Candidate: 0x7d, Correlation: -0.1339147011047856
Candidate: 0xfd, Correlation: -0.1330686168111062
Candidate: 0x43, Correlation: -0.1326298646454701
Candidate: 0xbd, Correlation: -0.13262077000615216
Candidate: 0x41, Correlation: -0.132187915402197
Candidate: 0x84, Correlation: -0.1320536513888148
Candidate: 0x3d, Correlation: -0.13173630687230134
Candidate: 0x91, Correlation: -0.1316693657993777
Candidate: 0x21, Correlation: -0.1307112016674711
Candidate: 0x8, Correlation: -0.12948569773582141
Candidate: 0x17, Correlation: -0.1294732501464311
Candidate: 0x6, Correlation: -0.12809819938937492
Candidate: 0xc3, Correlation: -0.12728225605681595
Candidate: 0x53, Correlation: -0.12706745733642805
Candidate: 0xdf, Correlation: -0.12695262303241348
Candidate: 0xb7, Correlation: -0.12670484205164165
Candidate: 0x44, Correlation: -0.12629113467542322
Candidate: 0xf0, Correlation: -0.1259868699988536
Candidate: 0x7c, Correlation: -0.125836289082572
Candidate: 0xa1, Correlation: -0.12481779882385004
Candidate: 0x33, Correlation: -0.12369764455308009
Candidate: 0x61, Correlation: -0.1226133209464654
Candidate: 0xc1, Correlation: -0.12247696580862022
Candidate: 0xe0, Correlation: -0.12213509225312837
Candidate: 0x7, Correlation: -0.12163134276440397
Candidate: 0xd3, Correlation: -0.12162018668095546
Candidate: 0xe6, Correlation: -0.1209918440412209
Candidate: 0xd4, Correlation: -0.12012042046530826
Candidate: 0xf9, Correlation: -0.11917693732535503
Candidate: 0xcb, Correlation: -0.11882511212327054
Candidate: 0xdc, Correlation: -0.11674315281393717
Candidate: 0xf4, Correlation: -0.11653191770285881
Candidate: 0xd6, Correlation: -0.11513556335605013
Candidate: 0x78, Correlation: -0.11415391825305908
Candidate: 0xf, Correlation: -0.11394068448169699
Candidate: 0xfb, Correlation: -0.11229877262333024
Candidate: 0x51, Correlation: -0.11203776815679414
Candidate: 0xf1, Correlation: -0.11084745169681458
Candidate: 0xe4, Correlation: -0.11040938966583286
Candidate: 0xfc, Correlation: -0.10972784704180132
Candidate: 0x3f, Correlation: -0.1070561813195746
Candidate: 0x81, Correlation: -0.10561866096094302
Candidate: 0xf3, Correlation: -0.10423506546392204
Candidate: 0x0, Correlation: -0.10203882957312413
Candidate: 0x7f, Correlation: -0.10060337202371067
Candidate: 0x1f, Correlation: -0.09908508633975725
Candidate: 0x47, Correlation: -0.09888037905105963
Candidate: 0xe1, Correlation: -0.09655763923140893
Candidate: 0xd8, Correlation: -0.09616255114484601
Candidate: 0xf6, Correlation: -0.09523426015366536
Candidate: 0xd1, Correlation: -0.09432345307920863
Candidate: 0xff, Correlation: -0.0940749475820689
Candidate: 0x77, Correlation: -0.09286943106836379
Candidate: 0x57, Correlation: -0.09040873509409086
Candidate: 0x83, Correlation: -0.08990939153990027
Candidate: 0x87, Correlation: -0.08850198972017308
Candidate: 0xc7, Correlation: -0.08619140878760775
Candidate: 0x37, Correlation: -0.08440624248625056
Candidate: 0xf7, Correlation: -0.08424049571704986
Candidate: 0xbf, Correlation: -0.07818307302189571
Candidate: 0xf8, Correlation: -0.07347284371374713
Candidate: 0xd7, Correlation: -0.07033938576365141
