Candidate: 0xd7, Correlation: -0.241474355475184
Candidate: 0xee, Correlation: -0.24041161843075234
Candidate: 0xc8, Correlation: -0.23895769108113044
Candidate: 0xa0, Correlation: -0.23866532511086488
Candidate: 0x0, Correlation: -0.23811344652086472
Candidate: 0x43, Correlation: -0.23787964727618158
Candidate: 0x66, Correlation: -0.2371099536068401
Candidate: 0x1c, Correlation: -0.236957468546757
Candidate: 0x3e, Correlation: -0.23654241913327392
Candidate: 0x45, Correlation: -0.23628543817845518
Candidate: 0x15, Correlation: -0.23421222078162068
Candidate: 0x9c, Correlation: -0.23411091661244643
Candidate: 0x55, Correlation: -0.23387262499359335
Candidate: 0xa1, Correlation: -0.23165739579095293
Candidate: 0x95, Correlation: -0.23155333831304714
Candidate: 0xe8, Correlation: -0.23129241232923778
Candidate: 0xf2, Correlation: -0.23043649721215817
Candidate: 0xd1, Correlation: -0.22746495208340523
Candidate: 0x99, Correlation: -0.22721558525801994
Candidate: 0x9e, Correlation: -0.22595488386289322
Candidate: 0x20, Correlation: -0.22561139793257767
Candidate: 0x13, Correlation: -0.22549066983963512
Candidate: 0xa8, Correlation: -0.22386417693061916
Candidate: 0x82, Correlation: -0.2219345259490228
Candidate: 0x28, Correlation: -0.22104789119112334
Candidate: 0xf, Correlation: -0.2209659045348018
Candidate: 0x51, Correlation: -0.22080545005901445
Candidate: 0xe2, Correlation: -0.21989834178168177
Candidate: 0x41, Correlation: -0.2193781705344707
Candidate: 0x21, Correlation: -0.21689102134391483
Candidate: 0x2f, Correlation: -0.21647111997873253
Candidate: 0x40, Correlation: -0.21619705178244733
Candidate: 0x4f, Correlation: -0.21522783298426543
Candidate: 0xe6, Correlation: -0.21485159741115256
Candidate: 0x3a, Correlation: -0.214498653013459
Candidate: 0x3c, Correlation: -0.2128343830478126
Candidate: 0xbb, Correlation: -0.21281886879720363
Candidate: 0x7e, Correlation: -0.21124489386343584
Candidate: 0xd8, Correlation: -0.21019800716036513
Candidate: 0x8d, Correlation: -0.20994848752770462
Candidate: 0x5b, Correlation: -0.209776306970048
Candidate: 0x76, Correlation: -0.20889960294964224
Candidate: 0xec, Correlation: -0.20872071322455438
Candidate: 0x7c, Correlation: -0.20818004461023173
Candidate: 0x18, Correlation: -0.20800766788294495
Candidate: 0x6a, Correlation: -0.20680931010403977
Candidate: 0x7a, Correlation: -0.20583601271971813
Candidate: 0xba, Correlation: -0.20540942464694356
Candidate: 0xc7, Correlation: -0.20533991162960308
Candidate: 0x38, Correlation: -0.20532560499146055
Candidate: 0xd0, Correlation: -0.20506920452557692
Candidate: 0xb8, Correlation: -0.20289347882892378
Candidate: 0xfc, Correlation: -0.20237910584244934
Candidate: 0x47, Correlation: -0.20139895443506944
Candidate: 0xfa, Correlation: -0.20124988137382507
Candidate: 0x10, Correlation: -0.20078605362883695
Candidate: 0xd9, Correlation: -0.20075022438893392
Candidate: 0x9b, Correlation: -0.19971917654604707
Candidate: 0xd5, Correlation: -0.1988548905228557
Candidate: 0x6d, Correlation: -0.1985099583200546
Candidate: 0x2d, Correlation: -0.19795072859664584
Candidate: 0xc0, Correlation: -0.1972441456583921
Candidate: 0xd3, Correlation: -0.1965581966730262
Candidate: 0xdd, Correlation: -0.196253420036199
Candidate: 0x4c, Correlation: -0.1959757434440032
Candidate: 0x26, Correlation: -0.19555972529515317
Candidate: 0x56, Correlation: -0.19375991020776367
Candidate: 0xbe, Correlation: -0.19354642972418318
Candidate: 0xea, Correlation: -0.1932502786098535
Candidate: 0xa7, Correlation: -0.19296327433497437
Candidate: 0x30, Correlation: -0.19280533642314643
Candidate: 0x39, Correlation: -0.19215605445718187
Candidate: 0x8a, Correlation: -0.1920313263113284
Candidate: 0xac, Correlation: -0.1909913325753188
Candidate: 0x27, Correlation: -0.19061354772174044
Candidate: 0xb2, Correlation: -0.1889825135521485
Candidate: 0xb0, Correlation: -0.1885989213540036
