Candidate: 0xd9, Correlation: -0.5671184005472008
Candidate: 0x59, Correlation: -0.5405957499856588
Candidate: 0x19, Correlation: -0.5125953315555347
Candidate: 0x99, Correlation: -0.5013731372285165
Candidate: 0xb9, Correlation: -0.42506050710817167
Candidate: 0xf9, Correlation: -0.416761810132753
Candidate: 0x39, Correlation: -0.41591221888789826
Candidate: 0xc9, Correlation: -0.41339963086964787
Candidate: 0x79, Correlation: -0.4097119743900331
Candidate: 0xe9, Correlation: -0.4007333484054938
Candidate: 0x29, Correlation: -0.3968474045158891
Candidate: 0x49, Correlation: -0.39647105265279653
Candidate: 0x9, Correlation: -0.39070877624209915
Candidate: 0xa9, Correlation: -0.3864950731618532
Candidate: 0x69, Correlation: -0.3814567870953954
Candidate: 0x89, Correlation: -0.3671015363626191
Candidate: 0xd7, Correlation: -0.30476833431229816
Candidate: 0xd8, Correlation: -0.30341084672180585
Candidate: 0xd5, Correlation: -0.30153376255127723
Candidate: 0xda, Correlation: -0.2915428662423828
Candidate: 0xdb, Correlation: -0.2885615544263432
Candidate: 0xdd, Correlation: -0.2859615090848444
Candidate: 0xd1, Correlation: -0.267470708364312
Candidate: 0xe1, Correlation: -0.25471830415678526
Candidate: 0x51, Correlation: -0.24901400163349072
Candidate: 0x11, Correlation: -0.23289809899488423
Candidate: 0x61, Correlation: -0.2285561501437792
Candidate: 0x21, Correlation: -0.22804038233448604
Candidate: 0xd6, Correlation: -0.21875334111958844
Candidate: 0x91, Correlation: -0.2185113684958559
Candidate: 0xa1, Correlation: -0.21438419563330519
Candidate: 0x55, Correlation: -0.2040772551895243
Candidate: 0xc1, Correlation: -0.1988360517582256
Candidate: 0xdc, Correlation: -0.19311628559204447
Candidate: 0xf1, Correlation: -0.19011193237490084
Candidate: 0x41, Correlation: -0.18990386027350242
Candidate: 0x1, Correlation: -0.1890966436362008
Candidate: 0xdf, Correlation: -0.18788243705025784
Candidate: 0x31, Correlation: -0.18654385363690462
Candidate: 0xb1, Correlation: -0.18567148483071247
