Candidate: 0xf2, Correlation: -0.1679534899772567
Candidate: 0xe6, Correlation: -0.16758377668490707
Candidate: 0xe8, Correlation: -0.16755511643030455
Candidate: 0xb7, Correlation: -0.16717561845558163
Candidate: 0xfe, Correlation: -0.16629673137768727
Candidate: 0xa4, Correlation: -0.16566442611543708
Candidate: 0xde, Correlation: -0.16465510739269035
Candidate: 0x92, Correlation: -0.16398462640727557
Candidate: 0x3c, Correlation: -0.16318119155776772
Candidate: 0x62, Correlation: -0.16304088132058345
Candidate: 0x74, Correlation: -0.1620830500173254
Candidate: 0xa9, Correlation: -0.1616450274434543
Candidate: 0xb0, Correlation: -0.16114001111707602
Candidate: 0x77, Correlation: -0.16083377601924428
Candidate: 0x17, Correlation: -0.15990611758605502
Candidate: 0x50, Correlation: -0.15985266697105555
Candidate: 0x85, Correlation: -0.15973837031961613
Candidate: 0xb9, Correlation: -0.15777533617710915
Candidate: 0xcc, Correlation: -0.1576574863356256
Candidate: 0xca, Correlation: -0.15746446774966613
Candidate: 0x19, Correlation: -0.15624339782646074
Candidate: 0xf8, Correlation: -0.15609414105223748
Candidate: 0xf4, Correlation: -0.15542237933449973
Candidate: 0x2a, Correlation: -0.15447771966223994
Candidate: 0xec, Correlation: -0.15337642764662227
Candidate: 0xd8, Correlation: -0.15326794774436447
Candidate: 0x7d, Correlation: -0.15257898222380617
Candidate: 0xe0, Correlation: -0.15129138470694492
Candidate: 0x46, Correlation: -0.15126183992160055
Candidate: 0x54, Correlation: -0.1508506991909023
Candidate: 0x10, Correlation: -0.1498555446692448
Candidate: 0x80, Correlation: -0.14931686801449195
Candidate: 0x9d, Correlation: -0.14910911443874986
Candidate: 0x0, Correlation: -0.1481320274631096
Candidate: 0xbd, Correlation: -0.14783809614893784
Candidate: 0xc2, Correlation: -0.14767272918467483
Candidate: 0x7e, Correlation: -0.14726739499936062
Candidate: 0xe9, Correlation: -0.1469642770349355
Candidate: 0x14, Correlation: -0.14609726206491538
Candidate: 0x5d, Correlation: -0.14600419819184207
Candidate: 0xe, Correlation: -0.1450269404172414
Candidate: 0x24, Correlation: -0.1448316468155189
Candidate: 0xf0, Correlation: -0.1438204064231802
Candidate: 0x5e, Correlation: -0.1436282837957971
Candidate: 0xdd, Correlation: -0.14339566249435176
Candidate: 0x5c, Correlation: -0.14325799970216696
Candidate: 0x6c, Correlation: -0.14320539306811542
Candidate: 0xb6, Correlation: -0.14277482800390076
Candidate: 0x2, Correlation: -0.1422328838507265
Candidate: 0x18, Correlation: -0.14218523758989499
Candidate: 0xbe, Correlation: -0.14032990421564673
Candidate: 0x34, Correlation: -0.1395961617542357
Candidate: 0x94, Correlation: -0.13907613817441447
Candidate: 0x72, Correlation: -0.13884477160268907
Candidate: 0x3a, Correlation: -0.13833874250101696
Candidate: 0x3f, Correlation: -0.1382712755008913
Candidate: 0xa8, Correlation: -0.13824498000005034
Candidate: 0x8, Correlation: -0.1371941704128851
Candidate: 0x9, Correlation: -0.13530662850329875
Candidate: 0xb8, Correlation: -0.13438894862320983
Candidate: 0x60, Correlation: -0.13251857547722531
Candidate: 0xc0, Correlation: -0.1313999169244635
Candidate: 0x90, Correlation: -0.1310369955749873
Candidate: 0x1d, Correlation: -0.13035996055647753
Candidate: 0x3e, Correlation: -0.13027911166055037
Candidate: 0x26, Correlation: -0.12923798320730667
Candidate: 0x6e, Correlation: -0.12882731291155475
Candidate: 0x29, Correlation: -0.12788151655859503
Candidate: 0x97, Correlation: -0.12771570192616674
Candidate: 0x12, Correlation: -0.12644638508524167
Candidate: 0x2e, Correlation: -0.12636432151949112
Candidate: 0xce, Correlation: -0.12534916882848926
Candidate: 0x21, Correlation: -0.12445650488260085
Candidate: 0x89, Correlation: -0.12374820288118708
Candidate: 0xbf, Correlation: -0.12364204290482315
Candidate: 0xb4, Correlation: -0.1228882550155711
Candidate: 0x32, Correlation: -0.12209841606830099
Candidate: 0x8e, Correlation: -0.12175495119985907
Candidate: 0xff, Correlation: -0.12033965293571387
Candidate: 0x44, Correlation: -0.12010367502105125
Candidate: 0x6a, Correlation: -0.11887740516972731
Candidate: 0xc6, Correlation: -0.11886634686015374
Candidate: 0x88, Correlation: -0.11821299490586581
Candidate: 0x86, Correlation: -0.11800769523977396
Candidate: 0x6, Correlation: -0.11651199003043006
Candidate: 0xd2, Correlation: -0.11625166157118325
Candidate: 0x64, Correlation: -0.11580957417627202
Candidate: 0x16, Correlation: -0.11444590233266749
Candidate: 0x1, Correlation: -0.11443635453744197
Candidate: 0x69, Correlation: -0.11368447983114828
Candidate: 0x5a, Correlation: -0.11363142249129599
Candidate: 0x7f, Correlation: -0.11322828804219295
Candidate: 0x5f, Correlation: -0.11283043698791727
Candidate: 0x76, Correlation: -0.1123432591856435
Candidate: 0xd6, Correlation: -0.11221211944566677
Candidate: 0xf1, Correlation: -0.11206251123477486
Candidate: 0xe1, Correlation: -0.11159917888330925
Candidate: 0x36, Correlation: -0.11127316868138952
Candidate: 0x39, Correlation: -0.1108583787951956
Candidate: 0x66, Correlation: -0.1099102419378415
Candidate: 0x42, Correlation: -0.10962156757405887
Candidate: 0x70, Correlation: -0.10936043792294164
Candidate: 0x30, Correlation: -0.10891829453683377
Candidate: 0xd0, Correlation: -0.10726982187543989
Candidate: 0x4, Correlation: -0.1070210337679592
Candidate: 0x11, Correlation: -0.1044841812896055
Candidate: 0x41, Correlation: -0.1034212803740586
Candidate: 0xe4, Correlation: -0.10308050525690803
Candidate: 0x31, Correlation: -0.10251828582851454
Candidate: 0x38, Correlation: -0.10207378207103879
Candidate: 0x79, Correlation: -0.10197943579285594
Candidate: 0x81, Correlation: -0.10177789363746988
Candidate: 0xc1, Correlation: -0.10164178296573319
Candidate: 0xc8, Correlation: -0.10080704825214667
Candidate: 0x71, Correlation: -0.1005388627589066
Candidate: 0xb1, Correlation: -0.0998615304190738
Candidate: 0x56, Correlation: -0.09943603904324186
Candidate: 0xd4, Correlation: -0.09764695658444227
Candidate: 0x61, Correlation: -0.09576072424602565
Candidate: 0x1f, Correlation: -0.09454266128450667
Candidate: 0x91, Correlation: -0.09102389058776025
Candidate: 0x40, Correlation: -0.09100993729373932
Candidate: 0xdf, Correlation: -0.09010032321903047
Candidate: 0x78, Correlation: -0.08601340213995713
Candidate: 0xd1, Correlation: -0.08296496632253597
Candidate: 0xc4, Correlation: -0.08114961405877365
Candidate: 0x68, Correlation: -0.07941053138259192
Candidate: 0x58, Correlation: -0.07905448553165637
Candidate: 0x28, Correlation: -0.07621461913579143
Candidate: 0x84, Correlation: -0.07576591041968249
Candidate: 0x59, Correlation: -0.06688677249551991
