Candidate: 0xd1, Correlation: -0.2732449612390504
Candidate: 0x3d, Correlation: -0.27291679587233547
Candidate: 0x71, Correlation: -0.2724727390189844
Candidate: 0xc1, Correlation: -0.26628618637916424
Candidate: 0x25, Correlation: -0.2588537847914878
Candidate: 0xf0, Correlation: -0.2580474643713671
Candidate: 0xaa, Correlation: -0.2577064130147461
Candidate: 0xdc, Correlation: -0.2568202582264271
Candidate: 0xa9, Correlation: -0.25591787675367683
Candidate: 0x49, Correlation: -0.2553503599918314
Candidate: 0xb2, Correlation: -0.25377980069106504
Candidate: 0x38, Correlation: -0.25335687891163655
Candidate: 0x48, Correlation: -0.25289028514632816
Candidate: 0x9e, Correlation: -0.25173287071429007
Candidate: 0xc2, Correlation: -0.25117490184196706
Candidate: 0xef, Correlation: -0.250349074090555
Candidate: 0x12, Correlation: -0.24672055052439704
Candidate: 0xa4, Correlation: -0.24626039018515283
Candidate: 0x99, Correlation: -0.24561062724632032
Candidate: 0x35, Correlation: -0.24408886732880047
Candidate: 0x29, Correlation: -0.24371511985781413
Candidate: 0xeb, Correlation: -0.24005726473590122
Candidate: 0x55, Correlation: -0.23974406773956966
Candidate: 0x56, Correlation: -0.23640688028217935
Candidate: 0x1d, Correlation: -0.23281189630497465
Candidate: 0x6c, Correlation: -0.23251536709340542
Candidate: 0x2f, Correlation: -0.2324984429214632
Candidate: 0x91, Correlation: -0.2319015405048302
Candidate: 0x0, Correlation: -0.2274520245405632
Candidate: 0xa0, Correlation: -0.22530618409311617
Candidate: 0x79, Correlation: -0.2245039246888375
Candidate: 0xf1, Correlation: -0.22428584840356627
Candidate: 0x6d, Correlation: -0.2196359652071215
Candidate: 0x4f, Correlation: -0.21957987415950567
Candidate: 0x8e, Correlation: -0.21955880732580377
Candidate: 0x2d, Correlation: -0.21744117086452888
Candidate: 0x61, Correlation: -0.21635326243431893
Candidate: 0xa2, Correlation: -0.21273689055206163
Candidate: 0x69, Correlation: -0.21256347778981916
Candidate: 0x94, Correlation: -0.21255392064423612
Candidate: 0x21, Correlation: -0.21253014158133177
Candidate: 0x3a, Correlation: -0.2123164616874539
Candidate: 0xfa, Correlation: -0.21113039845052617
Candidate: 0x52, Correlation: -0.21027922585032477
