Candidate: 0x9a, Correlation: -0.13912288018015773
Candidate: 0x89, Correlation: -0.13897092765204236
Candidate: 0xf6, Correlation: -0.13884932966714159
Candidate: 0xe8, Correlation: -0.13751106364482082
Candidate: 0x52, Correlation: -0.13680166864969937
Candidate: 0x8b, Correlation: -0.13674910943794616
Candidate: 0x6c, Correlation: -0.1363791595021317
Candidate: 0x37, Correlation: -0.13529098238910087
Candidate: 0x35, Correlation: -0.13362756005912563
Candidate: 0x48, Correlation: -0.13362448804368549
Candidate: 0x56, Correlation: -0.13288139022935172
Candidate: 0x1a, Correlation: -0.1327506464720829
Candidate: 0x9e, Correlation: -0.13242171917830323
Candidate: 0x93, Correlation: -0.13205264457036683
Candidate: 0xec, Correlation: -0.130535770370213
Candidate: 0x9, Correlation: -0.13025406624051536
Candidate: 0xcc, Correlation: -0.1301177396738292
Candidate: 0xa7, Correlation: -0.12913575916263417
Candidate: 0x62, Correlation: -0.12879332275065855
Candidate: 0x66, Correlation: -0.12831799426736243
Candidate: 0xb, Correlation: -0.12806482563880353
Candidate: 0xa5, Correlation: -0.12788180451869494
Candidate: 0xc6, Correlation: -0.12426971217485555
Candidate: 0x1e, Correlation: -0.12375176867596195
Candidate: 0x4c, Correlation: -0.12361574757165307
Candidate: 0xc2, Correlation: -0.12195662459118425
Candidate: 0x97, Correlation: -0.12169514727920232
Candidate: 0x95, Correlation: -0.1211248961259797
Candidate: 0xe2, Correlation: -0.1202690204765801
Candidate: 0xb3, Correlation: -0.11971085762966797
Candidate: 0xb1, Correlation: -0.11830758687107733
Candidate: 0xe6, Correlation: -0.11699190853152198
Candidate: 0x27, Correlation: -0.11616259841140011
Candidate: 0x91, Correlation: -0.11602568248296496
Candidate: 0x25, Correlation: -0.11545097680547549
Candidate: 0x8a, Correlation: -0.11383611039782436
Candidate: 0x83, Correlation: -0.1137298352439249
Candidate: 0x42, Correlation: -0.11337681854605339
Candidate: 0x7b, Correlation: -0.11235200458508629
Candidate: 0x46, Correlation: -0.11175659887972172
Candidate: 0x5a, Correlation: -0.11121480221415962
Candidate: 0x17, Correlation: -0.10971041943330564
Candidate: 0x8e, Correlation: -0.10958088385431744
Candidate: 0x15, Correlation: -0.10956317275244873
Candidate: 0xb8, Correlation: -0.10863124098564254
Candidate: 0xa, Correlation: -0.10797003857044712
Candidate: 0x13, Correlation: -0.10647448796361342
Candidate: 0x33, Correlation: -0.10620586667548405
Candidate: 0x31, Correlation: -0.1053787612772861
Candidate: 0x4a, Correlation: -0.10397537187370531
Candidate: 0xbc, Correlation: -0.10386116830742019
Candidate: 0x87, Correlation: -0.10290719498920076
Candidate: 0x85, Correlation: -0.1021160614780231
Candidate: 0x38, Correlation: -0.10104889485978086
Candidate: 0xe, Correlation: -0.09966630204106
Candidate: 0xa3, Correlation: -0.09943596907147556
Candidate: 0xa1, Correlation: -0.09896330597518804
Candidate: 0x81, Correlation: -0.09839519952706778
Candidate: 0x7d, Correlation: -0.09766827243514667
Candidate: 0x79, Correlation: -0.09759959971252383
Candidate: 0x7f, Correlation: -0.09704994700808176
Candidate: 0x3c, Correlation: -0.09619550728442562
Candidate: 0xb2, Correlation: -0.09598350638378861
Candidate: 0xf9, Correlation: -0.09580322328641847
Candidate: 0xb6, Correlation: -0.09443182280125206
Candidate: 0x6b, Correlation: -0.09350354888411093
Candidate: 0xe9, Correlation: -0.09288364965229848
Candidate: 0x11, Correlation: -0.09103825504210968
Candidate: 0x5, Correlation: -0.09101093148176397
Candidate: 0x7, Correlation: -0.09068425300141353
Candidate: 0x73, Correlation: -0.09039925951871267
Candidate: 0x28, Correlation: -0.09005583585208878
Candidate: 0x3, Correlation: -0.08872844148855795
Candidate: 0xfb, Correlation: -0.08831523961621518
Candidate: 0xfd, Correlation: -0.08727305952118897
Candidate: 0x23, Correlation: -0.08675960740438331
Candidate: 0x21, Correlation: -0.08670743839423288
Candidate: 0xff, Correlation: -0.08639341339728193
Candidate: 0x32, Correlation: -0.08493813774984497
Candidate: 0xa8, Correlation: -0.0839737934518502
Candidate: 0x3a, Correlation: -0.08334546731262847
Candidate: 0x36, Correlation: -0.08306019096672732
Candidate: 0xeb, Correlation: -0.08295542872394411
Candidate: 0x7a, Correlation: -0.08256066335057814
Candidate: 0xda, Correlation: -0.0804106889241169
Candidate: 0x7e, Correlation: -0.08008283685941786
Candidate: 0x2a, Correlation: -0.07938355385611476
Candidate: 0x69, Correlation: -0.07929639446764326
Candidate: 0x6d, Correlation: -0.07886365320958197
Candidate: 0xac, Correlation: -0.0787317593102937
Candidate: 0x6f, Correlation: -0.0780705895135652
Candidate: 0xde, Correlation: -0.07674794184813855
Candidate: 0xfa, Correlation: -0.07556233383352781
Candidate: 0x71, Correlation: -0.0742692611876002
Candidate: 0x1, Correlation: -0.07372045380281242
Candidate: 0x63, Correlation: -0.0725606029062313
Candidate: 0xa6, Correlation: -0.07191026334535551
Candidate: 0x2c, Correlation: -0.07152823516367963
Candidate: 0xfe, Correlation: -0.07140119853244699
Candidate: 0xa2, Correlation: -0.06983101347096887
Candidate: 0xed, Correlation: -0.06926621927672415
Candidate: 0xef, Correlation: -0.0682996910055769
Candidate: 0xca, Correlation: -0.06743908649448983
Candidate: 0x77, Correlation: -0.06551472804077287
Candidate: 0x5e, Correlation: -0.06533797736768177
Candidate: 0xf3, Correlation: -0.064633573105057
Candidate: 0x22, Correlation: -0.061214294260728865
Candidate: 0x26, Correlation: -0.05956382891516008
Candidate: 0x6a, Correlation: -0.05880633253123996
Candidate: 0xf7, Correlation: -0.05826214273761244
Candidate: 0x6e, Correlation: -0.05706022320653238
Candidate: 0x61, Correlation: -0.05686613009979659
Candidate: 0xce, Correlation: -0.05382864999448344
Candidate: 0xea, Correlation: -0.05204549332133672
Candidate: 0xba, Correlation: -0.04990843167141229
Candidate: 0xf1, Correlation: -0.04921343941743833
Candidate: 0xee, Correlation: -0.04729349300286871
Candidate: 0xe3, Correlation: -0.04696349539866826
Candidate: 0x75, Correlation: -0.04652271996363014
Candidate: 0x67, Correlation: -0.046091511272234965
Candidate: 0x4e, Correlation: -0.042768476869833795
Candidate: 0xaa, Correlation: -0.041869371647234185
Candidate: 0xf5, Correlation: -0.03668126449472466
Candidate: 0xe1, Correlation: -0.031724427205987775
Candidate: 0xe7, Correlation: -0.02976303612166797
Candidate: 0x65, Correlation: -0.027385223688647792
Candidate: 0xbe, Correlation: -0.027163811265241165
Candidate: 0xe5, Correlation: -0.016933623261434286
Candidate: 0x3e, Correlation: -0.013831858162912996
Candidate: 0xae, Correlation: -0.01365398866545822
Candidate: 0x2e, Correlation: -0.004672917848992395
