Candidate: 0x5c, Correlation: -0.22268566226319603
Candidate: 0x12, Correlation: -0.22042809905530694
Candidate: 0x40, Correlation: -0.21983054831261545
Candidate: 0x56, Correlation: -0.21967074182999036
Candidate: 0xe5, Correlation: -0.21813086886089164
Candidate: 0xc7, Correlation: -0.21691481633851978
Candidate: 0x34, Correlation: -0.21662992067118197
Candidate: 0xce, Correlation: -0.21654287518029278
Candidate: 0x8d, Correlation: -0.2161394037071339
Candidate: 0xaf, Correlation: -0.21582776400232298
Candidate: 0xef, Correlation: -0.21238346952802484
Candidate: 0x60, Correlation: -0.21132487793498614
Candidate: 0x55, Correlation: -0.20712139057474546
Candidate: 0xb3, Correlation: -0.20699323211486173
Candidate: 0x3, Correlation: -0.2051802743931698
Candidate: 0x69, Correlation: -0.20471450090228974
Candidate: 0x75, Correlation: -0.2041704782754789
Candidate: 0xec, Correlation: -0.20347390008504918
Candidate: 0xcd, Correlation: -0.20260932060660616
Candidate: 0x8e, Correlation: -0.20073349437945284
Candidate: 0x5d, Correlation: -0.19914547636461988
Candidate: 0x7, Correlation: -0.19911847386899076
Candidate: 0x20, Correlation: -0.19885254108516323
Candidate: 0xf1, Correlation: -0.1967786933871103
Candidate: 0x46, Correlation: -0.19633137040925674
Candidate: 0xc1, Correlation: -0.19626163399121477
Candidate: 0xe3, Correlation: -0.19555970986199137
Candidate: 0x1c, Correlation: -0.19505913009011447
Candidate: 0x70, Correlation: -0.19491467237415053
Candidate: 0xa1, Correlation: -0.19357292065046594
Candidate: 0xb5, Correlation: -0.19267217609830248
Candidate: 0x44, Correlation: -0.19218607428861298
Candidate: 0x97, Correlation: -0.19200108549420658
Candidate: 0xc5, Correlation: -0.19133923129601013
Candidate: 0x84, Correlation: -0.19119213441282407
Candidate: 0xad, Correlation: -0.18928770437007206
Candidate: 0x27, Correlation: -0.18804445700368097
Candidate: 0x6c, Correlation: -0.18673936403633062
Candidate: 0x79, Correlation: -0.18555061488891336
Candidate: 0x8f, Correlation: -0.1854645927149886
Candidate: 0x80, Correlation: -0.185372318511496
Candidate: 0x1, Correlation: -0.18383749920956813
Candidate: 0x8b, Correlation: -0.18243489729602144
Candidate: 0x5e, Correlation: -0.1815909882338788
Candidate: 0x3d, Correlation: -0.17933017994416395
Candidate: 0x31, Correlation: -0.17813857041546854
Candidate: 0xdf, Correlation: -0.1762375361385897
Candidate: 0x53, Correlation: -0.17484375756342835
Candidate: 0x9e, Correlation: -0.17431901199583602
Candidate: 0x19, Correlation: -0.17212282736133408
Candidate: 0x9d, Correlation: -0.1710093033794095
Candidate: 0x6e, Correlation: -0.16995777386598943
Candidate: 0x71, Correlation: -0.16891229532888716
Candidate: 0x2c, Correlation: -0.16850126146227096
Candidate: 0x85, Correlation: -0.16845696710580274
Candidate: 0xcf, Correlation: -0.16772648052750408
Candidate: 0x57, Correlation: -0.16706070319100444
Candidate: 0x5b, Correlation: -0.16705698494747642
Candidate: 0x62, Correlation: -0.1658961315871496
Candidate: 0x1a, Correlation: -0.1644908211750762
Candidate: 0x6d, Correlation: -0.163626153253946
Candidate: 0x93, Correlation: -0.16336879100252036
Candidate: 0x95, Correlation: -0.16267088090293877
Candidate: 0x3e, Correlation: -0.16096605489105065
Candidate: 0x6a, Correlation: -0.16068539643179958
Candidate: 0x86, Correlation: -0.16042748565985193
Candidate: 0x25, Correlation: -0.1589640433213859
Candidate: 0x6f, Correlation: -0.15468230101146122
Candidate: 0x66, Correlation: -0.15243380332718515
Candidate: 0x15, Correlation: -0.15089020679546303
Candidate: 0x65, Correlation: -0.15026792900008334
Candidate: 0x2e, Correlation: -0.14920485472051756
Candidate: 0x90, Correlation: -0.14882320926649267
Candidate: 0x16, Correlation: -0.14823065675436178
Candidate: 0x7f, Correlation: -0.14649492640969894
Candidate: 0x89, Correlation: -0.14623629800182958
Candidate: 0xaa, Correlation: -0.145907181484848
Candidate: 0x4d, Correlation: -0.1446080516529307
Candidate: 0x22, Correlation: -0.14455460818272378
Candidate: 0x67, Correlation: -0.14378689753951285
Candidate: 0x3b, Correlation: -0.14274289641133966
Candidate: 0x87, Correlation: -0.1413266436434479
Candidate: 0xdd, Correlation: -0.1406389097267417
Candidate: 0x4a, Correlation: -0.1402505179974224
Candidate: 0x11, Correlation: -0.13971295988404767
Candidate: 0x83, Correlation: -0.13766995002546983
Candidate: 0x5, Correlation: -0.13430060913278252
Candidate: 0x13, Correlation: -0.1334627726684675
Candidate: 0x6b, Correlation: -0.13209484802164173
Candidate: 0xbf, Correlation: -0.13121125469240502
Candidate: 0x4e, Correlation: -0.13074672565677548
Candidate: 0x35, Correlation: -0.13049081475832597
Candidate: 0x63, Correlation: -0.12805947172609405
Candidate: 0x1d, Correlation: -0.12794276061035223
Candidate: 0x36, Correlation: -0.12776087073925527
Candidate: 0x91, Correlation: -0.12730782387618012
Candidate: 0x61, Correlation: -0.12678755759852955
Candidate: 0x1f, Correlation: -0.1242772737496198
Candidate: 0x3f, Correlation: -0.12234994186858714
Candidate: 0xc3, Correlation: -0.1221250032979157
Candidate: 0x1e, Correlation: -0.11979175713928061
Candidate: 0xab, Correlation: -0.11888120855308289
Candidate: 0xd, Correlation: -0.11867403773556383
Candidate: 0x4f, Correlation: -0.1180276431339385
Candidate: 0x5f, Correlation: -0.11765885343423574
Candidate: 0x9b, Correlation: -0.11736684168691229
Candidate: 0x51, Correlation: -0.11565758360798786
Candidate: 0xed, Correlation: -0.11440715506025972
Candidate: 0xeb, Correlation: -0.11426453816262068
Candidate: 0x4b, Correlation: -0.10912372411467607
Candidate: 0x2f, Correlation: -0.10890078798874671
Candidate: 0x42, Correlation: -0.10599579286061758
Candidate: 0x45, Correlation: -0.10456597069582795
Candidate: 0x77, Correlation: -0.10254603618307097
Candidate: 0x9f, Correlation: -0.10229145968351587
Candidate: 0x81, Correlation: -0.09816905572050283
Candidate: 0xb7, Correlation: -0.0978359864083111
Candidate: 0x33, Correlation: -0.09704963357759418
Candidate: 0x1b, Correlation: -0.09379719574975577
Candidate: 0x47, Correlation: -0.0933897237740995
Candidate: 0x2d, Correlation: -0.09335811171984496
Candidate: 0x17, Correlation: -0.09296139177838121
Candidate: 0x41, Correlation: -0.09245757311897537
Candidate: 0xcb, Correlation: -0.09164893061164966
Candidate: 0x23, Correlation: -0.09002806099236701
Candidate: 0x21, Correlation: -0.08868102937075505
Candidate: 0x37, Correlation: -0.08735234391541023
Candidate: 0x2a, Correlation: -0.08708081967367763
Candidate: 0x2b, Correlation: -0.08569919826872524
Candidate: 0x39, Correlation: -0.06869295506156957
Candidate: 0x43, Correlation: -0.063998537649314
