Candidate: 0x4a, Correlation: -0.2555408445015574
Candidate: 0xcd, Correlation: -0.25499747548309515
Candidate: 0x8d, Correlation: -0.2541327825025341
Candidate: 0xd4, Correlation: -0.2541131770812596
Candidate: 0xf5, Correlation: -0.25318498388078303
Candidate: 0x5f, Correlation: -0.2512633693742142
Candidate: 0x6d, Correlation: -0.2507739450021365
Candidate: 0x61, Correlation: -0.2500971076862783
Candidate: 0xe2, Correlation: -0.24703023300663526
Candidate: 0xa2, Correlation: -0.24634280212553725
Candidate: 0xad, Correlation: -0.24615628316004337
Candidate: 0xdb, Correlation: -0.24518580591838177
Candidate: 0x94, Correlation: -0.24493612798721484
Candidate: 0x2d, Correlation: -0.2445070317757135
Candidate: 0x22, Correlation: -0.24161257079066722
Candidate: 0x72, Correlation: -0.24123684300238882
Candidate: 0x8e, Correlation: -0.24118801615450736
Candidate: 0x42, Correlation: -0.24101793555888473
Candidate: 0x7a, Correlation: -0.24100106820705883
Candidate: 0xbb, Correlation: -0.23988181433723108
Candidate: 0x71, Correlation: -0.23949227496821163
Candidate: 0x68, Correlation: -0.23813968013391165
Candidate: 0x31, Correlation: -0.23804988203971067
Candidate: 0x91, Correlation: -0.23759432487759985
Candidate: 0x3f, Correlation: -0.2361280550701609
Candidate: 0x23, Correlation: -0.23487892721711154
Candidate: 0xe6, Correlation: -0.23387344904167215
Candidate: 0x76, Correlation: -0.2319859879943745
Candidate: 0xc5, Correlation: -0.22718646516190943
Candidate: 0x66, Correlation: -0.22445569334518903
Candidate: 0xa7, Correlation: -0.2242215286296374
Candidate: 0x12, Correlation: -0.22335689965888428
Candidate: 0x17, Correlation: -0.22189110865862738
Candidate: 0xb, Correlation: -0.2195169832497274
Candidate: 0x4b, Correlation: -0.21882712375263844
Candidate: 0x8a, Correlation: -0.21738073067001037
Candidate: 0x83, Correlation: -0.2154140127480659
Candidate: 0xf, Correlation: -0.21533383033938713
Candidate: 0x51, Correlation: -0.21489723416058615
Candidate: 0xda, Correlation: -0.21223198466268905
Candidate: 0xc2, Correlation: -0.212027042772741
Candidate: 0x59, Correlation: -0.21185053379944177
Candidate: 0xb3, Correlation: -0.21062632537756337
Candidate: 0x43, Correlation: -0.20967550368807106
Candidate: 0xba, Correlation: -0.20886221854838644
Candidate: 0x5a, Correlation: -0.20600099855613338
Candidate: 0xc6, Correlation: -0.2059938852598866
Candidate: 0x9e, Correlation: -0.20595682465255735
Candidate: 0x99, Correlation: -0.20579907001424735
Candidate: 0xef, Correlation: -0.20382898548786624
Candidate: 0xb7, Correlation: -0.20230186299880612
Candidate: 0x85, Correlation: -0.20163690211044963
Candidate: 0xd1, Correlation: -0.20133947728615795
Candidate: 0x67, Correlation: -0.19922608667523276
Candidate: 0xab, Correlation: -0.19920598654309463
Candidate: 0x1b, Correlation: -0.1977819772204955
Candidate: 0xe7, Correlation: -0.197519415791246
Candidate: 0x97, Correlation: -0.19544280289760402
Candidate: 0xe3, Correlation: -0.19495237707635826
Candidate: 0xf1, Correlation: -0.1948607892889247
Candidate: 0x25, Correlation: -0.1930959765592407
Candidate: 0x27, Correlation: -0.19261933978636145
Candidate: 0xc3, Correlation: -0.19169695509493082
Candidate: 0xeb, Correlation: -0.19159702040379434
Candidate: 0x55, Correlation: -0.19105935182188213
Candidate: 0x87, Correlation: -0.19029631444732914
Candidate: 0xa9, Correlation: -0.18830094843639328
Candidate: 0x79, Correlation: -0.18830076827761796
Candidate: 0x11, Correlation: -0.18606353254350183
Candidate: 0xe5, Correlation: -0.18604638073997062
Candidate: 0x49, Correlation: -0.18554302701777525
Candidate: 0x35, Correlation: -0.1841271756660235
Candidate: 0x93, Correlation: -0.1837414894770849
Candidate: 0xaf, Correlation: -0.18338848361394866
Candidate: 0xb5, Correlation: -0.1826302553576139
Candidate: 0x4f, Correlation: -0.1820803760875765
Candidate: 0x57, Correlation: -0.1805551239492486
Candidate: 0xaa, Correlation: -0.1802576617956747
Candidate: 0xea, Correlation: -0.18006333486269469
Candidate: 0x19, Correlation: -0.17796566222146104
Candidate: 0x52, Correlation: -0.17455648850456124
Candidate: 0x56, Correlation: -0.17380105465480786
Candidate: 0x6b, Correlation: -0.1706597114126405
Candidate: 0x2e, Correlation: -0.16780053729073993
Candidate: 0x6a, Correlation: -0.1668759478004599
Candidate: 0x9a, Correlation: -0.1667306088918041
Candidate: 0x77, Correlation: -0.16499531686401692
Candidate: 0x62, Correlation: -0.16265147609372557
Candidate: 0x13, Correlation: -0.16258774493069234
Candidate: 0x29, Correlation: -0.16240869938163321
Candidate: 0x47, Correlation: -0.16008950377329184
Candidate: 0x92, Correlation: -0.15972369088049496
Candidate: 0x95, Correlation: -0.1590306411267176
Candidate: 0xd6, Correlation: -0.15903048897450062
Candidate: 0x73, Correlation: -0.15804890784875256
Candidate: 0xb9, Correlation: -0.15708774538542794
Candidate: 0xb2, Correlation: -0.15225121128820784
Candidate: 0x1a, Correlation: -0.1514100907977245
Candidate: 0x2b, Correlation: -0.14883391616216318
Candidate: 0x37, Correlation: -0.1484735931001159
Candidate: 0xe9, Correlation: -0.147653275354511
Candidate: 0x33, Correlation: -0.147262556779109
Candidate: 0xd5, Correlation: -0.1464416089600749
Candidate: 0x8b, Correlation: -0.14632499649710956
Candidate: 0x16, Correlation: -0.14597848389046347
Candidate: 0xa6, Correlation: -0.14592522871822713
Candidate: 0x8f, Correlation: -0.14562503193686463
Candidate: 0xae, Correlation: -0.14477310013870806
Candidate: 0x32, Correlation: -0.14393903214466638
Candidate: 0xd9, Correlation: -0.14338600702766108
Candidate: 0x75, Correlation: -0.1425408951026411
Candidate: 0x2a, Correlation: -0.14235597837652372
Candidate: 0xd3, Correlation: -0.1412350975301391
Candidate: 0xca, Correlation: -0.14105872496329702
Candidate: 0xc7, Correlation: -0.14060269460433514
Candidate: 0x39, Correlation: -0.1389256519482407
Candidate: 0x6f, Correlation: -0.13757995473416648
Candidate: 0x69, Correlation: -0.1364972990501037
Candidate: 0x96, Correlation: -0.13610075915660796
Candidate: 0x2f, Correlation: -0.1355191606971435
Candidate: 0xcb, Correlation: -0.1334881979388264
Candidate: 0x15, Correlation: -0.13196723770824587
Candidate: 0x26, Correlation: -0.13150156563820137
Candidate: 0x53, Correlation: -0.13041064707564742
Candidate: 0xd7, Correlation: -0.12962888605090023
Candidate: 0xd2, Correlation: -0.12772216958208996
Candidate: 0xb6, Correlation: -0.12690782242112036
Candidate: 0xc9, Correlation: -0.1264282044383503
Candidate: 0x89, Correlation: -0.11642030501148418
Candidate: 0x36, Correlation: -0.11234555016959652
Candidate: 0xcf, Correlation: -0.10499320966160197
